type,battleTime,team_0_tag,team_0_crowns,opponent_0_tag,opponent_0_crowns,team_0_evolution_count,team_0_cards_0_name,team_0_cards_1_name,team_0_cards_2_name,team_0_cards_3_name,team_0_cards_4_name,team_0_cards_5_name,team_0_cards_6_name,team_0_cards_7_name,team_0_supportCards_0_name,opponent_0_evolution_count,opponent_0_cards_0_name,opponent_0_cards_1_name,opponent_0_cards_2_name,opponent_0_cards_3_name,opponent_0_cards_4_name,opponent_0_cards_5_name,opponent_0_cards_6_name,opponent_0_cards_7_name,opponent_0_supportCards_0_name
pathOfLegend,20240125T102819.000Z,#8Q80CJ0G,1,#202GUYUP,0,1,Evol Firecracker,Hog Rider,Mighty Miner,Earthquake,Skeletons,Ice Spirit,The Log,Bomb Tower,Tower Princess,1,Evol Skeletons,Archer Queen,Hog Rider,Earthquake,Ice Spirit,Royal Delivery,Bomb Tower,The Log,Tower Princess
pathOfLegend,20240125T102300.000Z,#U9GJVGRYU,3,#202GUYUP,0,1,Evol Archers,Graveyard,Minions,Arrows,Giant Snowball,Giant,Little Prince,Dark Prince,Tower Princess,1,Evol Skeletons,Archer Queen,Hog Rider,Earthquake,Ice Spirit,Royal Delivery,Bomb Tower,The Log,Tower Princess
pathOfLegend,20240124T192720.000Z,#202GUYUP,1,#UJLCPY8CQ,0,1,Evol Skeletons,Archer Queen,Hog Rider,Earthquake,Ice Spirit,Royal Delivery,Bomb Tower,The Log,Tower Princess,1,Evol Knight,Sparky,Mini P.E.K.K.A,Minions,Fireball,Goblin Giant,Electro Wizard,Rage,Tower Princess
pathOfLegend,20240124T192058.000Z,#202GUYUP,0,#JUC2UJC,0,1,Evol Skeletons,Archer Queen,Hog Rider,Earthquake,Ice Spirit,Royal Delivery,Bomb Tower,The Log,Tower Princess,1,Evol Knight,Minions,Goblin Giant,Rage,Tornado,Fireball,Mini P.E.K.K.A,Sparky,Tower Princess
pathOfLegend,20240124T191456.000Z,#RRLV0GQCV,1,#202GUYUP,0,1,Evol Knight,Ice Spirit,Poison,Little Prince,Miner,Goblins,The Log,Cannon,Tower Princess,1,Evol Skeletons,Archer Queen,Hog Rider,Earthquake,Ice Spirit,Royal Delivery,Bomb Tower,The Log,Tower Princess
pathOfLegend,20240124T190948.000Z,#202GUYUP,1,#RCL0QVP8V,0,1,Evol Skeletons,Archer Queen,Hog Rider,Earthquake,Ice Spirit,Royal Delivery,Bomb Tower,The Log,Tower Princess,1,Evol Archers,Giant,Giant Snowball,Graveyard,Bowler,Guards,Minions,Arrows,Tower Princess
pathOfLegend,20240124T190453.000Z,#202GUYUP,1,#C8CQULCUV,0,1,Evol Skeletons,Archer Queen,Hog Rider,Earthquake,Ice Spirit,Royal Delivery,Bomb Tower,The Log,Tower Princess,1,Evol Firecracker,Earthquake,Hog Rider,The Log,Mighty Miner,Ice Spirit,Goblins,Bomb Tower,Tower Princess
pathOfLegend,20240124T190122.000Z,#202GUYUP,1,#Y0JPUV9V2,0,1,Evol Skeletons,Archer Queen,Royal Hogs,Earthquake,Ice Spirit,Royal Delivery,Cannon,The Log,Tower Princess,1,Evol Knight,Guards,Mega Minion,Freeze,Bowler,Inferno Tower,Graveyard,Arrows,Tower Princess
pathOfLegend,20240124T185555.000Z,#VLJGYJU00,1,#202GUYUP,0,1,Evol Knight,Mega Knight,Ram Rider,Inferno Dragon,Electro Wizard,Poison,Barbarian Barrel,Giant Snowball,Tower Princess,1,Evol Skeletons,Archer Queen,Royal Hogs,Earthquake,Ice Spirit,Royal Delivery,Cannon,The Log,Tower Princess
pathOfLegend,20240124T185018.000Z,#202GUYUP,3,#RVL8JP,0,1,Evol Skeletons,Archer Queen,Royal Hogs,Earthquake,Ice Spirit,Royal Delivery,Cannon,The Log,Tower Princess,1,Evol Knight,Cannon,Tornado,Barbarian Barrel,Lightning,Electro Giant,Little Prince,Bowler,Tower Princess
