type,battleTime,team_0_tag,team_0_crowns,opponent_0_tag,opponent_0_crowns,team_0_evolution_count,team_0_cards_0_name,team_0_cards_1_name,team_0_cards_2_name,team_0_cards_3_name,team_0_cards_4_name,team_0_cards_5_name,team_0_cards_6_name,team_0_cards_7_name,team_0_supportCards_0_name,opponent_0_evolution_count,opponent_0_cards_0_name,opponent_0_cards_1_name,opponent_0_cards_2_name,opponent_0_cards_3_name,opponent_0_cards_4_name,opponent_0_cards_5_name,opponent_0_cards_6_name,opponent_0_cards_7_name,opponent_0_supportCards_0_name
pathOfLegend,20240212T103016.000Z,#202GUYUP,2,#VPQLV0GPC,0,2,Evol Knight,Evol Firecracker,Hog Rider,Earthquake,Electro Spirit,Skeletons,Tesla,The Log,Tower Princess,1,Evol Barbarians,Guards,Balloon,Lava Hound,Zap,Fireball,Skeleton Dragons,Mega Minion,Tower Princess
pathOfLegend,20240212T115535.000Z,#208RLJ09G,3,#LLGCPRQGR,0,2,Evol Barbarians,Evol Knight,Graveyard,Mega Minion,Executioner,Freeze,Tornado,Bowler,Tower Princess,2,Evol Knight,Evol Archers,Balloon,Bowler,Electro Dragon,Tornado,Barbarian Barrel,Freeze,Tower Princess
pathOfLegend,20240212T115220.000Z,#208RLJ09G,1,#CLVCUJPYY,0,2,Evol Barbarians,Evol Knight,Graveyard,Mega Minion,Executioner,Freeze,Tornado,Bowler,Tower Princess,2,Evol Knight,Evol Bomber,Minions,Balloon,Arrows,Inferno Dragon,Giant Snowball,Lava Hound,Tower Princess
pathOfLegend,20240212T114725.000Z,#208RLJ09G,1,#LR0CVCYQ,0,2,Evol Barbarians,Evol Knight,Graveyard,Mega Minion,Executioner,Freeze,Tornado,Bowler,Tower Princess,1,Evol Bats,Goblin Giant,Arrows,Prince,Dark Prince,Spear Goblins,Goblin Gang,Zap,Tower Princess
pathOfLegend,20240212T114301.000Z,#829L2YJL2,2,#208RLJ09G,1,2,Evol Knight,Evol Bats,Arrows,Rage,Miner,Little Prince,Balloon,Goblin Cage,Cannoneer,2,Evol Barbarians,Evol Knight,Graveyard,Mega Minion,Executioner,Freeze,Tornado,Bowler,Tower Princess
pathOfLegend,20240212T113909.000Z,#208RLJ09G,1,#Y9J9RG8CV,0,2,Evol Barbarians,Evol Knight,Graveyard,Mega Minion,Executioner,Freeze,Tornado,Bowler,Tower Princess,2,Evol Knight,Evol Bomber,Balloon,Freeze,Baby Dragon,Tornado,Inferno Dragon,Bowler,Tower Princess
pathOfLegend,20240212T113514.000Z,#229VLG2J8,1,#208RLJ09G,0,2,Evol Royal Giant,Evol Archers,Skeleton King,Fisherman,Fireball,Tombstone,Barbarian Barrel,Mother Witch,Cannoneer,2,Evol Barbarians,Evol Knight,Graveyard,Mega Minion,Executioner,Freeze,Tornado,Bowler,Tower Princess
pathOfLegend,20240212T171044.000Z,#209GRCLYC,1,#9UCG8280G,0,2,Evol Archers,Evol Skeletons,Bowler,Arrows,Giant,Graveyard,Little Prince,Giant Snowball,Tower Princess,2,Evol Knight,Evol Skeletons,Giant Snowball,Arrows,Miner,Musketeer,Bomb Tower,Balloon,Tower Princess
pathOfLegend,20240212T163050.000Z,#209GRCLYC,3,#LU2UCYCCJ,0,2,Evol Archers,Evol Skeletons,Bowler,Arrows,Giant,Graveyard,Little Prince,Giant Snowball,Tower Princess,2,Evol Knight,Evol Archers,Graveyard,Inferno Dragon,Executioner,Bowler,Tornado,Freeze,Tower Princess
pathOfLegend,20240212T054336.000Z,#209GRCLYC,1,#JVGYJJUC,0,2,Evol Archers,Evol Skeletons,Bowler,Arrows,Giant,Graveyard,Little Prince,Giant Snowball,Tower Princess,1,Evol Knight,Zap,Tornado,Hog Rider,The Log,Inferno Dragon,Mega Knight,Executioner,Tower Princess
