type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20230211T184942.000Z,65000000,54000056,Arena 14,72000291,Challenge_AllCards_EventDeck,9,eventDeck,#2C2YPJ99L,トム,7500,0,#LLVP08QQ,KILLER MACHINE,16000089,Skeletons,11,14,Ice Spirit,11,14,X-Bow,6,9,Tesla,11,14,The Log,3,6,Fireball,9,12,Knight,11,14,Archers,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QLYL9CC,참치,7500,1,,,,Giant,9,12,Zap,11,14,Miner,3,6,Phoenix,3,6,Arrows,11,14,Dark Prince,6,9,Prince,6,9,Electro Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230211T184244.000Z,65000000,54000014,Arena 17,72000291,Challenge_AllCards_EventDeck,8,eventDeck,#2C2YPJ99L,トム,7500,1,#LLVP08QQ,KILLER MACHINE,16000089,Skeletons,11,14,Ice Spirit,11,14,X-Bow,6,9,Tesla,11,14,The Log,3,6,Fireball,9,12,Knight,11,14,Archers,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CU9UJLC,ErLaN,7500,0,#8VVGRVJP,Банда Хомяка,16000008,Giant Skeleton,6,9,Magic Archer,3,6,Goblin Drill,6,9,Tornado,6,9,Cannon,11,14,The Log,3,6,Ice Spirit,11,14,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230211T183733.000Z,65000000,54000010,Arena 9,72000291,Challenge_AllCards_EventDeck,8,eventDeck,#2C2YPJ99L,トム,7500,0,#LLVP08QQ,KILLER MACHINE,16000089,Skeletons,11,14,Ice Spirit,11,14,X-Bow,6,9,Tesla,11,14,The Log,3,6,Fireball,9,12,Knight,11,14,Archers,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20UJ802R0,意志,7500,1,#2LPVUVQ,無言,16000044,Barbarian Barrel,6,9,Electro Dragon,6,9,Golden Knight,1,4,Elixir Collector,9,12,Golem,6,9,Lumberjack,3,6,Phoenix,3,6,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230211T183245.000Z,65000000,54000003,Arena 3,72000291,Challenge_AllCards_EventDeck,8,eventDeck,#2C2YPJ99L,トム,7500,0,#LLVP08QQ,KILLER MACHINE,16000089,Skeletons,11,14,Ice Spirit,11,14,X-Bow,6,9,Tesla,11,14,The Log,3,6,Fireball,9,12,Knight,11,14,Archers,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LP90L2RYG,スター⚡Melody⚡,7500,1,#QQPQGU0V,PERFECT TEAM EC,16000164,Golem,6,9,Night Witch,3,6,Arrows,11,14,Lumberjack,3,6,Mega Minion,9,12,Bomber,11,14,Zap,11,14,Elite Barbarians,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230211T182924.000Z,65000000,54000005,Arena 5,72000291,Challenge_AllCards_EventDeck,7,eventDeck,#2C2YPJ99L,トム,7500,1,#LLVP08QQ,KILLER MACHINE,16000089,Skeletons,11,14,Ice Spirit,11,14,X-Bow,6,9,Tesla,11,14,The Log,3,6,Fireball,9,12,Knight,11,14,Archers,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9JRUVYY0Q,<c2>Katlex,6329,0,#9CYC2QCC,Azteck Demons™,16000002,Earthquake,9,12,Bomb Tower,9,12,Miner,3,6,Tornado,6,9,Hunter,6,9,Ram Rider,3,6,Valkyrie,9,12,Electro Dragon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230211T182410.000Z,65000000,54000013,Arena 16,72000291,Challenge_AllCards_EventDeck,6,eventDeck,#2C2YPJ99L,トム,7500,1,#LLVP08QQ,KILLER MACHINE,16000089,Skeletons,11,14,Ice Spirit,11,14,X-Bow,6,9,Tesla,11,14,The Log,3,6,Fireball,9,12,Knight,11,14,Archers,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8Q22LG,Alvaromaquina,6158,0,#PJJ9JYJU,NXT Clan,16000044,Fireball,9,12,Lumberjack,3,6,Monk,1,4,Barbarian Barrel,6,9,Inferno Dragon,3,6,Ram Rider,3,6,Magic Archer,3,6,Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230211T181726.000Z,65000000,54000013,Arena 16,72000291,Challenge_AllCards_EventDeck,5,eventDeck,#2C2YPJ99L,トム,7500,1,#LLVP08QQ,KILLER MACHINE,16000089,Skeletons,11,14,Ice Spirit,11,14,X-Bow,6,9,Tesla,11,14,The Log,3,6,Fireball,9,12,Knight,11,14,Archers,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CUQRGPU,KBC / NICK,6486,0,#PCJLLY9L,kmr boyclasheur,16000154,Mother Witch,3,6,Goblin Hut,9,12,Mini P.E.K.K.A,9,12,Lightning,6,9,Flying Machine,9,12,Cannon Cart,6,9,Mega Knight,3,6,Furnace,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230211T181411.000Z,65000000,54000005,Arena 5,72000291,Challenge_AllCards_EventDeck,4,eventDeck,#2C2YPJ99L,トム,7500,1,#LLVP08QQ,KILLER MACHINE,16000089,Skeletons,11,14,Ice Spirit,11,14,X-Bow,6,9,Tesla,11,14,The Log,3,6,Fireball,9,12,Knight,11,14,Archers,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UQR8RG2RC,jooo-27,5024,0,#Q2922J9U,"90""s",16000013,Zap,11,14,Magic Archer,3,6,Poison,6,9,Electro Wizard,3,6,Royal Ghost,3,6,Battle Ram,9,12,P.E.K.K.A,6,9,Bandit,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230211T181100.000Z,65000000,54000014,Arena 17,72000291,Challenge_AllCards_EventDeck,3,eventDeck,#2C2YPJ99L,トム,7500,1,#LLVP08QQ,KILLER MACHINE,16000089,Skeletons,11,14,Ice Spirit,11,14,X-Bow,6,9,Tesla,11,14,The Log,3,6,Fireball,9,12,Knight,11,14,Archers,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YY98PPJP8,Oooooops ☹,6007,0,,,,P.E.K.K.A,6,9,Zap,11,14,Royal Ghost,3,6,Bandit,3,6,Battle Ram,9,12,Archers,11,14,Electro Wizard,3,6,Poison,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230211T180540.000Z,65000000,54000010,Arena 9,72000291,Challenge_AllCards_EventDeck,2,eventDeck,#2C2YPJ99L,トム,7500,1,#LLVP08QQ,KILLER MACHINE,16000089,Skeletons,11,14,Ice Spirit,11,14,X-Bow,6,9,Tesla,11,14,The Log,3,6,Fireball,9,12,Knight,11,14,Archers,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J8GPQ9R20,OLVERA,6502,0,#LLQJL0GY,MAMITAS PUEBLA,16000139,The Log,3,6,Golden Knight,1,4,Princess,3,6,Guards,6,9,Rocket,9,12,Inferno Tower,9,12,Ice Spirit,11,14,Goblin Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
