type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20230213T141256.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2C88PPJC9,Legione Aceあ,7500,0,,,,Hunter,6,9,Giant Skeleton,6,9,Cannon Cart,6,9,Phoenix,3,6,Graveyard,3,6,Arrows,11,14,Guards,6,9,Freeze,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#92V9UJGU,alesito69,7500,2,#QQCLPLG8,TORTILLALAND,16000024,Archer Queen,1,4,Lightning,6,9,P.E.K.K.A,6,9,Elixir Collector,9,12,Barbarian Barrel,6,9,The Log,3,6,Goblin Barrel,6,9,Skeleton Barrel,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T140805.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2C88PPJC9,Legione Aceあ,7500,1,,,,Mega Knight,3,6,Balloon,6,9,Flying Machine,9,12,Goblin Gang,11,14,Lightning,6,9,Miner,3,6,Minions,11,14,Skeleton King,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RJLY02Q2U,viktorka,5331,0,,,,The Log,3,6,P.E.K.K.A,6,9,Archer Queen,1,4,Fireball,9,12,Electro Wizard,3,6,Royal Ghost,3,6,Ice Spirit,11,14,Mortar,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T140259.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2C88PPJC9,Legione Aceあ,7500,2,,,,Hunter,6,9,Skeleton King,1,4,Royal Giant,11,14,The Log,3,6,Lightning,6,9,Bats,11,14,Skeleton Army,6,9,Mega Minion,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#ULVVGJCLU,とたけけ,2708,1,#PCY9QGUG,まったりエンジョイ会,16000177,Skeletons,11,14,Poison,6,9,Bomb Tower,9,12,Archer Queen,1,4,Goblin Cage,9,12,Magic Archer,3,6,Ram Rider,3,6,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T135652.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2C88PPJC9,Legione Aceあ,7500,1,,,,Hunter,6,9,Royal Delivery,11,14,Inferno Dragon,3,6,Giant,9,12,Mini P.E.K.K.A,9,12,Giant Snowball,11,14,Witch,6,9,Miner,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#82JQ8J882,ali,5421,0,#8RU0JYQ8,ارتش امام زمان,16000101,Lightning,6,9,Arrows,11,14,Monk,1,4,Electro Wizard,3,6,Firecracker,11,14,Electro Dragon,6,9,Royal Giant,11,14,Bandit,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T135110.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2C88PPJC9,Legione Aceあ,7500,3,,,,Musketeer,9,12,Miner,3,6,Balloon,6,9,Giant Snowball,11,14,Mighty Miner,1,4,Goblin Cage,9,12,Lumberjack,3,6,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L8V90R2U,zied_bzz,7500,0,#YUPP9PJQ,Sfaxien Forces,16000144,The Log,3,6,Arrows,11,14,Bowler,6,9,Hunter,6,9,Battle Ram,9,12,Giant,9,12,Bandit,3,6,Three Musketeers,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T133504.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2C88PPJC9,Legione Aceあ,7500,1,,,,Miner,3,6,Archer Queen,1,4,Knight,11,14,Poison,6,9,Giant Snowball,11,14,Bomb Tower,9,12,Goblin Gang,11,14,Sparky,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YLYR98LVQ,緋色の弾丸,4200,0,#800U8UVL,たこプリン,16000039,Fireball,9,12,Phoenix,3,6,Cannon Cart,6,9,Monk,1,4,Zappies,9,12,Skeletons,11,14,Goblin Drill,6,9,Bomber,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T132715.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2C88PPJC9,Legione Aceあ,7500,1,,,,Giant,9,12,Night Witch,3,6,Miner,3,6,Giant Snowball,11,14,Fisherman,3,6,Minions,11,14,Tombstone,9,12,Royal Delivery,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R222L0Q,abdullah omar,6646,0,#8JLP82L,Arabian Shield,16000003,Furnace,9,12,Earthquake,9,12,Electro Giant,6,9,Zap,11,14,Dark Prince,6,9,Golden Knight,1,4,Arrows,11,14,Skeleton Dragons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T132224.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2C88PPJC9,Legione Aceあ,7500,1,,,,Giant Skeleton,6,9,Balloon,6,9,Miner,3,6,Giant Snowball,11,14,Electro Wizard,3,6,Lumberjack,3,6,Skeletons,11,14,Goblin Drill,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C2P998VR8,karma,5133,0,,,,Poison,6,9,Arrows,11,14,Executioner,6,9,Archer Queen,1,4,Mini P.E.K.K.A,9,12,Hog Rider,9,12,Goblin Hut,9,12,Minion Horde,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T131516.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2C88PPJC9,Legione Aceあ,7500,3,,,,Lava Hound,3,6,Inferno Dragon,3,6,Mega Minion,9,12,Miner,3,6,Mini P.E.K.K.A,9,12,Barbarian Barrel,6,9,Poison,6,9,Golden Knight,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LYQ9YUU0Q,あぽぬ,7085,1,#YYCRCRY9,あきら,16000143,Cannon,11,14,Tesla,11,14,Phoenix,3,6,Royal Hogs,9,12,Arrows,11,14,Ram Rider,3,6,Freeze,6,9,Monk,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T131141.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2C88PPJC9,Legione Aceあ,7500,2,,,,Miner,3,6,Wall Breakers,6,9,Mighty Miner,1,4,Zap,11,14,Goblin Gang,11,14,Cannon Cart,6,9,Rocket,9,12,Goblin Cage,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VYPPG9Y,luv.your.m0m,6940,0,,,,Mega Knight,3,6,Princess,3,6,Guards,6,9,Fire Spirit,11,14,Mini P.E.K.K.A,9,12,Fireball,9,12,Skeleton Barrel,11,14,Tesla,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
