type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
pathOfLegend,20230213T175300.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2C8JPRQPC,SST RODAS ⚡,1911,1,#G22Q8V9C,new argentina™,16000138,Minions,14,14,Electro Wizard,6,6,Zap,14,14,Skeleton Army,9,9,Sparky,6,6,Giant,12,12,Arrows,14,14,Mini P.E.K.K.A,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G8QJQ02YG,Tachibana⚡️,1879,0,#QGR8QVCY,Home alone,16000110,Arrows,14,14,Zap,14,14,Mini P.E.K.K.A,12,12,Minion Horde,14,14,Mirror,9,9,Minions,14,14,Giant,12,12,Sparky,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T073605.000Z,65000000,54000004,Arena 4,72000291,Challenge_AllCards_EventDeck,3,eventDeck,#2C8JPRQPC,SST RODAS ⚡,7500,0,#G22Q8V9C,new argentina™,16000138,Skeletons,11,14,Knight,11,14,Mortar,11,14,Arrows,11,14,Royal Hogs,9,12,Firecracker,11,14,Fireball,9,12,Archers,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GUUPJG2Q,⚜️Babel⚜️,7500,1,#Q8GQVYJ2,かつ丼梅で,16000132,Goblin Giant,6,9,Sparky,3,6,Phoenix,3,6,Mini P.E.K.K.A,9,12,Electro Wizard,3,6,Arrows,11,14,Zap,11,14,Heal Spirit,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T071130.000Z,65000000,54000001,Arena 1,72000291,Challenge_AllCards_EventDeck,2,eventDeck,#2C8JPRQPC,SST RODAS ⚡,7500,1,#G22Q8V9C,new argentina™,16000138,Skeletons,11,14,Knight,11,14,Mortar,11,14,Arrows,11,14,Royal Hogs,9,12,Firecracker,11,14,Fireball,9,12,Archers,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8JR0P9JQ,Andrey GR,7021,0,#YGPGJGLC,IMPERIO CR,16000029,Lightning,6,9,Skeletons,11,14,Tesla,11,14,The Log,3,6,Firecracker,11,14,Ice Spirit,11,14,Hog Rider,9,12,Valkyrie,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T070802.000Z,65000000,54000055,Arena 13,72000291,Challenge_AllCards_EventDeck,1,eventDeck,#2C8JPRQPC,SST RODAS ⚡,7500,2,#G22Q8V9C,new argentina™,16000138,Skeletons,11,14,Knight,11,14,Mortar,11,14,Arrows,11,14,Royal Hogs,9,12,Firecracker,11,14,Fireball,9,12,Archers,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UCLVC0JQR,Sergio Alexis,5671,1,#LRRCCG9C,DARK KNIGHT,16000024,Zap,11,14,Arrows,11,14,Skeleton Dragons,11,14,Barbarians,11,14,Balloon,6,9,Miner,3,6,Inferno Dragon,3,6,Lava Hound,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T070439.000Z,65000000,54000014,Arena 17,72000291,Challenge_AllCards_EventDeck,0,eventDeck,#2C8JPRQPC,SST RODAS ⚡,7500,1,#G22Q8V9C,new argentina™,16000138,Skeletons,11,14,Knight,11,14,Mortar,11,14,Arrows,11,14,Royal Hogs,9,12,Firecracker,11,14,Fireball,9,12,Archers,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UP98QRQ,The Maestro 3,7500,0,#LGPJ0JPQ,KMC students,16000016,Archers,11,14,Fireball,9,12,Ice Spirit,11,14,The Log,3,6,Skeletons,11,14,X-Bow,6,9,Knight,11,14,Tesla,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20230213T042603.000Z,,54000017,Arena 20,72000044,Ladder_GoldRush,,collection,#2C8JPRQPC,SST RODAS ⚡,7500,2,#G22Q8V9C,new argentina™,16000138,Minions,14,14,Electro Wizard,6,6,Zap,14,14,Skeleton Army,9,9,Sparky,6,6,Giant,12,12,Arrows,14,14,Mini P.E.K.K.A,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#928RYQ20Y,Curfew,7500,1,#QQLJJ8YP,MK 4PLaY,16000114,Archers,14,14,Barbarian Barrel,9,9,Fisherman,6,6,Graveyard,6,6,Phoenix,6,6,Poison,9,9,Skeleton King,4,4,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T233732.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2C8JPRQPC,SST RODAS ⚡,1884,3,#G22Q8V9C,new argentina™,16000138,Minions,14,14,Electro Wizard,6,6,Zap,14,14,Skeleton Army,9,9,Sparky,6,6,Giant,12,12,Arrows,14,14,Mini P.E.K.K.A,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QJ9PVCRP,TheAngel27,1855,0,#GQ2Y08V2,Yamakasi,16000035,Bandit,6,6,Fire Spirit,14,14,Arrows,13,14,Tombstone,12,12,Goblin Drill,9,9,Dart Goblin,12,12,Royal Ghost,6,6,Wall Breakers,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20230212T080705.000Z,,54000017,Arena 20,72000007,Friendly,,collection,#2C8JPRQPC,SST RODAS ⚡,7500,3,#G22Q8V9C,new argentina™,16000138,Minions,11,14,Electro Wizard,3,6,Zap,11,14,Skeleton Army,6,9,Sparky,3,6,Giant,9,12,Arrows,11,14,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8JP9UC220,紙飛機 KY'Jossh❤,7500,0,#G22Q8V9C,new argentina™,16000138,Arrows,11,14,Bats,11,14,Giant,9,12,Mini P.E.K.K.A,9,12,Electro Wizard,3,6,Skeleton Army,6,9,Sparky,3,6,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T073249.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2C8JPRQPC,SST RODAS ⚡,1849,2,#G22Q8V9C,new argentina™,16000138,Minions,14,14,Electro Wizard,6,6,Zap,14,14,Skeleton Army,9,9,Sparky,6,6,Giant,12,12,Arrows,14,14,Mini P.E.K.K.A,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YPGRLCL2,Sheldon Cooper,1916,1,#QP002GVQ,Light Stars,16000138,Mighty Miner,4,4,Hog Rider,12,12,Archers,14,14,Earthquake,12,12,Skeletons,14,14,Bomb Tower,12,12,The Log,6,6,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T072736.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2C8JPRQPC,SST RODAS ⚡,1823,1,#G22Q8V9C,new argentina™,16000138,Minions,14,14,Electro Wizard,6,6,Zap,14,14,Skeleton Army,9,9,Sparky,6,6,Giant,12,12,Arrows,14,14,Mini P.E.K.K.A,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y8208QLC,Ali,1783,0,#2GLCPGU8,王者宝殿¥马来西亚¥,16000012,Fisherman,6,6,Archers,14,14,Electro Wizard,6,6,Zappies,12,12,Giant Skeleton,9,9,Royal Giant,14,14,Arrows,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
