type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
pathOfLegend,20230213T194218.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2C9VU2002,Innvader,1746,2,#QVRV8RQY,Lava Hub,16000002,Lava Hound,6,6,Skeleton Dragons,14,14,Miner,6,6,Arrows,14,14,Flying Machine,12,12,Tombstone,12,12,Phoenix,6,6,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RGG9GRP,♛L'artiste⁀➷,1773,0,#Q9RJY89J,Rebellion™️,16000077,Goblins,14,14,Rocket,12,12,Princess,6,6,The Log,6,6,Electro Spirit,14,14,Tesla,14,14,Goblin Barrel,9,9,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T193819.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2C9VU2002,Innvader,1716,2,#QVRV8RQY,Lava Hub,16000002,Lava Hound,6,6,Skeleton Dragons,14,14,Miner,6,6,Arrows,14,14,Flying Machine,12,12,Tombstone,12,12,Phoenix,6,6,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YLPQU2VR,✨King إسماعيل✨,1722,1,#YGP9P2Y0,Dame de Trêfle,16000170,The Log,6,6,Electro Spirit,14,14,Rocket,12,12,X-Bow,9,9,Tornado,9,9,Valkyrie,12,12,Archer Queen,4,4,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T193320.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2C9VU2002,Innvader,1686,3,#QVRV8RQY,Lava Hub,16000002,Lava Hound,6,6,Skeleton Dragons,14,14,Miner,6,6,Arrows,14,14,Flying Machine,12,12,Tombstone,12,12,Phoenix,6,6,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2L8PC9YGY,skopy,1690,0,#LCJL299L,Elite Stars™,16000040,Lava Hound,6,6,Balloon,9,9,Electro Wizard,6,6,Skeleton Army,9,9,The Log,6,6,Archers,14,14,Arrows,14,14,Phoenix,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T192517.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2C9VU2002,Innvader,1655,1,#QVRV8RQY,Lava Hub,16000002,Balloon,9,9,Inferno Dragon,6,6,Skeleton Dragons,14,14,Lava Hound,6,6,Miner,6,6,Barbarians,14,14,Zap,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GGGJLLJR,Idefix,1667,0,#L0QPV,UNAUFHALTSAM,16000002,Goblin Giant,9,9,Sparky,6,6,Mini P.E.K.K.A,12,12,Electro Wizard,6,6,Minions,14,14,Heal Spirit,12,12,Rage,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T192203.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2C9VU2002,Innvader,1685,2,#QVRV8RQY,Lava Hub,16000002,Balloon,9,9,Inferno Dragon,6,6,Skeleton Dragons,14,14,Lava Hound,6,6,Miner,6,6,Barbarians,14,14,Zap,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#82Y90VRJ9,abol eblis⚡,1681,3,#Q882GPG0,قلب سفید,16000110,Golem,9,9,Night Witch,6,6,Lumberjack,6,6,Phoenix,6,6,Fireball,12,12,Zap,14,14,Arrows,14,14,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T191849.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2C9VU2002,Innvader,1717,0,#QVRV8RQY,Lava Hub,16000002,Balloon,9,9,Inferno Dragon,6,6,Skeleton Dragons,14,14,Lava Hound,6,6,Miner,6,6,Barbarians,14,14,Zap,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9QGYU9RJ,maxime,1689,1,#YGP9P2Y0,Dame de Trêfle,16000170,Barbarian Barrel,9,9,Giant Skeleton,9,9,Fireball,12,12,Royal Giant,14,14,Arrows,14,14,Archer Queen,4,4,Fisherman,6,6,Zappies,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T174454.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2C9VU2002,Innvader,7500,0,#QVRV8RQY,Lava Hub,16000002,Archer Queen,1,4,Mortar,11,14,Miner,3,6,Guards,6,9,Tornado,6,9,Prince,6,9,Fireball,9,12,Bats,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J2YRYRRG,zacru,7500,1,#LGYJ0YLY,Ion⚛Gaming™ 2,16000043,Royal Giant,11,14,Mega Knight,3,6,Arrows,11,14,Minions,11,14,Freeze,6,9,Zap,11,14,Fisherman,3,6,Golden Knight,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T173612.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2C9VU2002,Innvader,1691,3,#QVRV8RQY,Lava Hub,16000002,Skeleton Dragons,14,14,Zap,14,14,Phoenix,6,6,Mighty Miner,4,4,Fireball,12,12,Lava Hound,6,6,Balloon,9,9,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UGGQUQCR,Blastoffツ❤️,1653,0,#GGJCCUCR,Born2Win,16000044,X-Bow,9,9,Tesla,14,14,Archers,14,14,Skeletons,14,14,Ice Spirit,14,14,Knight,14,14,Rocket,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T173328.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2C9VU2002,Innvader,1718,1,#QVRV8RQY,Lava Hub,16000002,Skeleton Dragons,14,14,Zap,14,14,Phoenix,6,6,Mighty Miner,4,4,Fireball,12,12,Lava Hound,6,6,Balloon,9,9,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#92CL822V,itoko,1742,2,#GYJPP8R9,清歌小镇,16000040,Elixir Golem,12,12,Battle Healer,12,12,Monk,4,4,Phoenix,6,6,Electro Dragon,9,9,Rage,9,9,Arrows,14,14,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T163340.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2C9VU2002,Innvader,1748,0,#QVRV8RQY,Lava Hub,16000002,Skeleton Dragons,14,14,Zap,14,14,Phoenix,6,6,Mighty Miner,4,4,Fireball,12,12,Lava Hound,6,6,Balloon,9,9,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#98QGG2V80,ATHARVA,1746,1,#YRPY9PYL,Royales players,16000108,Barbarian Barrel,9,9,Fire Spirit,14,14,Cannon,14,14,Electro Giant,9,9,Golden Knight,4,4,Lightning,9,9,Phoenix,6,6,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
