type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20230213T221704.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,9,eventDeck,#2CJLGPYVJ,One'SiGGereT,7500,1,#QGR8QVCY,Home alone,16000110,,3,0,Goblins,11,14,Fireball,9,12,The Log,3,6,Lightning,6,9,Monk,1,4,Miner,3,6,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PLQYPUQUJ,cute punch,6001,0,#L9LQPL8R,#3 CLAN,16000130,,3,0,Skeletons,11,14,Ice Spirit,11,14,Fire Spirit,11,14,Goblin Barrel,6,9,The Log,3,6,Royal Ghost,3,6,Poison,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T221323.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,9,eventDeck,#2CJLGPYVJ,One'SiGGereT,7500,0,#QGR8QVCY,Home alone,16000110,,3,0,Goblins,11,14,Freeze,6,9,The Log,3,6,Lightning,6,9,Monk,1,4,Miner,3,6,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L80L0UG0P,galuccio07,6565,1,#LG08CLQL,IR Solider's,16000032,,3,0,Lightning,6,9,Fireball,9,12,Skeletons,11,14,Elixir Collector,9,12,The Log,3,6,Mega Knight,3,6,Ice Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T220903.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,8,eventDeck,#2CJLGPYVJ,One'SiGGereT,7500,1,#QGR8QVCY,Home alone,16000110,,3,0,Goblins,11,14,Tornado,6,9,The Log,3,6,Lightning,6,9,Valkyrie,9,12,Miner,3,6,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YV9LCQ8L,GetReckM8,6513,0,#Y8GVJV80,Clan MacLeod,16000010,,3,0,Mega Knight,3,6,Mini P.E.K.K.A,9,12,Inferno Dragon,3,6,Phoenix,3,6,Monk,1,4,Lightning,6,9,Electro Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T220528.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,7,eventDeck,#2CJLGPYVJ,One'SiGGereT,7500,1,#QGR8QVCY,Home alone,16000110,,3,0,Goblins,11,14,Tornado,6,9,The Log,3,6,Lightning,6,9,Valkyrie,9,12,Miner,3,6,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CRU09RQJR,El Patrón 21,4539,0,#LG8RQPVP,EL SALVADOR 503,16000142,,3,0,Phoenix,3,6,Lightning,6,9,Hog Rider,9,12,Valkyrie,9,12,Firecracker,11,14,Skeleton Barrel,11,14,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T220142.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,6,eventDeck,#2CJLGPYVJ,One'SiGGereT,7500,1,#QGR8QVCY,Home alone,16000110,,3,0,Goblins,11,14,Tornado,6,9,The Log,3,6,Lightning,6,9,Valkyrie,9,12,Miner,3,6,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PL9PP09L8,sekoabi,6500,0,#YQ9YLPGL,⚡️True Unity⚡️,16000044,,3,0,Arrows,11,14,Lightning,6,9,Monk,1,4,Tornado,6,9,Wizard,9,12,Royal Recruits,11,14,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T215817.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,5,eventDeck,#2CJLGPYVJ,One'SiGGereT,7500,1,#QGR8QVCY,Home alone,16000110,,3,0,Goblins,11,14,Tornado,6,9,The Log,3,6,Lightning,6,9,Valkyrie,9,12,Miner,3,6,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V8G8LRJ,Manu,5889,0,#G88RJP2V,Valhalla,16000142,,3,0,The Log,3,6,Bats,11,14,Skeleton Army,6,9,Royal Ghost,3,6,Monk,1,4,Rocket,9,12,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T215502.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,5,eventDeck,#2CJLGPYVJ,One'SiGGereT,7500,0,#QGR8QVCY,Home alone,16000110,,3,0,Goblins,11,14,Tornado,6,9,The Log,3,6,Lightning,6,9,Valkyrie,9,12,Miner,3,6,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GV80PYLL,Mcnish1234,5755,1,#PVUUC9LJ,Imperio oscuro,16000073,,3,0,Fireball,9,12,Skeleton Army,6,9,Mega Knight,3,6,Valkyrie,9,12,Dark Prince,6,9,Goblin Barrel,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T215042.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,4,eventDeck,#2CJLGPYVJ,One'SiGGereT,7500,1,#QGR8QVCY,Home alone,16000110,,3,0,Goblins,11,14,Tornado,6,9,The Log,3,6,Lightning,6,9,Valkyrie,9,12,Miner,3,6,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JP909CP,tom,7500,0,#P0Y0LU9G,Rycerze Cebuli,16000043,,3,0,Ice Spirit,11,14,Fireball,9,12,The Log,3,6,Tornado,6,9,Musketeer,9,12,Poison,6,9,Knight,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T214724.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,4,eventDeck,#2CJLGPYVJ,One'SiGGereT,7500,0,#QGR8QVCY,Home alone,16000110,,3,0,Goblins,11,14,Tornado,6,9,The Log,3,6,Lightning,6,9,Valkyrie,9,12,Miner,3,6,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PGY99J8L0,Game Over,5748,3,#8GP8UCQ2,MercadoFuturo,16000024,,3,0,Monk,1,4,Arrows,11,14,Tombstone,9,12,Hog Rider,9,12,Electro Spirit,11,14,Spear Goblins,11,14,Electro Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T214348.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,3,eventDeck,#2CJLGPYVJ,One'SiGGereT,7500,1,#QGR8QVCY,Home alone,16000110,,3,0,Goblins,11,14,Tornado,6,9,The Log,3,6,Lightning,6,9,Valkyrie,9,12,Miner,3,6,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JUQQ8QV2Y,coco_,6030,0,#2QG8CQG9,CorseurWar1,16000078,,3,0,Monk,1,4,Mega Knight,3,6,The Log,3,6,Dart Goblin,9,12,Skeleton Army,6,9,Royal Delivery,11,14,Goblin Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T214029.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,3,eventDeck,#2CJLGPYVJ,One'SiGGereT,7500,0,#QGR8QVCY,Home alone,16000110,,3,0,Goblins,11,14,Tornado,6,9,The Log,3,6,Lightning,6,9,Valkyrie,9,12,Miner,3,6,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V9G2RCPPR,franco 11,5028,1,#QVVVPYJL,Nica Sport's,16000143,,3,0,Monk,1,4,Electro Wizard,3,6,Mega Knight,3,6,Tesla,11,14,Lightning,6,9,Goblin Barrel,6,9,Elixir Collector,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T213604.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,2,eventDeck,#2CJLGPYVJ,One'SiGGereT,7500,1,#QGR8QVCY,Home alone,16000110,,3,0,Goblins,11,14,Tornado,6,9,The Log,3,6,Lightning,6,9,Valkyrie,9,12,Miner,3,6,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8UJ2GRC9,Audicted,6560,0,#LG88PG9C,Valhalla,16000164,,3,0,Fireball,9,12,Miner,3,6,Electro Giant,6,9,Rage,6,9,Minions,11,14,Firecracker,11,14,Bats,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T213244.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,1,eventDeck,#2CJLGPYVJ,One'SiGGereT,7500,1,#QGR8QVCY,Home alone,16000110,,3,0,Goblins,11,14,Tornado,6,9,The Log,3,6,Lightning,6,9,Valkyrie,9,12,Miner,3,6,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L2P2ULVVR,ALEJO€5633W,6022,0,#P2CQ9VVP,Infernus,16000164,,3,0,Mega Knight,3,6,Goblins,11,14,Monk,1,4,Rage,6,9,Lightning,6,9,Tornado,6,9,Dart Goblin,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T212924.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,1,eventDeck,#2CJLGPYVJ,One'SiGGereT,7500,1,#QGR8QVCY,Home alone,16000110,,3,0,Goblins,11,14,Tornado,6,9,The Log,3,6,Lightning,6,9,Valkyrie,9,12,Miner,3,6,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C99RU2RJP,crow,5190,2,,,,,3,0,Skeletons,11,14,Fire Spirit,11,14,Electro Spirit,11,14,Zap,11,14,Ice Spirit,11,14,Royal Ghost,3,6,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T212512.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,0,eventDeck,#2CJLGPYVJ,One'SiGGereT,7500,3,#QGR8QVCY,Home alone,16000110,,3,0,Goblins,11,14,Tornado,6,9,The Log,3,6,Lightning,6,9,Valkyrie,9,12,Miner,3,6,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YUYUPYUR,&&ÁMÊÑ&&,5197,0,#LRLP2UG2,you are lying,16000040,,3,0,Balloon,6,9,Inferno Dragon,3,6,Tesla,11,14,Zap,11,14,Fireball,9,12,Mega Minion,9,12,Guards,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T212149.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,7,eventDeck,#2CJLGPYVJ,One'SiGGereT,7500,1,#QGR8QVCY,Home alone,16000110,,3,0,Goblins,11,14,Tornado,6,9,The Log,3,6,Lightning,6,9,Valkyrie,9,12,Miner,3,6,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CPG08JQV,P H O E N I X,6115,0,#2GGP82PP,PlanetaBeatbox,16000138,,3,0,Ice Spirit,11,14,Zap,11,14,Firecracker,11,14,Fireball,9,12,Dart Goblin,9,12,Hog Rider,9,12,Ice Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T211729.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,6,eventDeck,#2CJLGPYVJ,One'SiGGereT,7500,1,#QGR8QVCY,Home alone,16000110,,3,0,Goblins,11,14,Tornado,6,9,The Log,3,6,Lightning,6,9,Valkyrie,9,12,Miner,3,6,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JULP90GY,Its_Echo,6611,0,#LYJQPQQG,<3,16000134,,3,0,The Log,3,6,Wall Breakers,6,9,Lightning,6,9,Valkyrie,9,12,Earthquake,9,12,Bomb Tower,9,12,Spear Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T211338.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,5,eventDeck,#2CJLGPYVJ,One'SiGGereT,7500,1,#QGR8QVCY,Home alone,16000110,,3,0,Goblins,11,14,Tornado,6,9,The Log,3,6,Lightning,6,9,Valkyrie,9,12,Miner,3,6,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JLP8RULJ,Chino,6561,0,#GPJ0QU9U,ALL♠️BLACKS,16000139,,3,0,Lightning,6,9,Archer Queen,1,4,Spear Goblins,11,14,Bats,11,14,The Log,3,6,Tombstone,9,12,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T211011.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,4,eventDeck,#2CJLGPYVJ,One'SiGGereT,7500,1,#QGR8QVCY,Home alone,16000110,,3,0,Goblins,11,14,Tornado,6,9,The Log,3,6,Lightning,6,9,Valkyrie,9,12,Miner,3,6,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VV2PCPY8,FP⚛️Lisendru,7500,0,#QQ9CLP90,Purple Ehpad,16000044,,3,0,The Log,3,6,Lightning,6,9,Skeletons,11,14,Wall Breakers,6,9,Bomb Tower,9,12,Fire Spirit,11,14,Knight,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T210637.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,4,eventDeck,#2CJLGPYVJ,One'SiGGereT,7500,0,#QGR8QVCY,Home alone,16000110,,3,0,Goblins,11,14,Tornado,6,9,The Log,3,6,Lightning,6,9,Valkyrie,9,12,Miner,3,6,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89VJJR0R9,Pablo.D.L.,7217,1,#UUGPRQP,New Galicia,16000023,,3,0,Lightning,6,9,Tombstone,9,12,Electro Spirit,11,14,Earthquake,9,12,Arrows,11,14,Mega Knight,3,6,Balloon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T210307.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,3,eventDeck,#2CJLGPYVJ,One'SiGGereT,7500,1,#QGR8QVCY,Home alone,16000110,,3,0,Goblins,11,14,Tornado,6,9,The Log,3,6,Lightning,6,9,Valkyrie,9,12,Miner,3,6,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2VPJ9LG98,Diego,5868,0,#2L92V2YC,EcuRoyale,16000073,,3,0,Ice Golem,9,12,The Log,3,6,Fireball,9,12,Wall Breakers,6,9,Miner,3,6,Mega Minion,9,12,Mini P.E.K.K.A,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T205929.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,2,eventDeck,#2CJLGPYVJ,One'SiGGereT,7500,1,#QGR8QVCY,Home alone,16000110,,3,0,Goblins,11,14,Tornado,6,9,The Log,3,6,Lightning,6,9,Valkyrie,9,12,Miner,3,6,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PJGUUJC0,sjg,6049,0,#LGJ2JV2Q,1052,16000102,,3,0,Fireball,9,12,Bowler,6,9,Guards,6,9,Skeleton Dragons,11,14,Royal Hogs,9,12,Zappies,9,12,Elixir Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
