type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
casual2v2,20230212T180650.000Z,,54000001,Arena 1,72000023,TeamVsTeamLadder,,collection,#880UP090J,Увлажнитель,7500,0,#LR8RPPRP,Top 1 ARG,16000016,Hog Rider,12,12,Ice Spirit,14,14,Skeletons,14,14,Fireball,12,12,Cannon,14,14,The Log,6,6,Ice Golem,12,12,Musketeer,12,12,#2CLPQUYUY,♠︎McTato♠︎,,0,#LR8RPPRP,Top 1 ARG,16000016,Ice Spirit,14,14,Skeletons,14,14,Fireball,12,12,Cannon,14,14,Ice Golem,12,12,Musketeer,12,12,Hog Rider,12,12,The Log,6,6,#Y2GP2YRV,Jarl_Granados,6517,3,#LRYLCG98,Drogos Inc◇,16000029,Mega Minion,12,12,Knight,14,14,Mini P.E.K.K.A,12,12,Musketeer,12,12,Minions,14,14,Valkyrie,12,12,Witch,9,9,Bomber,14,14,#PVUURJJQ,Ctrl_Alt_Dstry,,3,#L9PJU82Q,radish,16000157,Mega Knight,6,6,Graveyard,6,6,Magic Archer,6,6,Dart Goblin,12,12,Prince,9,9,Tombstone,12,12,Tornado,9,9,Fire Spirit,14,14
pathOfLegend,20230212T045954.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CLPQUYUY,♠︎McTato♠︎,1950,1,#LR8RPPRP,Top 1 ARG,16000016,Ice Spirit,14,14,Skeletons,14,14,Fireball,12,12,Cannon,14,14,Ice Golem,12,12,Musketeer,12,12,Hog Rider,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PJ2VL2YRR,n_low,1905,0,#GLURC0VY,reno Gamblers,16000045,Heal Spirit,12,12,Rage,9,9,Elite Barbarians,14,14,Mighty Miner,4,4,Bomber,14,14,Elixir Collector,12,12,Bandit,6,6,Goblin Drill,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230212T044757.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2CLPQUYUY,♠︎McTato♠︎,7500,0,,,,Archer Queen,1,4,Tornado,6,9,Valkyrie,9,12,Giant Snowball,11,14,Royal Giant,11,14,Electro Dragon,6,9,Cannon Cart,6,9,Electro Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LJC0820,WHITE WOLF,7500,1,,,,Rascals,11,14,Fireball,9,12,The Log,3,6,Miner,3,6,Bomb Tower,9,12,Zappies,9,12,Hunter,6,9,Spear Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230212T043935.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2CLPQUYUY,♠︎McTato♠︎,7500,1,,,,The Log,3,6,Mega Knight,3,6,Rage,6,9,Prince,6,9,Dark Prince,6,9,Minions,11,14,Baby Dragon,6,9,Golden Knight,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9JYLUC28Q,willy,6315,0,#LCGU8G8P,chapines-502,16000139,Lightning,6,9,Arrows,11,14,Knight,11,14,Mighty Miner,1,4,Tombstone,9,12,Ice Spirit,11,14,Wizard,9,12,Goblin Gang,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T020920.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CLPQUYUY,♠︎McTato♠︎,1920,1,,,,Ice Spirit,14,14,Skeletons,14,14,Fireball,12,12,Cannon,14,14,Ice Golem,12,12,Musketeer,12,12,Hog Rider,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LJRGLJPL,Csv｜✨Dany❤️Aly✨,1921,0,#LVG8C8Q8,Team Alpha MX,16000028,Inferno Dragon,6,6,Graveyard,6,6,Bowler,9,9,Freeze,9,9,Tornado,9,9,Skeleton King,4,4,Zappies,12,12,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230212T020340.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2CLPQUYUY,♠︎McTato♠︎,7500,0,,,,The Log,3,6,Goblin Barrel,6,9,Valkyrie,9,12,Magic Archer,3,6,Goblin Drill,6,9,Tesla,11,14,Earthquake,9,12,Royal Giant,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PRVQUCV,Dresfrs,7500,1,#22P09J,Blue Division,16000043,Monk,1,4,Miner,3,6,Barbarian Barrel,6,9,Archers,11,14,Dark Prince,6,9,Cannon,11,14,Knight,11,14,Hog Rider,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230212T015746.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2CLPQUYUY,♠︎McTato♠︎,7500,0,,,,Poison,6,9,Miner,3,6,Monk,1,4,Dart Goblin,9,12,Ice Golem,9,12,Baby Dragon,6,9,Hunter,6,9,Cannon Cart,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UUQ88L8CU,国际服要加速器吗,3091,1,#QU2U99JL,星空,16000097,The Log,3,6,Prince,6,9,Goblin Barrel,6,9,Fireball,9,12,Golden Knight,1,4,Electro Dragon,6,9,Bomber,11,14,Tesla,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230212T015019.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2CLPQUYUY,♠︎McTato♠︎,7500,1,,,,Skeleton King,1,4,Arrows,11,14,Poison,6,9,Tombstone,9,12,Graveyard,3,6,Fisherman,3,6,Musketeer,9,12,Knight,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9PJU8VJ2P,miner 49er,7000,0,#RGQU8P0,Fluster Clucks,16000029,Inferno Dragon,3,6,Golden Knight,1,4,Ram Rider,3,6,Skeleton Barrel,11,14,Princess,3,6,Goblins,11,14,Lightning,6,9,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230212T014443.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2CLPQUYUY,♠︎McTato♠︎,7500,1,,,,Hog Rider,9,12,Giant Snowball,11,14,Cannon,11,14,Barbarian Barrel,6,9,Monk,1,4,Miner,3,6,Hunter,6,9,Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29C28PQV2,Mattia,5880,0,#2CLYRCQ8,GLI SPADINI,16000081,Poison,6,9,The Log,3,6,Witch,6,9,Princess,3,6,Elixir Collector,9,12,Prince,6,9,P.E.K.K.A,6,9,Ram Rider,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230212T013939.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2CLPQUYUY,♠︎McTato♠︎,7500,0,,,,Monk,1,4,Lightning,6,9,Dart Goblin,9,12,Valkyrie,9,12,Royal Ghost,3,6,Flying Machine,9,12,Graveyard,3,6,Freeze,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q0YVYUGYC,maison,6024,1,#8G8JR2R0,Poupoules FR,16000111,Archer Queen,1,4,P.E.K.K.A,6,9,Royal Recruits,11,14,Royal Delivery,11,14,Zap,11,14,Goblin Drill,6,9,Ice Spirit,11,14,Minions,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
