type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
pathOfLegend,20230213T171436.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CP9JQP90,きめつ I たんじろう,1542,1,#9CL9LJGP,Nova I stones,16000044,Goblins,14,14,Ice Spirit,14,14,Giant Snowball,14,14,Tornado,9,9,Miner,6,6,Princess,6,6,Knight,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2V9G2Q8YG,no mames,1485,3,#Q8RVLR88,TOPG,16000084,Arrows,14,14,Fireball,12,12,Dark Prince,9,9,Witch,9,9,Giant,12,12,Inferno Dragon,6,6,Graveyard,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T170917.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CP9JQP90,きめつ I たんじろう,1517,2,#9CL9LJGP,Nova I stones,16000044,Goblins,14,14,Ice Spirit,14,14,Giant Snowball,14,14,Tornado,9,9,Miner,6,6,Princess,6,6,Knight,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28PLL9RR,سروش,1459,1,#Y9VCUVP2,iran iran iran,16000077,Mirror,9,9,Minions,14,14,Archers,14,14,Arrows,14,14,Giant,12,12,Sparky,6,6,Mini P.E.K.K.A,12,12,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T170530.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CP9JQP90,きめつ I たんじろう,1548,1,#9CL9LJGP,Nova I stones,16000044,Goblins,14,14,Ice Spirit,14,14,Giant Snowball,14,14,Tornado,9,9,Miner,6,6,Princess,6,6,Knight,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJQVYRJJQ,derek,1528,2,#Y229GVCJ,BUFFI!!,16000058,Ram Rider,6,6,Musketeer,12,12,Arrows,14,14,Mega Knight,6,6,Archers,14,14,Zappies,12,12,Rage,9,9,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T170027.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CP9JQP90,きめつ I たんじろう,1515,1,#9CL9LJGP,Nova I stones,16000044,Goblins,14,14,Ice Spirit,14,14,Giant Snowball,14,14,Tornado,9,9,Miner,6,6,Princess,6,6,Knight,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8JJU22YQQ,《BNZ》JIREN,1551,0,#QJ82L000,Nova Era,16000020,Graveyard,6,6,Phoenix,6,6,Fisherman,6,6,Skeleton King,4,4,Barbarian Barrel,9,9,Zappies,12,12,Poison,9,9,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T165456.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CP9JQP90,きめつ I たんじろう,1484,1,#9CL9LJGP,Nova I stones,16000044,Goblins,14,14,Ice Spirit,14,14,Giant Snowball,14,14,Tornado,9,9,Miner,6,6,Princess,6,6,Knight,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22U8RQ908,Rafaelckp,1497,0,#PLPVC0QG,Cardinals,16000009,Miner,6,6,Skeleton Army,9,9,Princess,6,6,The Log,6,6,Minion Horde,14,14,Goblin Barrel,9,9,Inferno Tower,12,12,Goblin Gang,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T165007.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CP9JQP90,きめつ I たんじろう,1452,1,#9CL9LJGP,Nova I stones,16000044,Goblins,14,14,Ice Spirit,14,14,Giant Snowball,14,14,Tornado,9,9,Miner,6,6,Princess,6,6,Knight,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LRJLUJGV,ok,1486,0,#Q88RPJ9P,brain damage,16000123,Bats,14,14,Knight,14,14,Tornado,9,9,Archers,14,14,Miner,6,6,Poison,9,9,Mortar,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T164622.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CP9JQP90,きめつ I たんじろう,1423,3,#9CL9LJGP,Nova I stones,16000044,Goblins,14,14,Ice Spirit,14,14,Giant Snowball,14,14,Tornado,9,9,Miner,6,6,Princess,6,6,Knight,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GJYJLJ9L8,✨Nagüel｜布里托✨,1418,0,#YUYY9Y0L,La Guardia,16000004,Firecracker,14,14,Knight,14,14,Goblins,14,14,Bomb Tower,12,12,Hog Rider,12,12,The Log,6,6,Earthquake,12,12,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T164250.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CP9JQP90,きめつ I たんじろう,1456,0,#9CL9LJGP,Nova I stones,16000044,Goblins,14,14,Ice Spirit,14,14,Giant Snowball,14,14,Tornado,9,9,Miner,6,6,Princess,6,6,Knight,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28PLL9RR,سروش,1412,1,#Y9VCUVP2,iran iran iran,16000077,Mirror,9,9,Minions,14,14,Archers,14,14,Arrows,14,14,Giant,12,12,Sparky,6,6,Mini P.E.K.K.A,12,12,Lumberjack,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T163907.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CP9JQP90,きめつ I たんじろう,1484,0,#9CL9LJGP,Nova I stones,16000044,Goblins,14,14,Ice Spirit,14,14,Giant Snowball,14,14,Tornado,9,9,Miner,6,6,Princess,6,6,Knight,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9UGGQUQCR,Blastoffツ❤️,1503,1,#GGJCCUCR,Born2Win,16000044,X-Bow,9,9,Tesla,14,14,Archers,14,14,Skeletons,14,14,Ice Spirit,14,14,Knight,14,14,Rocket,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T163546.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CP9JQP90,きめつ I たんじろう,1512,0,#9CL9LJGP,Nova I stones,16000044,Goblins,14,14,Ice Spirit,14,14,Giant Snowball,14,14,Tornado,9,9,Miner,6,6,Princess,6,6,Knight,14,14,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L2U8LLG2G,なたまめ,1525,1,#Y8YLLY9Q,ほんじょい,16000175,Prince,9,9,Rascals,14,14,Princess,6,6,Dart Goblin,12,12,Goblin Gang,14,14,Goblin Barrel,9,9,Rocket,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
