type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
pathOfLegend,20230213T155508.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CPP982VY,Pobre Castanha™,1892,0,#L2U9PG98,GUERREIROS PT,16000058,Lava Hound,6,6,Miner,6,6,Arrows,14,14,Barbarians,14,14,Zap,14,14,Balloon,9,9,Skeleton Dragons,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YCJPRRQYL,Mατεσ✨ツ,1852,1,#28L0JQQP,Kings eSports,16000032,Bowler,9,9,Balloon,9,9,Baby Dragon,9,9,Tornado,9,9,Inferno Dragon,6,6,Barbarian Barrel,9,9,Lumberjack,6,6,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T155033.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CPP982VY,Pobre Castanha™,1922,1,#L2U9PG98,GUERREIROS PT,16000058,Lava Hound,6,6,Miner,6,6,Arrows,14,14,Barbarians,14,14,Zap,14,14,Balloon,9,9,Skeleton Dragons,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9L80R9R8,Rob ❤,1922,2,#GQJPVQUU,Les Jean-Louis,16000097,Spear Goblins,14,14,Minions,14,14,Mini P.E.K.K.A,12,12,Arrows,14,14,Goblin Drill,9,9,Baby Dragon,9,9,Dark Prince,9,9,Balloon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T152927.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CPP982VY,Pobre Castanha™,1896,3,#L2U9PG98,GUERREIROS PT,16000058,Lava Hound,6,6,Miner,6,6,Arrows,14,14,Barbarians,14,14,Zap,14,14,Balloon,9,9,Skeleton Dragons,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LP0J8Q8JU,Anita86™,1852,1,#Q882GPG0,قلب سفید,16000110,Witch,9,9,Giant,12,12,Dark Prince,9,9,Mini P.E.K.K.A,12,12,Rage,9,9,Elixir Collector,12,12,Minions,14,14,Heal Spirit,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T152607.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CPP982VY,Pobre Castanha™,1866,2,#L2U9PG98,GUERREIROS PT,16000058,Lava Hound,6,6,Miner,6,6,Arrows,14,14,Barbarians,14,14,Zap,14,14,Balloon,9,9,Skeleton Dragons,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q8L92V0CC,Ayu ᴍᴀ-ᴄʜᴀɴ,1868,1,#QU8CCG8V,B.R✨eSports❤️,16000173,Fireball,12,12,Knight,14,14,The Log,6,6,X-Bow,9,9,Tesla,14,14,Archers,14,14,Skeletons,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T151938.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CPP982VY,Pobre Castanha™,1895,0,#L2U9PG98,GUERREIROS PT,16000058,Lava Hound,6,6,Miner,6,6,Arrows,14,14,Barbarians,14,14,Zap,14,14,Balloon,9,9,Skeleton Dragons,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JC2PGRC8,Stephen,1899,1,#8GQGUJ,Undefined,16000077,Ice Wizard,6,6,Skeleton King,4,4,Tornado,9,9,Phoenix,6,6,Barbarian Barrel,9,9,Poison,9,9,Graveyard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T150935.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CPP982VY,Pobre Castanha™,1926,1,#L2U9PG98,GUERREIROS PT,16000058,Lava Hound,6,6,Miner,6,6,Arrows,14,14,Barbarians,14,14,Zap,14,14,Balloon,9,9,Skeleton Dragons,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q8RJ90QV,as slimshady,1909,2,#LJP8VC8L,machikne,16000029,Fireball,12,12,Goblin Gang,14,14,Prince,9,9,Spear Goblins,14,14,Zap,14,14,Dark Prince,9,9,Bats,14,14,Goblin Giant,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T150418.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CPP982VY,Pobre Castanha™,1896,3,#L2U9PG98,GUERREIROS PT,16000058,Lava Hound,6,6,Miner,6,6,Arrows,14,14,Barbarians,14,14,Zap,14,14,Balloon,9,9,Skeleton Dragons,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q9Q88JGY,地狱犬❤Defuze☆,1906,1,,,,Goblins,14,14,Archers,14,14,The Log,6,6,Monk,4,4,Ice Spirit,14,14,Bomb Tower,12,12,Hog Rider,12,12,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230212T230643.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2CPP982VY,Pobre Castanha™,7500,0,#L2U9PG98,GUERREIROS PT,16000058,Inferno Dragon,3,6,Hunter,6,9,Tornado,6,9,Skeleton King,1,4,Graveyard,3,6,Goblin Cage,9,12,Zappies,9,12,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22VG8GPQ8,Alemán,7500,1,#GQP0920J,token perez,16000118,Archer Queen,1,4,Poison,6,9,Goblins,11,14,Fire Spirit,11,14,Giant Snowball,11,14,Miner,3,6,Bomb Tower,9,12,Mega Knight,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T213434.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CPP982VY,Pobre Castanha™,,3,#L2U9PG98,GUERREIROS PT,16000058,Lava Hound,6,6,Miner,6,6,Arrows,14,14,Barbarians,14,14,Zap,14,14,Balloon,9,9,Skeleton Dragons,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#208Q9VCRQ,lance,,1,#989VGGV8,ComeBack,16000010,Lava Hound,6,6,Lightning,9,9,Balloon,9,9,Phoenix,6,6,Tombstone,12,12,Minions,14,14,Goblin Gang,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T213115.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CPP982VY,Pobre Castanha™,,2,#L2U9PG98,GUERREIROS PT,16000058,Lava Hound,6,6,Miner,6,6,Arrows,14,14,Barbarians,14,14,Zap,14,14,Balloon,9,9,Skeleton Dragons,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LL0JU98G,nimya,,1,#QG00RP2V,ONLY GODS,16000162,Ice Golem,12,12,Zap,14,14,Minions,14,14,Princess,6,6,Hog Rider,12,12,Lightning,9,9,Mega Knight,6,6,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
