type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
pathOfLegend,20230213T124240.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CPYRG29J,Nine✌️,1809,0,#VQCQQJP,Nice Strategy,16000136,Balloon,9,9,Mighty Miner,4,4,Miner,6,6,Goblins,14,14,Archers,14,14,Bats,14,14,Bomb Tower,12,12,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8V8R8URUP,ユッキー,1854,3,#QCLQVUUP,kickしてback,16000034,Golem,9,9,Night Witch,6,6,Miner,6,6,Bats,14,14,Phoenix,6,6,Lightning,9,9,Goblin Gang,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T123919.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CPYRG29J,Nine✌️,1778,1,#VQCQQJP,Nice Strategy,16000136,Balloon,9,9,Mighty Miner,4,4,Miner,6,6,Goblins,14,14,Archers,14,14,Bats,14,14,Bomb Tower,12,12,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YYLQJ0Q0,mohammad,1800,0,#Y9VUJ80Q,clash_royal,16000002,Poison,9,9,Magic Archer,6,6,Bandit,6,6,P.E.K.K.A,9,9,Battle Ram,12,12,Royal Ghost,6,6,Electro Wizard,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T122609.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CPYRG29J,Nine✌️,1748,2,#VQCQQJP,Nice Strategy,16000136,Balloon,9,9,Mighty Miner,4,4,Miner,6,6,Goblins,14,14,Archers,14,14,Bats,14,14,Bomb Tower,12,12,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9PQ22829R,404- Not Found,1757,0,#CYCJJLG,Nova Turkey,16000044,Golem,9,9,Night Witch,6,6,Baby Dragon,9,9,Electro Dragon,9,9,Lumberjack,6,6,Mini P.E.K.K.A,12,12,Elite Barbarians,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T122225.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CPYRG29J,Nine✌️,1719,2,#VQCQQJP,Nice Strategy,16000136,Balloon,9,9,Mighty Miner,4,4,Miner,6,6,Goblins,14,14,Archers,14,14,Bats,14,14,Bomb Tower,12,12,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y9L0QJ802,GremeK,1708,0,#Q82ULRPU,PolishShelter,16000108,Bats,14,14,Wall Breakers,9,9,Arrows,14,14,Prince,9,9,Zap,14,14,Archer Queen,4,4,Bandit,6,6,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T115120.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CPYRG29J,Nine✌️,1687,3,#VQCQQJP,Nice Strategy,16000136,Balloon,9,9,Mighty Miner,4,4,Miner,6,6,Goblins,14,14,Archers,14,14,Bats,14,14,Bomb Tower,12,12,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GJR9U0UYQ,paiN João ™,1717,0,#QJ82L000,Nova Era,16000020,Graveyard,6,6,Phoenix,6,6,Fisherman,6,6,Skeleton King,4,4,Barbarian Barrel,9,9,Zappies,12,12,Poison,9,9,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T114718.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CPYRG29J,Nine✌️,1652,2,#VQCQQJP,Nice Strategy,16000136,Balloon,9,9,Mighty Miner,4,4,Miner,6,6,Goblins,14,14,Archers,14,14,Bats,14,14,Bomb Tower,12,12,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20L2QVV2C,YT: Amir cLuB,1713,1,#QU8L92JJ,YouTube,16000088,Knight,14,14,Hog Rider,12,12,Archers,14,14,Earthquake,12,12,Skeletons,14,14,Bomb Tower,12,12,The Log,6,6,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T050700.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CPYRG29J,Nine✌️,1685,0,#VQCQQJP,Nice Strategy,16000136,Earthquake,12,12,Mighty Miner,4,4,The Log,6,6,Hog Rider,12,12,Archers,14,14,Giant Snowball,14,14,Bomb Tower,12,12,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99JJ0PYJ,TheRealWinner,1644,1,#QCGJURVJ,Poomark,16000069,Barbarian Barrel,9,9,Bomber,14,14,Cannon,14,14,Phoenix,6,6,Golden Knight,4,4,Electro Giant,9,9,Tornado,9,9,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T050050.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CPYRG29J,Nine✌️,1654,1,#VQCQQJP,Nice Strategy,16000136,Earthquake,12,12,Mighty Miner,4,4,The Log,6,6,Hog Rider,12,12,Archers,14,14,Giant Snowball,14,14,Bomb Tower,12,12,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#92Q82JUUR,pei,1670,0,#VQ2UQCV,孤島の楽園,16000040,Zappies,12,12,Royal Hogs,12,12,Goblin Cage,12,12,Fireball,12,12,Royal Recruits,14,14,Electro Spirit,14,14,Barbarian Barrel,9,9,Flying Machine,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T043854.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CPYRG29J,Nine✌️,1689,0,#VQCQQJP,Nice Strategy,16000136,Skeleton King,4,4,Ice Wizard,6,6,Phoenix,6,6,Graveyard,6,6,Tornado,9,9,Barbarian Barrel,9,9,Tombstone,12,12,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U8J9RLCC,Nico28 is god✨,1625,1,#QQRG9RRL,Xtreme Cats,16000065,Earthquake,12,12,Mighty Miner,4,4,The Log,6,6,Hog Rider,12,12,Archers,14,14,Giant Snowball,14,14,Bomb Tower,12,12,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T042745.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CPYRG29J,Nine✌️,1656,1,#VQCQQJP,Nice Strategy,16000136,Skeleton King,4,4,Ice Wizard,6,6,Phoenix,6,6,Graveyard,6,6,Tornado,9,9,Barbarian Barrel,9,9,Tombstone,12,12,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PR8C2JYLG,STPR I ゆづちゃん✌,1701,0,#2V80C0UG,僕のヒーローアカデミア,16000005,Lava Hound,6,6,Balloon,9,9,Phoenix,6,6,Miner,6,6,Archer Queen,4,4,Bomb Tower,12,12,Mirror,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T041636.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CPYRG29J,Nine✌️,,1,#VQCQQJP,Nice Strategy,16000136,Skeleton King,4,4,Ice Wizard,6,6,Phoenix,6,6,Graveyard,6,6,Tornado,9,9,Barbarian Barrel,9,9,Tombstone,12,12,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UC20JVPU,MOSES,,0,#92LLJ828,Nova I Korea,16000126,Fireball,12,12,Royal Recruits,14,14,Royal Hogs,12,12,Flying Machine,12,12,Barbarian Barrel,9,9,Goblin Cage,12,12,Zappies,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T041303.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CPYRG29J,Nine✌️,,1,#VQCQQJP,Nice Strategy,16000136,Skeleton King,4,4,Ice Wizard,6,6,Phoenix,6,6,Graveyard,6,6,Tornado,9,9,Barbarian Barrel,9,9,Tombstone,12,12,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#829RGC82L,Alvelean,,0,#Q0CGYGUP,Fatherless,16000154,Graveyard,6,6,Phoenix,6,6,Poison,9,9,Bomb Tower,12,12,Barbarian Barrel,9,9,Archers,14,14,Skeletons,14,14,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
