type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
pathOfLegend,20230213T163133.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CQYQRQYL,Pirika,1999,3,#P222UJUY,GRAPE,16000175,Goblin Giant,9,9,Bats,14,14,Archers,14,14,Rage,9,9,Prince,9,9,Dark Prince,9,9,Arrows,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22UP909UR,Casangitax,2021,1,#LVQPQUYY,Gods Empire,16000044,Sparky,6,6,Goblin Giant,9,9,Minions,14,14,Fireball,12,12,Skeleton Army,9,9,Musketeer,12,12,Zap,14,14,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T154608.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CQYQRQYL,Pirika,1969,3,#P222UJUY,GRAPE,16000175,Goblin Giant,9,9,Bats,14,14,Archers,14,14,Rage,9,9,Prince,9,9,Dark Prince,9,9,Arrows,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PJL2JQV2,NOTORIOUS SIR,1971,1,#QJPC22GQ,HELL’S LEGION,16000106,Royal Giant,14,14,Minion Horde,14,14,Barbarians,14,14,Archers,14,14,Zap,14,14,Arrows,14,14,Hog Rider,12,12,Sparky,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T154301.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CQYQRQYL,Pirika,1942,1,#P222UJUY,GRAPE,16000175,Goblin Giant,9,9,Bats,14,14,Archers,14,14,Rage,9,9,Prince,9,9,Dark Prince,9,9,Arrows,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q2QCYLPR,Nexus✨,1916,0,#YGP9P2Y0,Dame de Trêfle,16000170,Tornado,9,9,Tesla,14,14,Electro Spirit,14,14,Valkyrie,12,12,Archer Queen,4,4,Rocket,12,12,X-Bow,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T153738.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CQYQRQYL,Pirika,1914,1,#P222UJUY,GRAPE,16000175,Goblin Giant,9,9,Bats,14,14,Archers,14,14,Rage,9,9,Prince,9,9,Dark Prince,9,9,Arrows,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PLLPVURP,vadimdmish,1901,0,#LLU00V0V,YouTube,16000109,Hog Rider,12,12,Musketeer,12,12,Fireball,12,12,Ice Golem,12,12,Cannon,14,14,The Log,6,6,Skeletons,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T153331.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CQYQRQYL,Pirika,1890,1,#P222UJUY,GRAPE,16000175,Goblin Giant,9,9,Bats,14,14,Archers,14,14,Rage,9,9,Prince,9,9,Dark Prince,9,9,Arrows,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2U8PUJ2L8,FF willyG,1826,0,#QC8R0888,Fierce Force,16000002,Ice Spirit,14,14,Skeletons,14,14,X-Bow,9,9,Knight,14,14,The Log,6,6,Tesla,14,14,Fireball,12,12,Archers,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T153008.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CQYQRQYL,Pirika,1861,1,#P222UJUY,GRAPE,16000175,Goblin Giant,9,9,Bats,14,14,Archers,14,14,Rage,9,9,Prince,9,9,Dark Prince,9,9,Arrows,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PG00V98J2,Timzy,1855,0,#QQ220CGV,Toti maribor,16000054,Electro Wizard,6,6,Bandit,6,6,Prince,9,9,Zap,14,14,The Log,6,6,P.E.K.K.A,9,9,Wizard,12,12,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T152654.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CQYQRQYL,Pirika,1893,0,#P222UJUY,GRAPE,16000175,Goblin Giant,9,9,Bats,14,14,Archers,14,14,Rage,9,9,Prince,9,9,Dark Prince,9,9,Fireball,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LYRVL9VRV,Webster❤Drill,1869,1,#Q82QYV99,mortar gods,16000142,Skeleton King,4,4,Goblin Drill,9,9,Wall Breakers,9,9,Dart Goblin,12,12,Skeleton Army,9,9,Tornado,9,9,Fireball,12,12,Inferno Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T152154.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CQYQRQYL,Pirika,1923,1,#P222UJUY,GRAPE,16000175,Goblin Giant,9,9,Bats,14,14,Archers,14,14,Rage,9,9,Prince,9,9,Dark Prince,9,9,Fireball,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GJJLY9JL,⚡Javad⚡,1923,3,#YGU2QV8Q,ARMY ELITE iR⚔️,16000142,Lava Hound,6,6,Balloon,9,9,Barbarians,14,14,Zap,14,14,Miner,6,6,Inferno Dragon,6,6,Arrows,14,14,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T151847.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CQYQRQYL,Pirika,1951,0,#P222UJUY,GRAPE,16000175,Goblin Giant,9,9,Bats,14,14,Archers,14,14,Rage,9,9,Prince,9,9,Dark Prince,9,9,Fireball,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L0PYP8R2U,AS｜mei❄️⛄️,1971,1,#QP002GVQ,Light Stars,16000138,Musketeer,12,12,Skeletons,14,14,Balloon,9,9,Miner,6,6,Giant Snowball,14,14,Ice Golem,12,12,Bomb Tower,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T151226.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CQYQRQYL,Pirika,1977,0,#P222UJUY,GRAPE,16000175,Goblin Giant,9,9,Bats,14,14,Archers,14,14,Rage,9,9,Prince,9,9,Dark Prince,9,9,Fireball,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YQL89C2Q8,MohamadParsa,2018,1,#Q882GPG0,قلب سفید,16000110,Graveyard,6,6,Electro Wizard,6,6,P.E.K.K.A,9,9,Bomber,14,14,Tornado,9,9,Dark Prince,9,9,Balloon,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
