type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
pathOfLegend,20230213T155720.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CRJQLUU,sullustan,1911,0,#LRCQ2R80,chillin’,16000096,Royal Ghost,6,6,Bandit,6,6,Princess,6,6,Goblin Drill,9,9,Royal Recruits,14,14,Magic Archer,6,6,Wall Breakers,9,9,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q90QP89RJ,TICO 40K,1889,1,#Y2PLQ980,Robert's Army2™,16000029,Golem,9,9,Phoenix,6,6,Lightning,9,9,Goblin Cage,12,12,Baby Dragon,9,9,Tornado,9,9,Barbarian Barrel,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T155057.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CRJQLUU,sullustan,1941,0,#LRCQ2R80,chillin’,16000096,Royal Ghost,6,6,Bandit,6,6,Princess,6,6,Goblin Drill,9,9,Royal Recruits,14,14,Magic Archer,6,6,Wall Breakers,9,9,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CRCRCVY0V,✨RW❤️12345,1940,3,#Q2CGYPP,N.O.2,16000032,Skeleton Army,9,9,Mortar,14,14,Archers,14,14,Minion Horde,14,14,Skeleton King,4,4,Flying Machine,12,12,Miner,6,6,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T135217.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,1,eventDeck,#2CRJQLUU,sullustan,7500,0,#LRCQ2R80,chillin’,16000096,,3,0,Skeletons,11,14,Ice Spirit,11,14,Bomb Tower,9,12,Tornado,6,9,The Log,3,6,Poison,6,9,Monk,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2J8GVPG9,АОЕВ,7174,3,#CGUPPV,GREAT RUSSIANS,16000072,,3,0,Fireball,9,12,Monk,1,4,Arrows,11,14,Bats,11,14,Freeze,6,9,Mega Knight,3,6,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T134908.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,0,eventDeck,#2CRJQLUU,sullustan,7500,1,#LRCQ2R80,chillin’,16000096,,3,0,Skeletons,11,14,Ice Spirit,11,14,Bomb Tower,9,12,Tornado,6,9,The Log,3,6,Miner,3,6,Monk,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#229CUC0U,Josh HA,5896,0,#L2GV9PVU,PEKKA WAR TM,16000162,,3,0,Archers,11,14,Mother Witch,3,6,Inferno Tower,9,12,Monk,1,4,Goblin Barrel,6,9,Giant Skeleton,6,9,Bowler,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T052409.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CRJQLUU,sullustan,1911,1,#LRCQ2R80,chillin’,16000096,Royal Ghost,6,6,Bandit,6,6,Princess,6,6,Goblin Drill,9,9,Royal Recruits,14,14,Magic Archer,6,6,Wall Breakers,9,9,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2L0VJG02,Venom,1916,0,,,,Mighty Miner,4,4,Hog Rider,12,12,Archers,14,14,Earthquake,12,12,Skeletons,14,14,Bomb Tower,12,12,The Log,6,6,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T051934.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CRJQLUU,sullustan,1884,1,#LRCQ2R80,chillin’,16000096,Royal Ghost,6,6,Bandit,6,6,Princess,6,6,Goblin Drill,9,9,Royal Recruits,14,14,Magic Archer,6,6,Wall Breakers,9,9,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2UPRPCV0R,たまてぃー,1859,0,#QP002GVQ,Light Stars,16000138,Archers,14,14,Rage,9,9,Royal Ghost,6,6,Monk,4,4,Battle Ram,12,12,Magic Archer,6,6,Heal Spirit,12,12,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T051539.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CRJQLUU,sullustan,1917,0,#LRCQ2R80,chillin’,16000096,Royal Ghost,6,6,Bandit,6,6,Princess,6,6,Goblin Drill,9,9,Royal Recruits,14,14,Magic Archer,6,6,Wall Breakers,9,9,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JPR8PGYPU,メガ✨Mætzu,1877,1,#RVPJJQP,Pirates,16000078,Executioner,9,9,Tornado,9,9,The Log,6,6,Valkyrie,12,12,Rocket,12,12,Goblins,14,14,Hog Rider,12,12,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T050450.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CRJQLUU,sullustan,1886,1,#LRCQ2R80,chillin’,16000096,Royal Ghost,6,6,Bandit,6,6,Princess,6,6,Goblin Drill,9,9,Royal Recruits,14,14,Magic Archer,6,6,Wall Breakers,9,9,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LJRGLJPL,Csv｜✨Dany❤️Aly✨,1909,0,,,,Skeleton King,4,4,Ice Wizard,6,6,Phoenix,6,6,Graveyard,6,6,Tornado,9,9,Barbarian Barrel,9,9,Tombstone,12,12,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T050015.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CRJQLUU,sullustan,1914,0,#LRCQ2R80,chillin’,16000096,Royal Ghost,6,6,Bandit,6,6,Princess,6,6,Goblin Drill,9,9,Royal Recruits,14,14,Magic Archer,6,6,Wall Breakers,9,9,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GLUGPL2VR,Nami,1926,1,#2G9CUJ29,change white,16000045,Balloon,9,9,Musketeer,12,12,Miner,6,6,Skeletons,14,14,Ice Golem,12,12,Giant Snowball,14,14,Barbarian Barrel,9,9,Bomb Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T042602.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CRJQLUU,sullustan,1883,1,#LRCQ2R80,chillin’,16000096,Royal Ghost,6,6,Bandit,6,6,Princess,6,6,Goblin Drill,9,9,Royal Recruits,14,14,Magic Archer,6,6,Wall Breakers,9,9,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q22RGVUGV,钟情丨Yoko❤️oac✨,1901,0,#GLPRPCYV,从零开始的异世界✨,16000040,Archers,14,14,The Log,6,6,X-Bow,9,9,Knight,14,14,Skeletons,14,14,Tesla,14,14,Electro Spirit,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
