type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
pathOfLegend,20230213T085146.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CUQUJVY,RA™️│Skalibur⚡️,1886,0,#2LP2PCPG,CHILE ELITE,16000029,Electro Spirit,14,14,Flying Machine,12,12,Zappies,12,12,Royal Recruits,14,14,Fireball,12,12,Goblin Cage,12,12,Royal Hogs,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28PCG8QPG,서북이,1806,1,#QUP8RULQ,Startend,16000010,Archers,14,14,Three Musketeers,12,12,Barbarian Barrel,9,9,Royal Hogs,12,12,Tombstone,12,12,Golden Knight,4,4,Royal Ghost,6,6,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T084545.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CUQUJVY,RA™️│Skalibur⚡️,1854,3,#2LP2PCPG,CHILE ELITE,16000029,Electro Spirit,14,14,Flying Machine,12,12,Zappies,12,12,Royal Recruits,14,14,Fireball,12,12,Goblin Cage,12,12,Royal Hogs,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#202GUYUP,Wyze❤️Ultimo,1887,0,#Q0CGP0RP,OnetrickFallito,16000040,Mighty Miner,4,4,Hog Rider,12,12,Archers,14,14,Earthquake,12,12,Giant Snowball,14,14,Skeletons,14,14,Bomb Tower,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T084111.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CUQUJVY,RA™️│Skalibur⚡️,1827,1,#2LP2PCPG,CHILE ELITE,16000029,Electro Spirit,14,14,Flying Machine,12,12,Zappies,12,12,Royal Recruits,14,14,Fireball,12,12,Goblin Cage,12,12,Royal Hogs,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YVPYVV9V,✨️Le_Rat✨️,1793,0,#Q2RVVYGP,✨DLight✨,16000010,Inferno Tower,12,12,Fireball,12,12,Mighty Miner,4,4,Goblins,14,14,The Log,6,6,Wall Breakers,9,9,Goblin Drill,9,9,Archers,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T082644.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CUQUJVY,RA™️│Skalibur⚡️,1859,0,#2LP2PCPG,CHILE ELITE,16000029,Electro Spirit,14,14,Flying Machine,12,12,Zappies,12,12,Royal Recruits,14,14,Fireball,12,12,Goblin Cage,12,12,Royal Hogs,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RQJY028QU,⚡️Dybala™️⚡️,1834,1,#QLUY0PP2,YT; Ryley CR,16000016,Cannon,14,14,Fireball,12,12,Mighty Miner,4,4,Goblins,14,14,The Log,6,6,Wall Breakers,9,9,Goblin Drill,9,9,Archers,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T082322.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CUQUJVY,RA™️│Skalibur⚡️,1824,3,#2LP2PCPG,CHILE ELITE,16000029,Electro Spirit,14,14,Flying Machine,12,12,Zappies,12,12,Royal Recruits,14,14,Fireball,12,12,Goblin Cage,12,12,Royal Hogs,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2J8CV8VL,Emrys,1883,1,#989VGGV8,ComeBack,16000010,Lava Hound,6,6,Mega Minion,12,12,Baby Dragon,9,9,Arrows,14,14,Miner,6,6,Flying Machine,12,12,Tombstone,12,12,Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T081928.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CUQUJVY,RA™️│Skalibur⚡️,1800,2,#2LP2PCPG,CHILE ELITE,16000029,Electro Spirit,14,14,Flying Machine,12,12,Zappies,12,12,Royal Recruits,14,14,Fireball,12,12,Goblin Cage,12,12,Royal Hogs,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PG00PG2Y,Alluka(ᐢ⑅•ᴗ•⑅ᐢ),1741,1,,,,Bandit,6,6,Heal Spirit,12,12,Rage,9,9,Battle Ram,12,12,Phoenix,6,6,Magic Archer,6,6,Monk,4,4,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T081543.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CUQUJVY,RA™️│Skalibur⚡️,1770,2,#2LP2PCPG,CHILE ELITE,16000029,Electro Spirit,14,14,Flying Machine,12,12,Zappies,12,12,Royal Recruits,14,14,Fireball,12,12,Goblin Cage,12,12,Royal Hogs,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RVPP0VCG,kerem,1773,1,#CYCJJLG,Nova Turkey,16000044,Phoenix,6,6,Golem,9,9,Arrows,14,14,Bomber,14,14,Mirror,9,9,Night Witch,6,6,Zap,14,14,Mini P.E.K.K.A,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T081140.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CUQUJVY,RA™️│Skalibur⚡️,1804,0,#2LP2PCPG,CHILE ELITE,16000029,Electro Spirit,14,14,Flying Machine,12,12,Zappies,12,12,Royal Recruits,14,14,Fireball,12,12,Goblin Cage,12,12,Royal Hogs,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VPURGGCR,101% Crouter✨,1746,1,#9UCRJG8V,101% Canadian,16000076,Goblins,14,14,Inferno Dragon,6,6,Lumberjack,6,6,Freeze,9,9,Balloon,9,9,Archers,14,14,Monk,4,4,Bomb Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T080708.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CUQUJVY,RA™️│Skalibur⚡️,1834,0,#2LP2PCPG,CHILE ELITE,16000029,Electro Spirit,14,14,Flying Machine,12,12,Zappies,12,12,Royal Recruits,14,14,Fireball,12,12,Goblin Cage,12,12,Royal Hogs,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQVQ29JJ,темыч,1828,1,#Q82P2JCJ,Community,16000166,Graveyard,6,6,Arrows,14,14,Tombstone,12,12,Fireball,12,12,Giant Skeleton,9,9,Inferno Dragon,6,6,Archers,14,14,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T080144.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2CUQUJVY,RA™️│Skalibur⚡️,1869,0,#2LP2PCPG,CHILE ELITE,16000029,Electro Spirit,14,14,Flying Machine,12,12,Zappies,12,12,Royal Recruits,14,14,Fireball,12,12,Goblin Cage,12,12,Royal Hogs,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9VVJL2RUQ,Peaky Blinders’,1804,1,#LJYRL2J2,Revenge,16000032,Goblins,14,14,Miner,6,6,Archers,14,14,Ice Spirit,14,14,Cannon,14,14,Archer Queen,4,4,Poison,9,9,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
