type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
pathOfLegend,20230213T210137.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CYJ8CYUG,ᴿˣˢᴾˣᶜᵀᶻ,1675,3,#QYG0Y9RQ,One Life,16000108,Mega Knight,6,6,Miner,6,6,Wall Breakers,9,9,Bandit,6,6,Musketeer,12,12,Bats,14,14,Zap,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P8Q09R,FXPRO,1655,0,#8LV9PV82,Swiss Allstars,16000038,Skeleton Army,9,9,Witch,9,9,Fireball,12,12,Musketeer,12,12,Hog Rider,12,12,Giant,12,12,Valkyrie,12,12,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T205927.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CYJ8CYUG,ᴿˣˢᴾˣᶜᵀᶻ,1705,0,#QYG0Y9RQ,One Life,16000108,Mega Knight,6,6,Miner,6,6,Wall Breakers,9,9,Bandit,6,6,Musketeer,12,12,Bats,14,14,Zap,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JYQLVGU,Momonga,1699,1,#G9VGCJC,BrengiCrew,16000020,Mini P.E.K.K.A,12,12,Witch,9,9,Fireball,12,12,Musketeer,12,12,Hog Rider,12,12,Giant,12,12,Golden Knight,4,4,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T205609.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CYJ8CYUG,ᴿˣˢᴾˣᶜᵀᶻ,1736,0,#QYG0Y9RQ,One Life,16000108,Mega Knight,6,6,Miner,6,6,Wall Breakers,9,9,Bandit,6,6,Musketeer,12,12,Bats,14,14,Zap,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9VVJL2RUQ,Peaky Blinders’,1715,1,#LJYRL2J2,Revenge,16000032,Cannon,14,14,Knight,14,14,Tornado,9,9,Archer Queen,4,4,Goblins,14,14,Royal Delivery,14,14,Hog Rider,12,12,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T204436.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CYJ8CYUG,ᴿˣˢᴾˣᶜᵀᶻ,1704,1,#QYG0Y9RQ,One Life,16000108,Mega Knight,6,6,Miner,6,6,Wall Breakers,9,9,Bandit,6,6,Musketeer,12,12,Bats,14,14,Zap,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GRRYCJ2LC,利旭 l Olivierツ,1730,0,#QCJCY22G,OLYMPUS™️,16000171,Royal Hogs,12,12,Barbarian Hut,12,12,Archers,14,14,Barbarian Barrel,9,9,Royal Recruits,14,14,Golden Knight,4,4,Flying Machine,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T203915.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CYJ8CYUG,ᴿˣˢᴾˣᶜᵀᶻ,1730,1,#QYG0Y9RQ,One Life,16000108,Mega Knight,6,6,Miner,6,6,Wall Breakers,9,9,Bandit,6,6,Musketeer,12,12,Bats,14,14,Zap,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PLCVGG8PQ,CAL 火 Papu ✨,1771,2,#QP002GVQ,Light Stars,16000138,Electro Giant,9,9,Barbarian Barrel,9,9,Golden Knight,4,4,Cannon,14,14,Lightning,9,9,Tornado,9,9,Fisherman,6,6,Phoenix,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T203325.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CYJ8CYUG,ᴿˣˢᴾˣᶜᵀᶻ,1758,0,#QYG0Y9RQ,One Life,16000108,Mega Knight,6,6,Miner,6,6,Wall Breakers,9,9,Bandit,6,6,Musketeer,12,12,Bats,14,14,Zap,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9VJ9PP0,عمر ابو قريش,1778,1,#GY2LPCQQ,Veterans™️,16000077,Giant Skeleton,9,9,Graveyard,6,6,Phoenix,6,6,Fireball,12,12,Archers,14,14,Tombstone,12,12,Skeleton King,4,4,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T202856.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CYJ8CYUG,ᴿˣˢᴾˣᶜᵀᶻ,1788,1,#QYG0Y9RQ,One Life,16000108,Mega Knight,6,6,Miner,6,6,Wall Breakers,9,9,Bandit,6,6,Musketeer,12,12,Bats,14,14,Zap,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GL2UG2JY,vip,1780,2,#Q82QU2L9,اسود الاردن 2,16000122,Goblins,14,14,Miner,6,6,Sparky,6,6,Goblin Giant,9,9,Minion Horde,14,14,Minions,14,14,Archers,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T201647.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CYJ8CYUG,ᴿˣˢᴾˣᶜᵀᶻ,1758,3,#QYG0Y9RQ,One Life,16000108,Mega Knight,6,6,Miner,6,6,Wall Breakers,9,9,Bandit,6,6,Musketeer,12,12,Bats,14,14,Zap,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J9QR2LG0,✨Le fou du 38✨™,1760,1,#QV0Q2JJJ,Shuriken Cup,16000002,Goblin Giant,9,9,Sparky,6,6,Minions,14,14,Mother Witch,6,6,Elite Barbarians,14,14,Heal Spirit,12,12,Rage,9,9,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T190911.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CYJ8CYUG,ᴿˣˢᴾˣᶜᵀᶻ,1731,1,#QYG0Y9RQ,One Life,16000108,Mega Knight,6,6,Miner,6,6,Wall Breakers,9,9,Bandit,6,6,Musketeer,12,12,Bats,14,14,Zap,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LLL02YQJ9,akiles,1704,0,#PLY0QG8L,Arcángeles 507✨,16000024,Giant Skeleton,9,9,Magic Archer,6,6,Electro Wizard,6,6,Royal Delivery,14,14,Graveyard,6,6,Cannon,14,14,Tornado,9,9,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T190219.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2CYJ8CYUG,ᴿˣˢᴾˣᶜᵀᶻ,1762,0,#QYG0Y9RQ,One Life,16000108,Mega Knight,6,6,Miner,6,6,Wall Breakers,9,9,Bandit,6,6,Musketeer,12,12,Bats,14,14,Zap,14,14,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CG89P2,KerpetenAliエリフ,1749,1,,,,Mega Knight,6,6,Miner,6,6,Mother Witch,6,6,Arrows,14,14,Prince,9,9,Minions,14,14,Zap,14,14,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T175836.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,1,eventDeck,#2CYJ8CYUG,ᴿˣˢᴾˣᶜᵀᶻ,7500,1,#QYG0Y9RQ,One Life,16000108,,3,0,Mega Knight,3,6,Wall Breakers,6,9,Miner,3,6,Bandit,3,6,Barbarian Barrel,6,9,Zap,11,14,Bats,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JVY9G0R2,david35,6351,0,#LYRUV2U,"""CCG""",16000078,,3,0,Inferno Dragon,3,6,Mega Knight,3,6,Knight,11,14,Bats,11,14,The Log,3,6,Royal Ghost,3,6,Tesla,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T175406.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,1,eventDeck,#2CYJ8CYUG,ᴿˣˢᴾˣᶜᵀᶻ,7500,1,#QYG0Y9RQ,One Life,16000108,,3,0,Mega Knight,3,6,Wall Breakers,6,9,Miner,3,6,Bandit,3,6,Barbarian Barrel,6,9,Zap,11,14,Bats,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CGPJUR0G,crazywinner,5683,3,#P0VQJLRV,Vikings,16000165,,3,0,Hog Rider,9,12,Goblin Gang,11,14,Mega Knight,3,6,Fireball,9,12,Wizard,9,12,Bomber,11,14,Skeleton Army,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
