type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20230213T164749.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,8,eventDeck,#2GL2RUJL,UA I Neo,7500,1,#L0QPV,UNAUFHALTSAM,16000002,,3,0,Hog Rider,9,12,Ice Golem,9,12,Fireball,9,12,Rage,6,9,Cannon,11,14,Tornado,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y09UQ2QLU,XEBEC.D.DEEP,6000,0,#LL2VRRJC,The Indians,16000142,,3,0,Wall Breakers,6,9,Fireball,9,12,Mighty Miner,1,4,Lightning,6,9,The Log,3,6,Skeletons,11,14,Fire Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T164434.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,7,eventDeck,#2GL2RUJL,UA I Neo,7500,1,#L0QPV,UNAUFHALTSAM,16000002,,3,0,Hog Rider,9,12,Ice Golem,9,12,Fireball,9,12,Rage,6,9,Cannon,11,14,Tornado,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JVLYRGJUL,o.,5146,0,#L0L9Q0C9,nigos,16000083,,3,0,Monk,1,4,Princess,3,6,Fireball,9,12,Lightning,6,9,Arrows,11,14,Firecracker,11,14,Bandit,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T164043.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,7,eventDeck,#2GL2RUJL,UA I Neo,7500,1,#L0QPV,UNAUFHALTSAM,16000002,,3,0,Hog Rider,9,12,Ice Golem,9,12,Fireball,9,12,Zap,11,14,Cannon,11,14,Tornado,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9GJG89J0,¡Andrik!,6838,3,#LR29U09J,JACKDAW'S,16000024,,3,0,Ice Spirit,11,14,Fire Spirit,11,14,Goblins,11,14,Fireball,9,12,The Log,3,6,Monk,1,4,Hog Rider,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T163723.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,6,eventDeck,#2GL2RUJL,UA I Neo,7500,2,#L0QPV,UNAUFHALTSAM,16000002,,3,0,Hog Rider,9,12,Ice Golem,9,12,Fireball,9,12,Zap,11,14,Cannon,11,14,Tornado,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L8C2JVU,lilian,6935,1,,,,,3,0,Poison,6,9,Monk,1,4,Elixir Collector,9,12,Lightning,6,9,Mini P.E.K.K.A,9,12,Barbarian Barrel,6,9,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T163200.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,5,eventDeck,#2GL2RUJL,UA I Neo,7500,2,#L0QPV,UNAUFHALTSAM,16000002,,3,0,Hog Rider,9,12,Ice Golem,9,12,Fireball,9,12,Zap,11,14,Cannon,11,14,Tornado,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#299R028U0,El Yigolo,6678,1,#LCVLJ0YJ,Combatientes,16000163,,3,0,Skeletons,11,14,Knight,11,14,Fire Spirit,11,14,Bomb Tower,9,12,Wall Breakers,6,9,Lightning,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T162638.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,5,eventDeck,#2GL2RUJL,UA I Neo,7500,0,#L0QPV,UNAUFHALTSAM,16000002,,3,0,Hog Rider,9,12,Ice Golem,9,12,Fireball,9,12,Zap,11,14,Cannon,11,14,Tornado,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CUC0998QJ,GG,4209,1,#LL0CQ229,трэп дом,16000070,,3,0,Miner,3,6,The Log,3,6,Wall Breakers,6,9,Bomb Tower,9,12,Fireball,9,12,Ice Spirit,11,14,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T162233.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,4,eventDeck,#2GL2RUJL,UA I Neo,7500,1,#L0QPV,UNAUFHALTSAM,16000002,,3,0,Hog Rider,9,12,Ice Golem,9,12,Fireball,9,12,Zap,11,14,Cannon,11,14,Tornado,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CULRVGLRP,minato,3563,0,#YGY8J2P9,Águia de Fogo,16000058,,3,0,The Log,3,6,Tornado,6,9,Elixir Collector,9,12,Lightning,6,9,Fireball,9,12,Ram Rider,3,6,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T161914.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,3,eventDeck,#2GL2RUJL,UA I Neo,7500,1,#L0QPV,UNAUFHALTSAM,16000002,,3,0,Hog Rider,9,12,Ice Golem,9,12,Fireball,9,12,Zap,11,14,Cannon,11,14,Tornado,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LQCYU0CQ0,arman,6500,0,#YGYR229C,bokonha,16000029,,3,0,Royal Ghost,3,6,Firecracker,11,14,Lightning,6,9,Electro Giant,6,9,Skeleton Army,6,9,Bandit,3,6,Rage,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T161533.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,2,eventDeck,#2GL2RUJL,UA I Neo,7500,1,#L0QPV,UNAUFHALTSAM,16000002,,3,0,Hog Rider,9,12,Ice Golem,9,12,Fireball,9,12,Zap,11,14,Cannon,11,14,Tornado,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UC0PCQYJL,Ahmed,5296,0,#GGYRQVPY,victors,16000016,,3,0,Mega Knight,3,6,Guards,6,9,Goblin Barrel,6,9,Battle Ram,9,12,Night Witch,3,6,Archers,11,14,Hog Rider,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T161152.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,1,eventDeck,#2GL2RUJL,UA I Neo,7500,1,#L0QPV,UNAUFHALTSAM,16000002,,3,0,Hog Rider,9,12,Ice Golem,9,12,Fireball,9,12,Zap,11,14,Cannon,11,14,Tornado,6,9,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y89JLUUG0,super man,5372,0,#YUJV9R2C,HUN Exclusive,16000100,,3,0,Ice Spirit,11,14,Electro Spirit,11,14,Fire Spirit,11,14,Skeletons,11,14,Rage,6,9,Bomber,11,14,Freeze,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
