type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
pathOfLegend,20230212T183057.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GR2QQ9P,ARSENIK❤️.,1832,0,#QC9QP8QC,Sakura On Top✨,16000096,Lava Hound,6,6,Balloon,9,9,Phoenix,6,6,Skeleton Dragons,14,14,Tombstone,12,12,Fireball,12,12,Mighty Miner,4,4,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9JLQPCYGV,世界のNURE,1811,1,#QU8Q2URU,tiktok,16000108,Knight,14,14,Fireball,12,12,X-Bow,9,9,Tesla,14,14,Skeletons,14,14,Archers,14,14,Electro Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T182457.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GR2QQ9P,ARSENIK❤️.,1804,3,#QC9QP8QC,Sakura On Top✨,16000096,Lava Hound,6,6,Balloon,9,9,Phoenix,6,6,Skeleton Dragons,14,14,Tombstone,12,12,Fireball,12,12,Mighty Miner,4,4,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#288QR09UC,Alpha™,1792,2,#YUYPVVCC,CBT,16000139,Earthquake,12,12,Giant Skeleton,9,9,Hog Rider,12,12,Cannon,14,14,Musketeer,12,12,Goblins,14,14,The Log,6,6,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T182057.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GR2QQ9P,ARSENIK❤️.,1774,3,#QC9QP8QC,Sakura On Top✨,16000096,Lava Hound,6,6,Balloon,9,9,Phoenix,6,6,Skeleton Dragons,14,14,Tombstone,12,12,Fireball,12,12,Mighty Miner,4,4,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9Y98YQ0U0,Robin 0.1,1778,1,#LVUYJ8PG,surprise Empire,16000015,Bats,14,14,Goblins,14,14,Poison,9,9,Valkyrie,12,12,Miner,6,6,The Log,6,6,Bomb Tower,12,12,Wall Breakers,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T142731.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GR2QQ9P,ARSENIK❤️.,1805,0,#QC9QP8QC,Sakura On Top✨,16000096,Lava Hound,6,6,Balloon,9,9,Phoenix,6,6,Skeleton Dragons,14,14,Tombstone,12,12,Fireball,12,12,Mighty Miner,4,4,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20U0RPQYY,Chainkiller,1787,3,#QC8R0888,Fierce Force,16000002,Barbarian Barrel,9,9,Mirror,9,9,Cannon,14,14,Phoenix,6,6,Tornado,9,9,Golden Knight,4,4,Electro Giant,9,9,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T142225.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GR2QQ9P,ARSENIK❤️.,1832,1,#QC9QP8QC,Sakura On Top✨,16000096,Lava Hound,6,6,Balloon,9,9,Phoenix,6,6,Skeleton Dragons,14,14,Tombstone,12,12,Fireball,12,12,Mighty Miner,4,4,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RPG0PQGG,Steven,1859,3,#G09Q8CY2,Battalion,16000004,Royal Recruits,14,14,Fireball,12,12,Royal Hogs,12,12,Goblin Gang,14,14,Mini P.E.K.K.A,12,12,Zappies,12,12,Arrows,14,14,Goblin Hut,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T141742.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GR2QQ9P,ARSENIK❤️.,1864,0,#QC9QP8QC,Sakura On Top✨,16000096,Lava Hound,6,6,Balloon,9,9,Phoenix,6,6,Skeleton Dragons,14,14,Tombstone,12,12,Fireball,12,12,Mighty Miner,4,4,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PCLR8VGCY,Savage,1835,1,#QP0VYRYL,YT:SavageLavaCR,16000139,Lava Hound,6,6,Balloon,9,9,Guards,9,9,Tombstone,12,12,Inferno Dragon,6,6,Minions,14,14,Arrows,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T141416.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GR2QQ9P,ARSENIK❤️.,1895,1,#QC9QP8QC,Sakura On Top✨,16000096,Lava Hound,6,6,Balloon,9,9,Phoenix,6,6,Skeleton Dragons,14,14,Tombstone,12,12,Fireball,12,12,Mighty Miner,4,4,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GLYLV998,FENOFINALFORM⚡☠,1881,2,#L08QQQGL,ITALY ESPORTS,16000145,Royal Giant,14,14,Minion Horde,14,14,Barbarians,14,14,Archers,14,14,Zap,14,14,Arrows,14,14,Hog Rider,12,12,Sparky,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T141054.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GR2QQ9P,ARSENIK❤️.,1925,0,#QC9QP8QC,Sakura On Top✨,16000096,Lava Hound,6,6,Balloon,9,9,Phoenix,6,6,Skeleton Dragons,14,14,Tombstone,12,12,Fireball,12,12,Mighty Miner,4,4,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VPP0RC90,Charles✨,1923,1,#Q0C0VQPP,QLASH,16000012,Skeleton King,4,4,Ice Wizard,6,6,Phoenix,6,6,Tombstone,12,12,Graveyard,6,6,Poison,9,9,Tornado,9,9,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T140339.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GR2QQ9P,ARSENIK❤️.,1885,2,#QC9QP8QC,Sakura On Top✨,16000096,Lava Hound,6,6,Balloon,9,9,Phoenix,6,6,Skeleton Dragons,14,14,Tombstone,12,12,Fireball,12,12,Mighty Miner,4,4,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L9UQPUURQ,anis❄️キクぞ,2014,1,#GU99RCGJ,Ktz❄️BacK,16000168,Musketeer,12,12,Golden Knight,4,4,Goblin Drill,9,9,Royal Delivery,14,14,Cannon Cart,9,9,Fireball,12,12,Guards,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T131037.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GR2QQ9P,ARSENIK❤️.,1858,3,#QC9QP8QC,Sakura On Top✨,16000096,Lava Hound,6,6,Balloon,9,9,Phoenix,6,6,Skeleton Dragons,14,14,Tombstone,12,12,Fireball,12,12,Mighty Miner,4,4,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PYJJ2UJY,およだたそ,1826,0,#QU8U2UP8,わらしべ世界一道,16000110,Goblins,14,14,Archers,14,14,The Log,6,6,Monk,4,4,Ice Spirit,14,14,Hog Rider,12,12,Bomb Tower,12,12,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T130548.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GR2QQ9P,ARSENIK❤️.,1826,1,#QC9QP8QC,Sakura On Top✨,16000096,Lava Hound,6,6,Balloon,9,9,Phoenix,6,6,Skeleton Dragons,14,14,Tombstone,12,12,Fireball,12,12,Mighty Miner,4,4,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2LC2JRY0,German Maestro,1860,0,#8YQCGGPY,⚡️SD Royal⚡️,16000008,Royal Recruits,14,14,Mighty Miner,4,4,Skeleton Barrel,14,14,Rocket,12,12,Goblin Gang,14,14,Wall Breakers,9,9,Goblins,14,14,Dart Goblin,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T130037.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GR2QQ9P,ARSENIK❤️.,1797,2,#QC9QP8QC,Sakura On Top✨,16000096,Lava Hound,6,6,Balloon,9,9,Phoenix,6,6,Skeleton Dragons,14,14,Tombstone,12,12,Fireball,12,12,Mighty Miner,4,4,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9G2P9PRLG,ＣＲＡＺＹ ＨＵＬＫ•שטן•,1792,1,#GQ9RUUQR,Crazy Hulk Army,16000099,Mighty Miner,4,4,Archers,14,14,The Log,6,6,Earthquake,12,12,Giant Snowball,14,14,Hog Rider,12,12,Skeletons,14,14,Bomb Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T125414.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GR2QQ9P,ARSENIK❤️.,1822,0,#QC9QP8QC,Sakura On Top✨,16000096,Lava Hound,6,6,Balloon,9,9,Phoenix,6,6,Skeleton Dragons,14,14,Tombstone,12,12,Fireball,12,12,Mighty Miner,4,4,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LLU9LCLRC,纳豆卷,1877,2,,,,X-Bow,9,9,Knight,14,14,Archers,14,14,Ice Spirit,14,14,Skeletons,14,14,Tesla,14,14,Fireball,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T124711.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GR2QQ9P,ARSENIK❤️.,1787,2,#QC9QP8QC,Sakura On Top✨,16000096,Lava Hound,6,6,Balloon,9,9,Phoenix,6,6,Skeleton Dragons,14,14,Tombstone,12,12,Fireball,12,12,Mighty Miner,4,4,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GJL0CJPCC,matatabi,1851,1,#PQV02YQY,銃士隊　～開花宣言～,16000142,Bandit,6,6,Royal Ghost,6,6,Archer Queen,4,4,Rage,9,9,Magic Archer,6,6,Heal Spirit,12,12,Elite Barbarians,14,14,Battle Ram,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T014704.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GR2QQ9P,ARSENIK❤️.,1819,0,,,,Lava Hound,6,6,Balloon,9,9,Phoenix,6,6,Skeleton Dragons,14,14,Tombstone,12,12,Fireball,12,12,Mighty Miner,4,4,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UQ0U9VPC0,xDeziQ,1791,1,#LR2GQC0Y,Queen,16000012,Lava Hound,6,6,Barbarians,14,14,Skeleton Dragons,14,14,Minion Horde,14,14,Arrows,14,14,Balloon,9,9,Minions,14,14,Freeze,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T014331.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GR2QQ9P,ARSENIK❤️.,1854,1,,,,Lava Hound,6,6,Balloon,9,9,Phoenix,6,6,Skeleton Dragons,14,14,Tombstone,12,12,Fireball,12,12,Mighty Miner,4,4,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#29LUUPLYP,Ruby,1792,2,#QLU0UY9V,Twitch: supu_cr,16000175,Poison,9,9,Giant Snowball,14,14,Knight,14,14,Archers,14,14,Rascals,14,14,Dark Prince,9,9,Graveyard,6,6,Bomb Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T013928.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GR2QQ9P,ARSENIK❤️.,1886,0,,,,Lava Hound,6,6,Balloon,9,9,Phoenix,6,6,Skeleton Dragons,14,14,Tombstone,12,12,Fireball,12,12,Mighty Miner,4,4,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2L2P9GC2Y,FS｜Endo,1858,1,#YRQ2CVPR,loading…,16000175,Skeletons,14,14,Bomb Tower,12,12,Graveyard,6,6,Knight,14,14,Phoenix,6,6,Archers,14,14,Arrows,14,14,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T013608.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GR2QQ9P,ARSENIK❤️.,1860,3,,,,Lava Hound,6,6,Balloon,9,9,Phoenix,6,6,Skeleton Dragons,14,14,Tombstone,12,12,Fireball,12,12,Mighty Miner,4,4,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8JC2U9UGY,星形标示号梁,1819,2,#Q9QGC0Y2,不和局,16000177,Prince,9,9,Electro Wizard,6,6,Bandit,6,6,Royal Ghost,6,6,Mega Knight,6,6,Golden Knight,4,4,Fireball,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T013213.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GR2QQ9P,ARSENIK❤️.,1887,1,,,,Lava Hound,6,6,Balloon,9,9,Phoenix,6,6,Skeleton Dragons,14,14,Tombstone,12,12,Fireball,12,12,Mighty Miner,4,4,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V2029GUU2,leo❤️logbait✅,1917,3,#LRYGRVJV,⚡️大秋名の电车造车场⚡️,16000009,Royal Giant,14,14,Mother Witch,6,6,Zappies,12,12,Giant Skeleton,9,9,Royal Ghost,6,6,Goblins,14,14,Fisherman,6,6,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T012859.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GR2QQ9P,ARSENIK❤️.,1918,2,,,,Lava Hound,6,6,Balloon,9,9,Phoenix,6,6,Skeleton Dragons,14,14,Tombstone,12,12,Fireball,12,12,Mighty Miner,4,4,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9C8LUVGUQ,⚡️Dudu⚡️,1898,3,#YP9809JG,cachorro loucos,16000028,P.E.K.K.A,9,9,Zap,14,14,Magic Archer,6,6,Bandit,6,6,Battle Ram,12,12,Royal Ghost,6,6,Poison,9,9,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T012434.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GR2QQ9P,ARSENIK❤️.,1890,1,,,,Lava Hound,6,6,Balloon,9,9,Phoenix,6,6,Skeleton Dragons,14,14,Tombstone,12,12,Fireball,12,12,Mighty Miner,4,4,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8YRJULRCR,Kauã♥️Braz™,1878,0,,,,Arrows,14,14,Zap,14,14,Prince,9,9,Mega Minion,12,12,Fireball,12,12,Giant,12,12,Dark Prince,9,9,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
