type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
PvP,20230213T054303.000Z,,54000016,Arena 19,72000044,Ladder_GoldRush,,collection,#2GRL88YC,☯️-Adam,7057,1,#29Y2UL82,Woodland,16000034,Fire Spirit,14,14,Royal Hogs,12,12,Cannon,14,14,Earthquake,12,12,Royal Delivery,14,14,Skeletons,14,14,Archer Queen,4,4,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R89UG2Q,REAPER,7059,0,#LGVLY20C,Mystery Team,16000073,Lava Hound,6,6,Inferno Dragon,6,6,Miner,6,6,Baby Dragon,9,9,Mini P.E.K.K.A,12,12,Barbarians,14,14,Goblin Gang,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvP,20230213T042427.000Z,,54000016,Arena 19,72000044,Ladder_GoldRush,,collection,#2GRL88YC,☯️-Adam,7027,1,#29Y2UL82,Woodland,16000034,Fire Spirit,14,14,Royal Hogs,12,12,Cannon,14,14,Earthquake,12,12,Royal Delivery,14,14,Skeletons,14,14,Archer Queen,4,4,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LYLYU9L0,Thales,7030,0,#LY2VQV98,SEMARANG AZIZAH,16000173,Goblin Barrel,9,9,Goblin Gang,14,14,Princess,6,6,Inferno Tower,12,12,The Log,6,6,Rocket,12,12,Ice Spirit,14,14,Valkyrie,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T041803.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GRL88YC,☯️-Adam,1856,1,#29Y2UL82,Woodland,16000034,Knight,14,14,Graveyard,6,6,Poison,9,9,Barbarian Barrel,9,9,Tornado,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YRVPULG9,⭐Stanlein22⭐,1852,0,,,,Mega Knight,6,6,Bats,14,14,Zap,14,14,Mini P.E.K.K.A,12,12,Musketeer,12,12,Miner,6,6,Wall Breakers,9,9,Arrows,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T041216.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GRL88YC,☯️-Adam,,1,#29Y2UL82,Woodland,16000034,Knight,14,14,Graveyard,6,6,Poison,9,9,Barbarian Barrel,9,9,Tornado,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9VG80P8U,シVincent⭐️★༄,,0,#YU0JV9QV,Némésis Quebec,16000077,Poison,9,9,Cannon Cart,9,9,Golden Knight,4,4,Electro Spirit,14,14,The Log,6,6,Magic Archer,6,6,Mother Witch,6,6,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T040855.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GRL88YC,☯️-Adam,,1,#29Y2UL82,Woodland,16000034,Knight,14,14,Graveyard,6,6,Poison,9,9,Barbarian Barrel,9,9,Tornado,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9CP29LLJG,TJK I JOAN PS,,0,#LYULCR2R,TENJIKU,16000058,Giant,12,12,Sparky,6,6,Skeleton King,4,4,Goblin Gang,14,14,Zap,14,14,Bats,14,14,Electro Wizard,6,6,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T040339.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GRL88YC,☯️-Adam,,0,#29Y2UL82,Woodland,16000034,Knight,14,14,Graveyard,6,6,Poison,9,9,Barbarian Barrel,9,9,Tornado,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y0G8GQ8LP,Ahmed❤️Chintha,,1,#PUCU9YUP,INDO WAR ARMY 2,16000173,Giant,12,12,Prince,9,9,Miner,6,6,Arrows,14,14,Electro Wizard,6,6,Dark Prince,9,9,Zap,14,14,Phoenix,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T035954.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GRL88YC,☯️-Adam,,1,#29Y2UL82,Woodland,16000034,Knight,14,14,Graveyard,6,6,Poison,9,9,Barbarian Barrel,9,9,Tornado,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LG9YV2C2U,Zylux❤️NoSkill,,0,#LJP8VVUP,Twitch/Zylux4K,16000012,Fireball,12,12,Lumberjack,6,6,Monk,4,4,Barbarian Barrel,9,9,Inferno Dragon,6,6,Ram Rider,6,6,Magic Archer,6,6,Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T035449.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GRL88YC,☯️-Adam,,0,#29Y2UL82,Woodland,16000034,Knight,14,14,Graveyard,6,6,Poison,9,9,Barbarian Barrel,9,9,Tornado,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GCYPVUPC,이우람,,1,#YC0R9P0Y,Fear of God,16000142,Giant,12,12,Arrows,14,14,Archer Queen,4,4,Graveyard,6,6,Bowler,9,9,Skeleton Army,9,9,Night Witch,6,6,Giant Snowball,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T035051.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GRL88YC,☯️-Adam,,1,#29Y2UL82,Woodland,16000034,Knight,14,14,Graveyard,6,6,Poison,9,9,Barbarian Barrel,9,9,Tornado,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YCYQYVG9,"戰▪滅☆《冰皇》“巔峰▪時刻""",,0,#QJUJR0RU,雲遊四海_霞映十星,16000138,Lava Hound,6,6,Zap,14,14,Fireball,12,12,Balloon,9,9,Barbarians,14,14,Inferno Dragon,6,6,Tombstone,12,12,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T034611.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GRL88YC,☯️-Adam,,2,#29Y2UL82,Woodland,16000034,Knight,14,14,Graveyard,6,6,Poison,9,9,Barbarian Barrel,9,9,Tornado,9,9,Baby Dragon,9,9,Ice Wizard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GVPVG2,ryota,,1,#2GYC9PL,九州 博多支部,16000161,Three Musketeers,12,12,Heal Spirit,12,12,Elixir Collector,12,12,Mirror,9,9,Zap,14,14,Golden Knight,4,4,Royal Ghost,6,6,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
