type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
pathOfLegend,20230213T055451.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GU8JGCR,Masry™,1948,1,#GLC0YGYU,Legends,16000097,Archers,14,14,Ice Spirit,14,14,Miner,6,6,Mighty Miner,4,4,Phoenix,6,6,Mortar,14,14,Poison,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CYYRUGV2,ふぶき,1923,0,#QJCGUPL8,Infinity Stars,16000123,Fire Spirit,14,14,Tornado,9,9,Bomber,14,14,Golden Knight,4,4,Cannon,14,14,Earthquake,12,12,Inferno Dragon,6,6,Electro Giant,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T054923.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GU8JGCR,Masry™,1911,1,#GLC0YGYU,Legends,16000097,Archers,14,14,Ice Spirit,14,14,Miner,6,6,Mighty Miner,4,4,Phoenix,6,6,Mortar,14,14,Poison,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P892L82Q,iDestroy,2000,0,#L2U9PG98,GUERREIROS PT,16000058,Archers,14,14,The Log,6,6,Fireball,12,12,Ice Spirit,14,14,X-Bow,9,9,Skeletons,14,14,Knight,14,14,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T054402.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GU8JGCR,Masry™,1942,0,#GLC0YGYU,Legends,16000097,Archers,14,14,Ice Spirit,14,14,Miner,6,6,Mighty Miner,4,4,Phoenix,6,6,Mortar,14,14,Poison,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28PCG8QPG,서북이,1924,1,#QUP8RULQ,Startend,16000010,Electro Giant,9,9,Archers,14,14,Tornado,9,9,Phoenix,6,6,Barbarian Barrel,9,9,Cannon,14,14,Golden Knight,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T053935.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GU8JGCR,Masry™,1909,1,#GLC0YGYU,Legends,16000097,Archers,14,14,Ice Spirit,14,14,Miner,6,6,Mighty Miner,4,4,Phoenix,6,6,Mortar,14,14,Poison,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#QVQP9Q08R,I RAPHA 974⛱,1951,0,#9YLRLG09,! Alliance Fr,16000078,Goblin Giant,9,9,Sparky,6,6,Mini P.E.K.K.A,12,12,Mother Witch,6,6,Heal Spirit,12,12,Mega Minion,12,12,Rage,9,9,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T053530.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GU8JGCR,Masry™,1879,1,#GLC0YGYU,Legends,16000097,Archers,14,14,Ice Spirit,14,14,Miner,6,6,Mighty Miner,4,4,Phoenix,6,6,Mortar,14,14,Poison,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YP0QC8CV,Skarlone ™,1886,0,#Q9RJY89J,Rebellion™️,16000077,Graveyard,6,6,Phoenix,6,6,Knight,14,14,Archers,14,14,Fisherman,6,6,Mortar,14,14,Fireball,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T044534.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GU8JGCR,Masry™,1851,1,#GLC0YGYU,Legends,16000097,Archers,14,14,Ice Spirit,14,14,Miner,6,6,Mighty Miner,4,4,Phoenix,6,6,Mortar,14,14,Poison,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P89UC2ULR,改名するのにエメ消費するスパ愛,1836,0,#Q2VYU8GU,白銀のメガナイト,16000013,Giant Skeleton,9,9,Tornado,9,9,Arrows,14,14,Archers,14,14,Graveyard,6,6,Fisherman,6,6,Royal Delivery,14,14,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T044023.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GU8JGCR,Masry™,1882,0,#GLC0YGYU,Legends,16000097,Archers,14,14,Ice Spirit,14,14,Miner,6,6,Mighty Miner,4,4,Phoenix,6,6,Mortar,14,14,Poison,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L0PYP8R2U,AS｜mei❄️⛄️,1869,1,#QP20J2VC,心入れ替え,16000112,Musketeer,12,12,Skeletons,14,14,Balloon,9,9,Miner,6,6,Giant Snowball,14,14,Ice Golem,12,12,Bomb Tower,12,12,Barbarian Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T043534.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GU8JGCR,Masry™,1849,1,,,,Archers,14,14,Ice Spirit,14,14,Miner,6,6,Mighty Miner,4,4,Phoenix,6,6,Mortar,14,14,Poison,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28YJ290J,▪️Brezzhi▪️,1885,0,#QCVY8GCQ,TanckTown ☀️,16000097,Hog Rider,12,12,Mini P.E.K.K.A,12,12,Archers,14,14,Earthquake,12,12,Royal Delivery,14,14,Ice Golem,12,12,Giant Snowball,14,14,Inferno Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T043010.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GU8JGCR,Masry™,1874,0,,,,Archers,14,14,Ice Spirit,14,14,Miner,6,6,Mighty Miner,4,4,Phoenix,6,6,Mortar,14,14,Poison,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P9PCYVU0V,✨Dēstrøyer✨,1929,1,#QGRYU9R9,Finito,16000058,Zappies,12,12,Fireball,12,12,Miner,6,6,Wall Breakers,9,9,Mother Witch,6,6,Skeleton King,4,4,Skeleton Army,9,9,Goblin Gang,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T042544.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GU8JGCR,Masry™,1846,1,,,,Archers,14,14,Ice Spirit,14,14,Miner,6,6,Mighty Miner,4,4,Phoenix,6,6,Mortar,14,14,Poison,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YL2YP2PY,SSS,1829,0,#Q22RUPP2,kamikaze-roo’s,16000014,Zap,14,14,Miner,6,6,Electro Wizard,6,6,Phoenix,6,6,Earthquake,12,12,Giant,12,12,Dark Prince,9,9,Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T042229.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GU8JGCR,Masry™,1872,0,,,,Fireball,12,12,Wall Breakers,9,9,Mighty Miner,4,4,Archers,14,14,Ice Spirit,14,14,Goblin Gang,14,14,Goblin Barrel,9,9,Princess,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#892QJLLV9,Emanuel,1908,1,#2QV8R290,Army Colombia,16000028,Electro Giant,9,9,Dark Prince,9,9,Cannon,14,14,Lightning,9,9,The Log,6,6,Archer Queen,4,4,Tornado,9,9,Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
