type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
pathOfLegend,20230212T154141.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GYV8JJ,MADARA Uchiha⚜️,,3,#Q2ULLP22,50 Stars Iran,16000010,Golem,9,9,Zap,14,14,Lumberjack,6,6,Bomber,14,14,Phoenix,6,6,Arrows,14,14,Elite Barbarians,14,14,Night Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8R9J2LUJ2,⚡⭐ÅbDøU⭐⚡,,1,#QC2098L2,فرقة رابعة 6,16000028,Goblin Gang,14,14,Skeleton Army,9,9,Minions,14,14,Miner,6,6,Lava Hound,6,6,Balloon,9,9,Minion Horde,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T153807.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GYV8JJ,MADARA Uchiha⚜️,,3,#Q2ULLP22,50 Stars Iran,16000010,Golem,9,9,Zap,14,14,Lumberjack,6,6,Bomber,14,14,Phoenix,6,6,Arrows,14,14,Elite Barbarians,14,14,Night Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JUJQ2LUU,illandris,,1,,,,Lava Hound,6,6,Skeleton Dragons,14,14,Phoenix,6,6,Barbarians,14,14,Tombstone,12,12,Flying Machine,12,12,Arrows,14,14,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T153449.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GYV8JJ,MADARA Uchiha⚜️,,0,#Q2ULLP22,50 Stars Iran,16000010,Golem,9,9,Zap,14,14,Lumberjack,6,6,Bomber,14,14,Phoenix,6,6,Arrows,14,14,Elite Barbarians,14,14,Night Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8LJ2JRC92,Matt,,1,#LQ28PVRR,⚡The丨50丨Cord⚡,16000028,Ice Golem,12,12,Hog Rider,12,12,Musketeer,12,12,Fireball,12,12,Ice Spirit,14,14,Cannon,14,14,Skeletons,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T153047.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GYV8JJ,MADARA Uchiha⚜️,,2,#Q2ULLP22,50 Stars Iran,16000010,Golem,9,9,Zap,14,14,Lumberjack,6,6,Bomber,14,14,Phoenix,6,6,Arrows,14,14,Elite Barbarians,14,14,Night Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PLCCG9P0R,NanNan:),,1,,,,Hog Rider,12,12,Musketeer,12,12,Ice Golem,12,12,Fireball,12,12,Skeletons,14,14,Ice Spirit,14,14,Cannon,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T152704.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GYV8JJ,MADARA Uchiha⚜️,,1,#Q2ULLP22,50 Stars Iran,16000010,Golem,9,9,Zap,14,14,Lumberjack,6,6,Bomber,14,14,Phoenix,6,6,Arrows,14,14,Elite Barbarians,14,14,Night Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#290PLCR09,K ✨,,0,#LUV2PUC2,Papitas Saladas,16000176,Golden Knight,4,4,Rascals,14,14,Cannon Cart,9,9,Rocket,12,12,Giant Snowball,14,14,Archers,14,14,Princess,6,6,Goblin Barrel,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T152342.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GYV8JJ,MADARA Uchiha⚜️,,1,#Q2ULLP22,50 Stars Iran,16000010,Golem,9,9,Zap,14,14,Lumberjack,6,6,Bomber,14,14,Phoenix,6,6,Arrows,14,14,Elite Barbarians,14,14,Night Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#28YJ290J,▪️Brezzhi▪️,,2,#QCVY8GCQ,TanckTown ☀️,16000013,Hog Rider,12,12,Mini P.E.K.K.A,12,12,Archers,14,14,Earthquake,12,12,Royal Delivery,14,14,Ice Golem,12,12,Giant Snowball,14,14,Inferno Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T152000.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GYV8JJ,MADARA Uchiha⚜️,,2,#Q2ULLP22,50 Stars Iran,16000010,Golem,9,9,Zap,14,14,Lumberjack,6,6,Bomber,14,14,Phoenix,6,6,Arrows,14,14,Elite Barbarians,14,14,Night Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R9UY0V2P,OuTLaw Cr ⚡,,1,#9U90JJ20,Salatine.irani,16000030,Arrows,14,14,Zap,14,14,Miner,6,6,Electro Wizard,6,6,Dark Prince,9,9,Prince,9,9,Phoenix,6,6,Giant,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T151634.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GYV8JJ,MADARA Uchiha⚜️,,1,#Q2ULLP22,50 Stars Iran,16000010,Golem,9,9,Zap,14,14,Lumberjack,6,6,Bomber,14,14,Phoenix,6,6,Arrows,14,14,Elite Barbarians,14,14,Night Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PURYY0YY,✨CaRLiTo⚡️,,0,#GG0Q8JCR,LaHorDeTikTok⭐️,16000078,Royal Giant,14,14,Monk,4,4,Goblins,14,14,Phoenix,6,6,Fireball,12,12,Archers,14,14,Fisherman,6,6,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T151311.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GYV8JJ,MADARA Uchiha⚜️,,1,#Q2ULLP22,50 Stars Iran,16000010,Golem,9,9,Zap,14,14,Lumberjack,6,6,Bomber,14,14,Phoenix,6,6,Arrows,14,14,Elite Barbarians,14,14,Night Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#980PV2U8,YUMANIAN KING,,2,#8VCVPC28,StarAlliance JP,16000040,Electro Giant,9,9,Tornado,9,9,Phoenix,6,6,Lightning,9,9,Barbarian Barrel,9,9,Cannon,14,14,Golden Knight,4,4,Bomber,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T150906.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2GYV8JJ,MADARA Uchiha⚜️,,3,#Q2ULLP22,50 Stars Iran,16000010,Golem,9,9,Zap,14,14,Lumberjack,6,6,Bomber,14,14,Phoenix,6,6,Arrows,14,14,Elite Barbarians,14,14,Night Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9VCVCY2L,Shadow,,1,#GJG89980,ROMANIA UNITĂ,16000046,Fisherman,6,6,Royal Ghost,6,6,Royal Giant,14,14,Fireball,12,12,The Log,6,6,Phoenix,6,6,Electro Spirit,14,14,Archers,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
