type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
pathOfLegend,20230213T080117.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2J22222L0,Spring™️,1778,3,#GRJJYR22,あおはる,16000170,Mega Knight,6,6,Bats,14,14,Wall Breakers,9,9,Zap,14,14,Archer Queen,4,4,Arrows,14,14,Prince,9,9,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JU9QLG8U2,YOFACR01,1785,0,#PUCU9YUP,INDO WAR ARMY 2,16000173,X-Bow,9,9,Tesla,14,14,Ice Spirit,14,14,Skeletons,14,14,Fireball,12,12,The Log,6,6,Knight,14,14,Archers,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T075931.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2J22222L0,Spring™️,1753,1,#GRJJYR22,あおはる,16000170,Mega Knight,6,6,Bats,14,14,Wall Breakers,9,9,Zap,14,14,Archer Queen,4,4,Arrows,14,14,Prince,9,9,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PG00PG2Y,Alluka(ᐢ⑅•ᴗ•⑅ᐢ),1705,0,,,,Bandit,6,6,Heal Spirit,12,12,Rage,9,9,Battle Ram,12,12,Phoenix,6,6,Magic Archer,6,6,Monk,4,4,Elite Barbarians,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T075512.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2J22222L0,Spring™️,1784,0,#GRJJYR22,あおはる,16000170,Mega Knight,6,6,Bats,14,14,Wall Breakers,9,9,Zap,14,14,Archer Queen,4,4,Arrows,14,14,Prince,9,9,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQVQ29JJ,темыч,1767,1,#Q82P2JCJ,Community,16000166,Graveyard,6,6,Arrows,14,14,Tombstone,12,12,Fireball,12,12,Giant Skeleton,9,9,Inferno Dragon,6,6,Archers,14,14,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T075008.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2J22222L0,Spring™️,1756,1,#GRJJYR22,あおはる,16000170,Mega Knight,6,6,Bats,14,14,Wall Breakers,9,9,Zap,14,14,Archer Queen,4,4,Arrows,14,14,Prince,9,9,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9Q8UPVJQJ,NaRse,1744,0,#9Y8LYJ2Q,Takanasi家の日常,16000032,Elite Barbarians,14,14,Barbarian Barrel,9,9,Golden Knight,4,4,Heal Spirit,12,12,Royal Ghost,6,6,Elixir Collector,12,12,Three Musketeers,12,12,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T074656.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2J22222L0,Spring™️,1727,1,#GRJJYR22,あおはる,16000170,Mega Knight,6,6,Bats,14,14,Wall Breakers,9,9,Zap,14,14,Archer Queen,4,4,Arrows,14,14,Prince,9,9,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QG8080QP,Manuel OFF,1717,0,#QGG8V08Q,Cariñosos Army,16000020,Ice Spirit,14,14,Archers,14,14,Phoenix,6,6,Mighty Miner,4,4,Miner,6,6,The Log,6,6,Poison,9,9,Mortar,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T063812.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2J22222L0,Spring™️,1700,1,,,,Mega Knight,6,6,Bats,14,14,Wall Breakers,9,9,Zap,14,14,Archer Queen,4,4,Arrows,14,14,Prince,9,9,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VR0V2QRJ,Bero 203,1669,0,#G2YLPPPR,Syrian Legends,16000019,Ice Golem,12,12,Three Musketeers,12,12,Royal Ghost,6,6,Barbarian Barrel,9,9,Golden Knight,4,4,Elixir Collector,12,12,Heal Spirit,12,12,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T063346.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2J22222L0,Spring™️,1669,1,,,,Mega Knight,6,6,Bats,14,14,Wall Breakers,9,9,Zap,14,14,Archer Queen,4,4,Arrows,14,14,Prince,9,9,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QCVV2JYR,⭐Piero;네그론⭐,1687,0,#QQRG9RRL,Xtreme Cats,16000065,Barbarian Barrel,9,9,Tornado,9,9,Zappies,12,12,Executioner,9,9,Royal Ghost,6,6,Golden Knight,4,4,Goblin Drill,9,9,Cannon Cart,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T063023.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2J22222L0,Spring™️,1640,1,,,,Mega Knight,6,6,Bats,14,14,Wall Breakers,9,9,Zap,14,14,Archer Queen,4,4,Arrows,14,14,Prince,9,9,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20V0890J9,mahdi(@),1632,0,#L820RP8L,ir_kurdistan,16000024,Mortar,14,14,Goblin Gang,14,14,Minion Horde,14,14,Poison,9,9,Miner,6,6,Barbarian Barrel,9,9,Cannon Cart,9,9,Electro Wizard,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20230213T000338.000Z,,54000017,Arena 20,72000007,Friendly,,collection,#2J22222L0,Spring™️,7500,1,#QGRCUJVV,PARTIDO,16000179,Mega Knight,3,6,Bats,11,14,Wall Breakers,6,9,Zap,11,14,Archer Queen,1,4,Arrows,11,14,Prince,6,9,Bandit,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LPJYYGYJ,はしら│Luiscort♠️,7500,0,#QGRCUJVV,PARTIDO,16000179,Miner,3,6,Giant Snowball,11,14,Poison,6,9,Phoenix,3,6,Goblins,11,14,Archers,11,14,Cannon,11,14,Monk,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20230212T235648.000Z,,54000017,Arena 20,72000007,Friendly,,collection,#2J22222L0,Spring™️,7500,1,#QGRCUJVV,PARTIDO,16000179,Lightning,6,9,Golem,6,9,Tornado,6,9,Tombstone,9,12,Phoenix,3,6,Baby Dragon,6,9,Golden Knight,1,4,Barbarian Barrel,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LUJR90C2,CAL Rocket,7500,0,#QGRCUJVV,PARTIDO,16000179,Monk,1,4,Barbarian Barrel,6,9,Fireball,9,12,Lumberjack,3,6,Goblins,11,14,Magic Archer,3,6,Inferno Dragon,3,6,Ram Rider,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
