type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
pathOfLegend,20230213T223613.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2J2V29RYV,sMarshy✨,1674,0,#Q9R0JJ8P,TopResort™️,16000122,Goblin Giant,9,9,Sparky,6,6,Mini P.E.K.K.A,12,12,Mega Minion,12,12,Minions,14,14,Rage,8,9,Mother Witch,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PQPR9LU,Matix,1692,1,#L0YJ02YL,硬中华,16000014,Zap,14,14,Fireball,12,12,Mini P.E.K.K.A,12,12,Electro Wizard,6,6,Tornado,9,9,Giant,12,12,Sparky,6,6,Heal Spirit,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T223236.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2J2V29RYV,sMarshy✨,1701,0,#Q9R0JJ8P,TopResort™️,16000122,Archers,14,14,Cannon,14,14,Fireball,12,12,Goblin Drill,9,9,Goblins,14,14,Ice Spirit,14,14,Mighty Miner,4,4,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CRGVCU0,Jacob™️,1735,1,#PJY9PP98,Always Baked,16000035,Monk,4,4,Goblins,14,14,Barbarian Barrel,9,9,Fireball,12,12,Lumberjack,6,6,Magic Archer,6,6,Ram Rider,6,6,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20230213T222742.000Z,,54000017,Arena 20,72000007,Friendly,,collection,#2J2V29RYV,sMarshy✨,7500,0,#Q9R0JJ8P,TopResort™️,16000122,Mirror,6,9,Rage,6,9,Tornado,6,9,Elixir Golem,9,12,Phoenix,3,6,Electro Dragon,6,9,Goblin Cage,9,12,Battle Healer,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#P9JRL9QYV,I cant win,7500,1,#Q9R0JJ8P,TopResort™️,16000122,Goblins,11,14,Electro Spirit,11,14,The Log,3,6,Archer Queen,1,4,Inferno Tower,9,12,Miner,3,6,Rocket,9,12,Royal Delivery,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T222129.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2J2V29RYV,sMarshy✨,1672,1,#Q9R0JJ8P,TopResort™️,16000122,Archers,14,14,Cannon,14,14,Fireball,12,12,Goblin Drill,9,9,Goblins,14,14,Ice Spirit,14,14,Mighty Miner,4,4,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GYV8PRC8,Thiago D,1661,0,#L0U8VG2,Sobrenaturais,16000020,Lava Hound,6,6,Skeletons,14,14,Arrows,14,14,Barbarians,14,14,Flying Machine,12,12,Miner,6,6,Minions,14,14,Baby Dragon,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T220856.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2J2V29RYV,sMarshy✨,1643,1,#Q9R0JJ8P,TopResort™️,16000122,Archers,14,14,Cannon,14,14,Fireball,12,12,Goblin Drill,9,9,Goblins,14,14,Ice Spirit,14,14,Mighty Miner,4,4,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2P8Q09R,FXPRO,1634,0,#8LV9PV82,Swiss Allstars,16000038,Skeleton Army,9,9,Witch,9,9,Fireball,12,12,Musketeer,12,12,Hog Rider,12,12,Giant,12,12,Valkyrie,12,12,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T220302.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2J2V29RYV,sMarshy✨,1616,1,#Q9R0JJ8P,TopResort™️,16000122,Archers,14,14,Cannon,14,14,Fireball,12,12,Goblin Drill,9,9,Goblins,14,14,Ice Spirit,14,14,Mighty Miner,4,4,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2U9QQPR28,Danton,1583,0,#L82JGJVQ,Team Galactics,16000161,Knight,14,14,Skeletons,14,14,Archers,14,14,Ice Spirit,14,14,Fireball,12,12,X-Bow,9,9,The Log,6,6,Tesla,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T215429.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2J2V29RYV,sMarshy✨,1583,1,#Q9R0JJ8P,TopResort™️,16000122,Archers,14,14,Cannon,14,14,Fireball,12,12,Goblin Drill,9,9,Goblins,14,14,Ice Spirit,14,14,Mighty Miner,4,4,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2YU899VJ0,「BTR」Rarizinn™,1621,0,#YPU0GJUV,BisTuRi,16000021,Electro Giant,9,9,Tornado,9,9,Barbarian Barrel,9,9,Golden Knight,4,4,Cannon,14,14,Fire Spirit,14,14,Phoenix,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T214814.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2J2V29RYV,sMarshy✨,1613,0,#Q9R0JJ8P,TopResort™️,16000122,Archers,14,14,Cannon,14,14,Fireball,12,12,Goblin Drill,9,9,Goblins,14,14,Ice Spirit,14,14,Mighty Miner,4,4,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GLJL2GRV,Ash❤️win,1611,1,,,,X-Bow,9,9,Knight,14,14,The Log,6,6,Ice Spirit,14,14,Archers,14,14,Skeletons,14,14,Tesla,14,14,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T214413.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2J2V29RYV,sMarshy✨,1581,1,#Q9R0JJ8P,TopResort™️,16000122,Archers,14,14,Cannon,14,14,Fireball,12,12,Goblin Drill,9,9,Goblins,14,14,Ice Spirit,14,14,Mighty Miner,4,4,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JRU2P0C20,Luke,1609,0,#QLC9RCQC,Miso Tilted™️,16000054,Knight,14,14,Fireball,12,12,X-Bow,9,9,Tesla,14,14,Skeletons,14,14,Archers,14,14,Ice Spirit,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T213823.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2J2V29RYV,sMarshy✨,1553,2,#Q9R0JJ8P,TopResort™️,16000122,Giant Skeleton,9,9,Furnace,12,12,Skeleton Army,9,9,Zappies,12,12,Royal Giant,14,14,Fisherman,6,6,Mother Witch,6,6,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YQCJPYRYV,المدمر,1537,1,#8VP80JL,Blue Dragon,16000164,Giant,12,12,Mini P.E.K.K.A,12,12,Arrows,14,14,Zap,14,14,Sparky,6,6,Minions,14,14,Mirror,9,9,Minion Horde,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
