type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
pathOfLegend,20230214T001624.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2J89GC02,kezz,1862,2,#QC8R0888,Fierce Force,16000002,Phoenix,6,6,Lightning,9,9,Royal Ghost,6,6,Fisherman,6,6,Royal Giant,14,14,The Log,6,6,Goblins,14,14,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2GR0RG28,。⚡️ＣＲＥＥＤ⚡️。,1864,1,#PC0CYYYV,Magiczne Mrozy,16000044,Lava Hound,6,6,Balloon,9,9,Barbarians,14,14,Miner,6,6,Zap,14,14,Arrows,14,14,Inferno Dragon,6,6,Skeleton Dragons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T233932.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2J89GC02,kezz,1832,1,#QC8R0888,Fierce Force,16000002,Phoenix,6,6,Lightning,9,9,Royal Ghost,6,6,Fisherman,6,6,Royal Giant,14,14,The Log,6,6,Goblins,14,14,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q9Q88JGY,地狱犬❤Defuze☆,1833,0,,,,Archers,14,14,Ice Spirit,14,14,Monk,4,4,Bomb Tower,12,12,Hog Rider,12,12,Phoenix,6,6,Earthquake,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T210848.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2J89GC02,kezz,1800,1,#QC8R0888,Fierce Force,16000002,Phoenix,6,6,Lightning,9,9,Royal Ghost,6,6,Fisherman,6,6,Royal Giant,14,14,The Log,6,6,Goblins,14,14,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9GQCLRLQ9,yusuf,1832,0,#Q8R0YL02,Anonymous,16000142,Royal Giant,14,14,Skeleton King,4,4,Lightning,9,9,Zappies,12,12,Mother Witch,6,6,Arrows,14,14,Skeleton Army,9,9,Fisherman,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T191747.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2J89GC02,kezz,1768,2,#QC8R0888,Fierce Force,16000002,Phoenix,6,6,Lightning,9,9,Royal Ghost,6,6,Fisherman,6,6,Royal Giant,14,14,The Log,6,6,Goblins,14,14,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YRVPULG9,⭐Stanlein22⭐,1793,1,,,,Mega Knight,6,6,Bats,14,14,Zap,14,14,Mini P.E.K.K.A,12,12,Musketeer,12,12,Miner,6,6,Wall Breakers,9,9,Arrows,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T191239.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2J89GC02,kezz,1797,0,#QC8R0888,Fierce Force,16000002,Phoenix,6,6,Lightning,9,9,Royal Ghost,6,6,Fisherman,6,6,Royal Giant,14,14,The Log,6,6,Goblins,14,14,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9Q8YPLLQ,killerinstinc,1802,1,#P8GPLL8,Nights Watch,16000096,Cannon,14,14,Fireball,12,12,Mighty Miner,4,4,Goblins,14,14,The Log,6,6,Wall Breakers,9,9,Goblin Drill,9,9,Archers,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T190721.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2J89GC02,kezz,1765,1,#QC8R0888,Fierce Force,16000002,Phoenix,6,6,Lightning,9,9,Royal Ghost,6,6,Fisherman,6,6,Royal Giant,14,14,The Log,6,6,Goblins,14,14,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8VPVQ8VYQ,Vk JOAKING YT⚡,1790,0,#LP08PLGL,⚒ＶＩＫＩＮＧＳ⚒,16000153,Electro Giant,9,9,Fire Spirit,14,14,Tornado,9,9,Phoenix,6,6,Barbarian Barrel,9,9,Cannon,14,14,Golden Knight,4,4,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T190207.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2J89GC02,kezz,1794,0,#QC8R0888,Fierce Force,16000002,Phoenix,6,6,Lightning,9,9,Royal Ghost,6,6,Fisherman,6,6,Royal Giant,14,14,The Log,6,6,Goblins,14,14,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q8RQ2R8J,just TANKER,1798,1,#G0C0JLVC,Nova I Bulgaria,16000044,Minions,14,14,Royal Ghost,6,6,Battle Ram,12,12,Fireball,12,12,Bandit,6,6,Electro Wizard,6,6,P.E.K.K.A,9,9,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T185642.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2J89GC02,kezz,1767,2,#QC8R0888,Fierce Force,16000002,Phoenix,6,6,Lightning,9,9,Royal Ghost,6,6,Fisherman,6,6,Royal Giant,14,14,The Log,6,6,Goblins,14,14,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9Y8JPY0GC,BRAGA,1735,1,#L9UJRY08,Blood Brothers,16000058,Hunter,9,9,Ice Golem,12,12,Royal Hogs,12,12,Heal Spirit,12,12,Three Musketeers,12,12,Barbarian Barrel,9,9,Earthquake,12,12,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T185219.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2J89GC02,kezz,1740,2,#QC8R0888,Fierce Force,16000002,Phoenix,6,6,Lightning,9,9,Royal Ghost,6,6,Fisherman,6,6,Royal Giant,14,14,The Log,6,6,Goblins,14,14,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8228YYG8,✌️Aʀʍɨռ✌️,1716,1,#Q2JP8JPG,IRAN DAIMOND,16000043,Golem,9,9,Mega Minion,12,12,Arrows,14,14,Lumberjack,6,6,Elite Barbarians,14,14,Zap,14,14,Bomber,14,14,Night Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T184846.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2J89GC02,kezz,1770,0,#QC8R0888,Fierce Force,16000002,Phoenix,6,6,Lightning,9,9,Royal Ghost,6,6,Fisherman,6,6,Royal Giant,14,14,The Log,6,6,Goblins,14,14,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RC89GJ,TQ iAmJP,1764,1,#QU2P2J88,YouTube: iAmJP,16000044,Archers,14,14,Ice Spirit,14,14,Knight,14,14,Mortar,14,14,Miner,6,6,Phoenix,6,6,Poison,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
