type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
clanMate,20230213T140622.000Z,,54000036,Legendary Arena,72000314,Duel_1v1_Friendly,,quadDeckPick,#2J8GG89GY,✨HERO Ray✨,6836,1,#GRJYQ228,あやままからのバレンタイン,16000108,Goblin Drill,6,9,Fire Spirit,11,14,Giant Snowball,11,14,Bomber,11,14,Skeletons,11,14,Bandit,3,6,Inferno Tower,9,12,Rocket,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VJJC998J,おくみねすの会,7500,2,#GRJYQ228,あやままからのバレンタイン,16000108,Lava Hound,3,6,Skeleton Dragons,11,14,Phoenix,3,6,Miner,3,6,Skeleton King,1,4,Tombstone,9,12,Arrows,11,14,Flying Machine,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T132017.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2J8GG89GY,✨HERO Ray✨,6836,2,#GRJYQ228,あやままからのバレンタイン,16000108,Monk,1,4,Phoenix,3,6,Arrows,11,14,Prince,6,9,Archers,11,14,Hog Rider,9,12,Earthquake,9,12,Bowler,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9U8RUCY9Q,the hugo,6091,1,#QUQJYJUL,KoboldClasher,16000154,The Log,3,6,Lightning,6,9,Royal Ghost,3,6,Mini P.E.K.K.A,9,12,Goblin Gang,11,14,Golden Knight,1,4,Electro Wizard,3,6,Royal Hogs,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T123516.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2J8GG89GY,✨HERO Ray✨,6836,1,#GRJYQ228,あやままからのバレンタイン,16000108,Monk,1,4,Arrows,11,14,Firecracker,11,14,Electro Giant,6,9,Earthquake,9,12,Giant Snowball,11,14,Goblin Cage,9,12,Goblin Hut,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#C0Q0UL8UU,あの。,1021,0,#Q9YRR989,たぁ,16000135,Phoenix,3,6,Electro Wizard,3,6,Inferno Dragon,3,6,Mega Knight,3,6,Cannon Cart,6,9,Golden Knight,1,4,Furnace,9,12,Balloon,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T122818.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2J8GG89GY,✨HERO Ray✨,6836,1,#GRJYQ228,あやままからのバレンタイン,16000108,Royal Delivery,11,14,Rocket,9,12,Miner,3,6,Archer Queen,1,4,Dark Prince,6,9,Tornado,6,9,Valkyrie,9,12,Knight,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9GYCLYL9,HoldMyCannoli,7032,0,#GVRLJ,**Tango Down**,16000038,Hunter,6,9,The Log,3,6,Royal Recruits,11,14,Hog Rider,9,12,Earthquake,9,12,Dart Goblin,9,12,Goblin Barrel,6,9,Furnace,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate2v2,20230213T121910.000Z,,54000016,Arena 19,72000014,TeamVsTeam,,collection,#2J8GG89GY,✨HERO Ray✨,,0,#GRJYQ228,あやままからのバレンタイン,16000108,Golden Knight,1,4,Goblin Drill,6,9,Inferno Tower,9,12,Mirror,6,9,Fireball,9,12,Fire Spirit,11,14,Phoenix,3,6,Goblins,11,14,#9YGL8VV0P,Mir-りゅう,,0,#GRJYQ228,あやままからのバレンタイン,16000108,Golden Knight,1,4,Goblin Drill,6,9,Phoenix,3,6,Zappies,9,12,Giant Snowball,11,14,Poison,6,9,Skeleton Army,6,9,Firecracker,11,14,#Y8LL2Q09P,ぴっとんʕ•̫͡•,,1,#GRJYQ228,あやままからのバレンタイン,16000108,Giant Skeleton,6,9,Bomb Tower,9,12,Dark Prince,6,9,Archer Queen,1,4,Bats,11,14,Balloon,6,9,Fireball,9,12,Zap,11,14,#RPU22G9Q,くろくも,,1,#GRJYQ228,あやままからのバレンタイン,16000108,Lumberjack,3,6,Skeleton King,1,4,Poison,6,9,Giant Skeleton,6,9,Phoenix,3,6,Freeze,6,9,Bats,11,14,Graveyard,3,6
clanMate2v2,20230213T121353.000Z,,54000016,Arena 19,72000014,TeamVsTeam,,collection,#2J8GG89GY,✨HERO Ray✨,,1,#GRJYQ228,あやままからのバレンタイン,16000108,Royal Giant,11,14,Phoenix,3,6,Mother Witch,3,6,Monk,1,4,Bomb Tower,9,12,Skeletons,11,14,Poison,6,9,Giant Snowball,11,14,#9YGL8VV0P,Mir-りゅう,,1,#GRJYQ228,あやままからのバレンタイン,16000108,Giant Skeleton,6,9,Royal Giant,11,14,Electro Spirit,11,14,Hunter,6,9,Fisherman,3,6,Bats,11,14,Lightning,6,9,The Log,3,6,#Y8LL2Q09P,ぴっとんʕ•̫͡•,,0,#GRJYQ228,あやままからのバレンタイン,16000108,Giant Skeleton,6,9,Bomb Tower,9,12,Dark Prince,6,9,Archer Queen,1,4,Bats,11,14,Balloon,6,9,Fireball,9,12,Zap,11,14,#RPU22G9Q,くろくも,,0,#GRJYQ228,あやままからのバレンタイン,16000108,Lumberjack,3,6,Monk,1,4,Fireball,9,12,Giant Skeleton,6,9,Phoenix,3,6,Freeze,6,9,Minions,11,14,Balloon,6,9
clanMate2v2,20230213T120927.000Z,,54000016,Arena 19,72000014,TeamVsTeam,,collection,#2J8GG89GY,✨HERO Ray✨,,0,#GRJYQ228,あやままからのバレンタイン,16000108,Royal Giant,11,14,Bats,11,14,Electro Spirit,11,14,Hunter,6,9,Fisherman,3,6,The Log,3,6,Lightning,6,9,Giant Skeleton,6,9,#9YGL8VV0P,Mir-りゅう,,0,#GRJYQ228,あやままからのバレンタイン,16000108,Giant Skeleton,6,9,Royal Giant,11,14,Electro Spirit,11,14,Hunter,6,9,Fisherman,3,6,Bats,11,14,Lightning,6,9,The Log,3,6,#Y8LL2Q09P,ぴっとんʕ•̫͡•,,1,#GRJYQ228,あやままからのバレンタイン,16000108,Giant Skeleton,6,9,Bomb Tower,9,12,Dark Prince,6,9,Archer Queen,1,4,Bats,11,14,Balloon,6,9,Fireball,9,12,Zap,11,14,#RPU22G9Q,くろくも,,1,#GRJYQ228,あやままからのバレンタイン,16000108,Lumberjack,3,6,Monk,1,4,Fireball,9,12,Giant Skeleton,6,9,Phoenix,3,6,Freeze,6,9,Minions,11,14,Balloon,6,9
challenge,20230213T031248.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2J8GG89GY,✨HERO Ray✨,6836,0,#LQ2P2C90,ままの小さな宝もの,16000132,Tornado,6,9,Rocket,9,12,Miner,3,6,Elixir Collector,9,12,Inferno Tower,9,12,Three Musketeers,9,12,Ice Golem,9,12,Cannon Cart,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LUP2YR80,Victor HM,6294,1,#LC9QG0GC,Imperio Miau MX,16000003,Royal Ghost,3,6,Golden Knight,1,4,Arrows,11,14,Goblins,11,14,Goblin Hut,9,12,Tesla,11,14,Royal Delivery,11,14,Giant Skeleton,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T030652.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2J8GG89GY,✨HERO Ray✨,6836,0,#LQ2P2C90,ままの小さな宝もの,16000132,Monk,1,4,Poison,6,9,Zappies,9,12,Rage,6,9,Miner,3,6,Mortar,11,14,Elixir Collector,9,12,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8QYCJR99,❤I ām M么么D.⚡,6824,1,#QCJCY22G,OLYMPUS™️,16000171,Arrows,11,14,Inferno Dragon,3,6,Giant Snowball,11,14,Goblin Barrel,6,9,Mighty Miner,1,4,Guards,6,9,Ice Golem,9,12,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T030032.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2J8GG89GY,✨HERO Ray✨,6836,3,#LQ2P2C90,ままの小さな宝もの,16000132,Earthquake,9,12,Elixir Collector,9,12,Mighty Miner,1,4,Giant Snowball,11,14,Goblin Cage,9,12,Golem,6,9,Inferno Dragon,3,6,Witch,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JUR88G8CV,zhavia,4433,0,,,,Monk,1,4,Arrows,11,14,Minion Horde,11,14,Rage,6,9,Giant,9,12,Sparky,3,6,Archers,11,14,Hunter,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
