type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20230213T185757.000Z,,54000017,Arena 20,72000007,Friendly,,collection,#2JC0JRL2,Adrian Piedra✊,7500,0,,,,Monk,1,4,Hog Rider,9,12,Giant Snowball,11,14,Musketeer,9,12,Skeletons,11,14,Bomb Tower,9,12,The Log,3,6,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22LC8JG02,⭐️JorZ⭐️,7500,1,#LPCVJVGQ,JorZ Royale,16000097,Cannon Cart,6,9,Executioner,6,9,Tornado,6,9,Goblin Drill,6,9,Barbarian Barrel,6,9,Golden Knight,1,4,Zappies,9,12,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20230213T185402.000Z,,54000017,Arena 20,72000007,Friendly,,collection,#2JC0JRL2,Adrian Piedra✊,7500,1,,,,Mighty Miner,1,4,Bomb Tower,9,12,Archers,11,14,The Log,3,6,Ice Spirit,11,14,Phoenix,3,6,Poison,6,9,Miner,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22LC8JG02,⭐️JorZ⭐️,7500,0,#LPCVJVGQ,JorZ Royale,16000097,Flying Machine,9,12,Lava Hound,3,6,Skeleton Dragons,11,14,Tombstone,9,12,Phoenix,3,6,Skeleton King,1,4,Arrows,11,14,Miner,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20230213T184931.000Z,,54000017,Arena 20,72000007,Friendly,,collection,#2JC0JRL2,Adrian Piedra✊,7500,0,,,,Knight,11,14,Hog Rider,9,12,Giant Snowball,11,14,Archers,11,14,Skeletons,11,14,Bomb Tower,9,12,The Log,3,6,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22LC8JG02,⭐️JorZ⭐️,7500,1,#LPCVJVGQ,JorZ Royale,16000097,Monk,1,4,Cannon,11,14,Ice Spirit,11,14,Archers,11,14,Giant Snowball,11,14,Poison,6,9,Miner,3,6,Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20230213T184419.000Z,,54000017,Arena 20,72000007,Friendly,,collection,#2JC0JRL2,Adrian Piedra✊,7500,3,,,,Lava Hound,3,6,Phoenix,3,6,Skeleton King,1,4,Miner,3,6,Tombstone,9,12,Skeleton Dragons,11,14,Flying Machine,9,12,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22LC8JG02,⭐️JorZ⭐️,7500,0,#LPCVJVGQ,JorZ Royale,16000097,Royal Giant,11,14,Phoenix,3,6,Lightning,6,9,Archers,11,14,Electro Spirit,11,14,Royal Ghost,3,6,Fisherman,3,6,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20230213T184027.000Z,,54000017,Arena 20,72000007,Friendly,,collection,#2JC0JRL2,Adrian Piedra✊,7500,1,,,,Lava Hound,3,6,Phoenix,3,6,Skeleton King,1,4,Miner,3,6,Tombstone,9,12,Skeleton Dragons,11,14,Flying Machine,9,12,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22LC8JG02,⭐️JorZ⭐️,7500,2,#LPCVJVGQ,JorZ Royale,16000097,Royal Giant,11,14,Phoenix,3,6,Lightning,6,9,Archers,11,14,Electro Spirit,11,14,Royal Ghost,3,6,Fisherman,3,6,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20230213T183505.000Z,,54000017,Arena 20,72000007,Friendly,,collection,#2JC0JRL2,Adrian Piedra✊,7500,0,,,,Graveyard,3,6,Mortar,11,14,Phoenix,3,6,Cannon Cart,6,9,Knight,11,14,Archers,11,14,Arrows,11,14,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22LC8JG02,⭐️JorZ⭐️,7500,1,#LPCVJVGQ,JorZ Royale,16000097,Battle Ram,9,12,Golden Knight,1,4,Heal Spirit,9,12,Bandit,3,6,Elite Barbarians,11,14,Rage,6,9,Archers,11,14,Magic Archer,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly,20230213T182951.000Z,,54000017,Arena 20,72000007,Friendly,,collection,#2JC0JRL2,Adrian Piedra✊,7500,1,,,,Fisherman,3,6,Archers,11,14,Fireball,9,12,Goblins,11,14,Monk,1,4,Phoenix,3,6,Royal Giant,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22LC8JG02,⭐️JorZ⭐️,7500,0,#LPCVJVGQ,JorZ Royale,16000097,Mega Knight,3,6,Skeleton King,1,4,Zappies,9,12,Fisherman,3,6,Graveyard,3,6,Giant Snowball,11,14,Arrows,11,14,Phoenix,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T181050.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2JC0JRL2,Adrian Piedra✊,7500,1,,,,Miner,3,6,The Log,3,6,Poison,6,9,Zappies,9,12,Fire Spirit,11,14,Mortar,11,14,Wall Breakers,6,9,Barbarians,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JYJQG8Y8P,Yamakasi,7500,0,#GQ2Y08V2,Yamakasi,16000035,Goblins,11,14,Monk,1,4,Lightning,6,9,Electro Spirit,11,14,Barbarian Barrel,6,9,Knight,11,14,Cannon,11,14,Goblin Drill,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T180324.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2JC0JRL2,Adrian Piedra✊,7500,0,,,,Giant Snowball,11,14,Ice Spirit,11,14,Hunter,6,9,Electro Wizard,3,6,Royal Ghost,3,6,Golden Knight,1,4,Ram Rider,3,6,Mega Knight,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22LLYYR28,:) plasma :(,7021,1,#LV0VYPY9,ファーストクラス～空の旅～,16000043,Poison,6,9,Miner,3,6,Mighty Miner,1,4,Wall Breakers,6,9,Cannon,11,14,Royal Delivery,11,14,Goblin Cage,9,12,Valkyrie,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T175158.000Z,,54000036,Legendary Arena,72000042,PickMode,,pick,#2JC0JRL2,Adrian Piedra✊,7500,1,,,,Firecracker,11,14,The Log,3,6,Tesla,11,14,Poison,6,9,Monk,1,4,Goblin Gang,11,14,Royal Recruits,11,14,Hog Rider,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22CVQ9GVL,Marcos○Joaquín♡,7500,0,#P9PQUUR8,100% Caporal,16000083,Lightning,6,9,Archer Queen,1,4,Ice Spirit,11,14,Miner,3,6,Ice Golem,9,12,Royal Ghost,3,6,Goblin Drill,6,9,Bomb Tower,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
