type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
pathOfLegend,20230213T174200.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JC2PGRC8,Stephen,1892,1,#8GQGUJ,Undefined,16000077,Ice Wizard,6,6,Skeleton King,4,4,Tornado,9,9,Phoenix,6,6,Barbarian Barrel,9,9,Poison,9,9,Graveyard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UYVY22,■m4nu■,1925,0,#Y98LVQ08,High Nation™️,16000075,Zap,14,14,Musketeer,12,12,Minions,14,14,The Log,6,6,Ice Spirit,14,14,Mini P.E.K.K.A,12,12,Giant,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T173820.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JC2PGRC8,Stephen,1927,0,#8GQGUJ,Undefined,16000077,Ice Wizard,6,6,Skeleton King,4,4,Tornado,9,9,Phoenix,6,6,Barbarian Barrel,9,9,Poison,9,9,Graveyard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PPRU8QU0,Aka Sight✨,1864,1,#Q9RJY89J,Rebellion™️,16000077,Inferno Dragon,6,6,Bandit,6,6,Barbarian Barrel,9,9,Fireball,12,12,Ice Golem,12,12,Lumberjack,6,6,Magic Archer,6,6,Ram Rider,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T173413.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JC2PGRC8,Stephen,1900,1,#8GQGUJ,Undefined,16000077,Ice Wizard,6,6,Skeleton King,4,4,Tornado,9,9,Phoenix,6,6,Barbarian Barrel,9,9,Poison,9,9,Graveyard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GVRP9ULL,JæK;)King(GOD),1874,0,#89UC2GL9,English forever,16000061,Arrows,14,14,Zap,14,14,Elite Barbarians,14,14,Lumberjack,6,6,Bomber,14,14,Golem,9,9,Night Witch,6,6,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T173042.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JC2PGRC8,Stephen,1873,1,#8GQGUJ,Undefined,16000077,Ice Wizard,6,6,Skeleton King,4,4,Tornado,9,9,Phoenix,6,6,Barbarian Barrel,9,9,Poison,9,9,Graveyard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CC0GR0R,Gaga du29,1846,0,#8QQ8YRUV,Phantoms Push,16000096,Mega Knight,6,6,Bats,14,14,Wall Breakers,9,9,Zap,14,14,Archers,14,14,Arrows,14,14,Prince,9,9,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T172447.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JC2PGRC8,Stephen,1845,1,#8GQGUJ,Undefined,16000077,Ice Wizard,6,6,Skeleton King,4,4,Tornado,9,9,Phoenix,6,6,Barbarian Barrel,9,9,Poison,9,9,Graveyard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YRUL2QRQ0,sà sé sù,1831,0,#Q2RVVYGP,✨DLight✨,16000010,Cannon,14,14,Valkyrie,12,12,Skeletons,14,14,Lightning,9,9,Executioner,9,9,The Log,6,6,Hog Rider,12,12,Royal Delivery,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T172113.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JC2PGRC8,Stephen,1876,0,#8GQGUJ,Undefined,16000077,Ice Wizard,6,6,Skeleton King,4,4,Tornado,9,9,Phoenix,6,6,Barbarian Barrel,9,9,Poison,9,9,Graveyard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QPURV8UQ,∆PrinceThomas∆,1862,1,#Q9RJY89J,Rebellion™️,16000077,Giant,12,12,Archers,14,14,Barbarians,14,14,Graveyard,6,6,Phoenix,6,6,Fireball,12,12,Arrows,14,14,Bomber,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T171620.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JC2PGRC8,Stephen,1908,0,#8GQGUJ,Undefined,16000077,Ice Wizard,6,6,Skeleton King,4,4,Tornado,9,9,Phoenix,6,6,Barbarian Barrel,9,9,Poison,9,9,Graveyard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GLJURPRV,fluffypotato99,1884,1,#2YU2UJC2,martian kings,16000128,Fisherman,6,6,Archers,14,14,Fireball,12,12,Goblins,14,14,Monk,4,4,Phoenix,6,6,Royal Giant,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T171149.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JC2PGRC8,Stephen,1878,1,#8GQGUJ,Undefined,16000077,Ice Wizard,6,6,Skeleton King,4,4,Tornado,9,9,Phoenix,6,6,Barbarian Barrel,9,9,Poison,9,9,Graveyard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2J0Q2RGQQ,Gustavo,1881,0,#Q0R2LJJV,ClanDylArmy,16000016,Goblins,14,14,Tornado,9,9,Knight,14,14,P.E.K.K.A,9,9,Executioner,9,9,Zap,14,14,Mirror,9,9,Hog Rider,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T170834.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JC2PGRC8,Stephen,1899,0,#8GQGUJ,Undefined,16000077,Ice Wizard,6,6,Skeleton King,4,4,Tornado,9,9,Phoenix,6,6,Barbarian Barrel,9,9,Poison,9,9,Graveyard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V29Q2C22,FrancoMedinaSL,1995,1,#LCQRV2GY,Hard Knock Days,16000112,Archers,14,14,Ice Spirit,14,14,Knight,14,14,Mortar,14,14,Miner,6,6,Phoenix,6,6,Poison,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T170508.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JC2PGRC8,Stephen,1929,0,#8GQGUJ,Undefined,16000077,Ice Wizard,6,6,Skeleton King,4,4,Tornado,9,9,Phoenix,6,6,Barbarian Barrel,9,9,Poison,9,9,Graveyard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GGQCGJUVU,Jhonn❤️Queen✨,1926,3,#9VVURPVG,TeamKesu,16000013,Mega Knight,6,6,Zap,14,14,Arrows,14,14,Wall Breakers,9,9,Prince,9,9,Bandit,6,6,Bats,14,14,Archer Queen,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T153129.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JC2PGRC8,Stephen,1895,1,#8GQGUJ,Undefined,16000077,Ice Wizard,6,6,Skeleton King,4,4,Tornado,9,9,Phoenix,6,6,Barbarian Barrel,9,9,Poison,9,9,Graveyard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8J9UCJCQ,♣️♦️Pedal♥️♠️,1947,0,,,,Wall Breakers,9,9,Ice Wizard,6,6,Princess,6,6,Royal Ghost,6,6,Bandit,6,6,Royal Recruits,14,14,Mighty Miner,4,4,Goblin Drill,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T152601.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JC2PGRC8,Stephen,1928,0,#8GQGUJ,Undefined,16000077,Ice Wizard,6,6,Skeleton King,4,4,Tornado,9,9,Phoenix,6,6,Barbarian Barrel,9,9,Poison,9,9,Graveyard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L90J8QL0G,Spar7a™️,1882,1,,,,Lava Hound,6,6,Miner,6,6,Phoenix,6,6,Flying Machine,12,12,Barbarians,14,14,Tombstone,12,12,Skeleton Dragons,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T151938.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JC2PGRC8,Stephen,1899,1,#8GQGUJ,Undefined,16000077,Ice Wizard,6,6,Skeleton King,4,4,Tornado,9,9,Phoenix,6,6,Barbarian Barrel,9,9,Poison,9,9,Graveyard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CPP982VY,Pobre Castanha™,1895,0,#L2U9PG98,GUERREIROS PT,16000058,Lava Hound,6,6,Miner,6,6,Arrows,14,14,Barbarians,14,14,Zap,14,14,Balloon,9,9,Skeleton Dragons,14,14,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T151446.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JC2PGRC8,Stephen,1928,0,#8GQGUJ,Undefined,16000077,Ice Wizard,6,6,Skeleton King,4,4,Tornado,9,9,Phoenix,6,6,Barbarian Barrel,9,9,Poison,9,9,Graveyard,6,6,Tombstone,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UYVY22,■m4nu■,1930,3,#Y98LVQ08,High Nation™️,16000075,Zap,14,14,Musketeer,12,12,Minions,14,14,The Log,6,6,Ice Spirit,14,14,Mini P.E.K.K.A,12,12,Giant,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
