type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
challenge,20230213T120204.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,9,eventDeck,#2JCUC8YP,AZE | Farid,7500,1,#QUGUJ0V2,The Expendables,16000026,,3,0,Lightning,6,9,Archers,11,14,Skeletons,11,14,Ice Spirit,11,14,Hog Rider,9,12,Fire Spirit,11,14,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PV20LYRJP,max la menace,7007,0,#LVL0UCP,France,16000078,,3,0,Monk,1,4,Royal Hogs,9,12,Lightning,6,9,Guards,6,9,Electro Wizard,3,6,Inferno Dragon,3,6,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T115817.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,8,eventDeck,#2JCUC8YP,AZE | Farid,7500,1,#QUGUJ0V2,The Expendables,16000026,,3,0,Lightning,6,9,Arrows,11,14,Skeletons,11,14,Tesla,11,14,Hog Rider,9,12,Guards,6,9,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99LCG8RU,gerry21,6857,0,#PUYRCRQP,HALLO,16000138,,3,0,Monk,1,4,Ice Spirit,11,14,Lightning,6,9,Bandit,3,6,Fire Spirit,11,14,Hog Rider,9,12,Skeletons,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T115453.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,8,eventDeck,#2JCUC8YP,AZE | Farid,7500,0,#QUGUJ0V2,The Expendables,16000026,,3,0,Lightning,6,9,Arrows,11,14,Skeletons,11,14,Tesla,11,14,Hog Rider,9,12,Guards,6,9,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#U2P2J2RRC,Mz,6959,1,#GJLUJCC,小鸣同学—萌新班,16000135,,3,0,Ice Spirit,11,14,Electro Spirit,11,14,Fire Spirit,11,14,Lightning,6,9,Archers,11,14,The Log,3,6,Mortar,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T115056.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,8,eventDeck,#2JCUC8YP,AZE | Farid,7500,0,#QUGUJ0V2,The Expendables,16000026,,3,0,Lightning,6,9,Arrows,11,14,Skeletons,11,14,Tesla,11,14,Hog Rider,9,12,Guards,6,9,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CCLJRG2P8,Silence,6057,1,#PQV0Y0GC,#SAMO JAKOO,16000139,,3,0,Monk,1,4,The Log,3,6,Heal Spirit,9,12,Royal Ghost,3,6,Fireball,9,12,Electro Spirit,11,14,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T114649.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,8,eventDeck,#2JCUC8YP,AZE | Farid,7500,0,#QUGUJ0V2,The Expendables,16000026,,3,0,Lightning,6,9,The Log,3,6,Skeletons,11,14,Tesla,11,14,Hog Rider,9,12,Guards,6,9,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q2L09G2YJ,ya,6269,1,#L8CJGC92,和平der羊,16000075,,3,0,Tornado,6,9,Lightning,6,9,Monk,1,4,Ice Spirit,11,14,Skeletons,11,14,Archers,11,14,Elixir Collector,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T114141.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,8,eventDeck,#2JCUC8YP,AZE | Farid,7500,0,#QUGUJ0V2,The Expendables,16000026,,3,0,Lightning,6,9,The Log,3,6,Skeletons,11,14,Bandit,3,6,Hog Rider,9,12,Cannon,11,14,Ice Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#89828RVCY,Vishnu,6866,3,#YUPPJVCU,ASTRO attack,16000044,,3,0,Fireball,9,12,P.E.K.K.A,6,9,Hog Rider,9,12,Royal Ghost,3,6,Guards,6,9,The Log,3,6,Lumberjack,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T113956.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,7,eventDeck,#2JCUC8YP,AZE | Farid,7500,1,#QUGUJ0V2,The Expendables,16000026,,3,0,Lightning,6,9,The Log,3,6,Skeletons,11,14,Bandit,3,6,Hog Rider,9,12,Cannon,11,14,Ice Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9Q2R9CRGL,nackapack,5338,0,#Q98UU898,Bow brr clan,16000029,,3,0,The Log,3,6,Ice Spirit,11,14,Electro Spirit,11,14,Fire Spirit,11,14,Rage,6,9,Skeletons,11,14,Lightning,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T113429.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,7,eventDeck,#2JCUC8YP,AZE | Farid,7500,1,#QUGUJ0V2,The Expendables,16000026,,3,0,The Log,3,6,Fireball,9,12,Goblin Barrel,6,9,Valkyrie,9,12,Hog Rider,9,12,Cannon,11,14,Ice Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8Y8VJCJR9,Spartacus King,6500,2,#PU02LL20,Persian golf,16000150,,3,0,Graveyard,3,6,Valkyrie,9,12,The Log,3,6,Poison,6,9,Barbarian Barrel,6,9,Knight,11,14,Tornado,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T113037.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,6,eventDeck,#2JCUC8YP,AZE | Farid,7500,1,#QUGUJ0V2,The Expendables,16000026,,3,0,The Log,3,6,Fireball,9,12,Goblin Barrel,6,9,Valkyrie,9,12,Hog Rider,9,12,Cannon,11,14,Ice Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8VRRJ09Y,kilzurazz,7115,0,#22P09J,Blue Division,16000043,,3,0,Freeze,6,9,Monk,1,4,Lightning,6,9,Ice Spirit,11,14,Cannon,11,14,Tornado,6,9,Zap,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T112709.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,6,eventDeck,#2JCUC8YP,AZE | Farid,7500,1,#QUGUJ0V2,The Expendables,16000026,,3,0,The Log,3,6,Fireball,9,12,Goblin Barrel,6,9,Valkyrie,9,12,Hog Rider,9,12,Cannon,11,14,Ice Golem,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QCU0UURJ,manuel fererra,5530,2,#Q08Q2U,#Team Cochons !,16000078,,3,0,Minions,11,14,Royal Ghost,3,6,The Log,3,6,Goblin Gang,11,14,Lightning,6,9,Wall Breakers,6,9,Royal Delivery,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
