type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
friendly,20230213T202308.000Z,,54000017,Arena 20,72000007,Friendly,,collection,#2JGG2PYPU,神父l Triaxis✨ᴳᵒᵈ,7500,1,#U9RUG9R,Legends,16000131,Knight,11,14,Archers,11,14,Skeletons,11,14,Arrows,11,14,Graveyard,3,6,Giant Snowball,11,14,Phoenix,3,6,Bomb Tower,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L2YV88VC,Javier Yorba,7500,0,#9J0J0GG,Dark 21 Legend,16000003,Prince,6,9,Dart Goblin,9,12,Princess,3,6,The Log,3,6,Goblin Barrel,6,9,Rascals,11,14,Goblin Gang,11,14,Rocket,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T201633.000Z,73006649,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,0,eventDeck,#2JGG2PYPU,神父l Triaxis✨ᴳᵒᵈ,7500,2,#U9RUG9R,Legends,16000131,,3,0,Tornado,6,9,Fireball,9,12,Zap,11,14,Miner,3,6,Wall Breakers,6,9,Valkyrie,9,12,Bomb Tower,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20P8CCJ0P,punkyrap,6053,1,#2QPV02U,**crchile**,16000038,,3,0,Minions,11,14,Lightning,6,9,Mother Witch,3,6,Giant Skeleton,6,9,Guards,6,9,Wizard,9,12,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T192310.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,7,eventDeck,#2JGG2PYPU,神父l Triaxis✨ᴳᵒᵈ,7500,1,#U9RUG9R,Legends,16000131,,3,0,Tornado,6,9,Fireball,9,12,Zap,11,14,Miner,3,6,Wall Breakers,6,9,Valkyrie,9,12,Bomb Tower,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CL098ULJ,joga,6244,0,,,,,3,0,Electro Wizard,3,6,Inferno Dragon,3,6,Skeleton Army,6,9,Golem,6,9,Valkyrie,9,12,Wizard,9,12,Fireball,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T190525.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,6,eventDeck,#2JGG2PYPU,神父l Triaxis✨ᴳᵒᵈ,7500,1,#U9RUG9R,Legends,16000131,,3,0,Tornado,6,9,Fireball,9,12,Zap,11,14,Miner,3,6,Wall Breakers,6,9,Valkyrie,9,12,Bomb Tower,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PQG92YJ8,Romses,7500,0,#L9PU002U,LegendRomânia,16000139,,3,0,Elite Barbarians,11,14,Royal Ghost,3,6,Bandit,3,6,Heal Spirit,9,12,Battle Ram,9,12,Rage,6,9,Archer Queen,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T190152.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,5,eventDeck,#2JGG2PYPU,神父l Triaxis✨ᴳᵒᵈ,7500,1,#U9RUG9R,Legends,16000131,,3,0,Tornado,6,9,Fireball,9,12,Zap,11,14,Miner,3,6,Wall Breakers,6,9,Valkyrie,9,12,Bomb Tower,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2V200C0QP,uros srbija,6323,0,#88VJCL8L,SRBIJA KLAN,16000005,,3,0,Hog Rider,9,12,Knight,11,14,Dart Goblin,9,12,Witch,6,9,Mini P.E.K.K.A,9,12,Inferno Tower,9,12,Bandit,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T135847.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,4,eventDeck,#2JGG2PYPU,神父l Triaxis✨ᴳᵒᵈ,7500,3,#U9RUG9R,Legends,16000131,,3,0,Tornado,6,9,Fireball,9,12,Zap,11,14,Miner,3,6,Wall Breakers,6,9,Valkyrie,9,12,Bomb Tower,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CQVGGPY0,ERREUR 404,5871,0,#PP9298CJ,Iron Sky FR,16000078,,3,0,Balloon,6,9,Dart Goblin,9,12,The Log,3,6,Freeze,6,9,Lumberjack,3,6,Phoenix,3,6,Arrows,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T135409.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,3,eventDeck,#2JGG2PYPU,神父l Triaxis✨ᴳᵒᵈ,7500,1,#U9RUG9R,Legends,16000131,,3,0,Tornado,6,9,Fireball,9,12,Zap,11,14,Miner,3,6,Wall Breakers,6,9,Valkyrie,9,12,Bomb Tower,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2C9RPC8YL,無情殺手Jeff,6363,0,#CL9UV2,香港,16000137,,3,0,Elixir Golem,9,12,Electro Spirit,11,14,Firecracker,11,14,Fireball,9,12,The Log,3,6,Battle Healer,9,12,Goblin Cage,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T134907.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,2,eventDeck,#2JGG2PYPU,神父l Triaxis✨ᴳᵒᵈ,7500,1,#U9RUG9R,Legends,16000131,,3,0,Tornado,6,9,Fireball,9,12,Zap,11,14,Miner,3,6,Wall Breakers,6,9,Valkyrie,9,12,Bomb Tower,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2JR8LUYLG,Myxa,6739,0,#Q28YG0R2,EnrageX Gaming,16000000,,3,0,Musketeer,9,12,Arrows,11,14,Valkyrie,9,12,Mini P.E.K.K.A,9,12,Rocket,9,12,Tesla,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T134418.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,1,eventDeck,#2JGG2PYPU,神父l Triaxis✨ᴳᵒᵈ,7500,1,#U9RUG9R,Legends,16000131,,3,0,Tornado,6,9,Rage,6,9,Zap,11,14,Miner,3,6,Wall Breakers,6,9,Valkyrie,9,12,Bomb Tower,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CPYVUQQ8,El Professor✨,7500,0,#L00UR290,Lost Hell,16000123,,3,0,Golden Knight,1,4,Skeletons,11,14,Ice Spirit,11,14,Tornado,6,9,The Log,3,6,Fire Spirit,11,14,Rage,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T133831.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,0,eventDeck,#2JGG2PYPU,神父l Triaxis✨ᴳᵒᵈ,7500,1,#U9RUG9R,Legends,16000131,,3,0,Tornado,6,9,Rage,6,9,Zap,11,14,Miner,3,6,Wall Breakers,6,9,Valkyrie,9,12,Bomb Tower,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RPPCRQCG,Dark,6587,0,,,,,3,0,Archer Queen,1,4,Lumberjack,3,6,Mega Knight,3,6,Baby Dragon,6,9,Poison,6,9,Balloon,6,9,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
