type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
pathOfLegend,20230213T170849.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JL99LQ92,Pableo,1766,0,#Q9L2U8LP,La U es Chile,16000038,Mini P.E.K.K.A,12,12,The Log,6,6,Mortar,14,14,Rocket,12,12,Hog Rider,12,12,Goblin Gang,14,14,Spear Goblins,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YPVGC202,BIG ‌ ‌ PAPA,1807,1,#Y08LPVJ9,HIP HOP,16000025,Rocket,12,12,Archer Queen,4,4,Royal Hogs,12,12,Goblins,14,14,Fire Spirit,14,14,Royal Delivery,14,14,The Log,6,6,Cannon,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T170126.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JL99LQ92,Pableo,1797,0,#Q9L2U8LP,La U es Chile,16000038,Fireball,12,12,Skeleton King,4,4,Miner,6,6,Mortar,14,14,Skeleton Army,9,9,Bats,14,14,The Log,6,6,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8CC0GR0R,Gaga du29,1783,1,#8QQ8YRUV,Phantoms Push,16000096,Mega Knight,6,6,Bats,14,14,Wall Breakers,9,9,Zap,14,14,Archers,14,14,Arrows,14,14,Prince,9,9,Bandit,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T165454.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JL99LQ92,Pableo,1825,0,#Q9L2U8LP,La U es Chile,16000038,Fireball,12,12,Skeleton King,4,4,Miner,6,6,Mortar,14,14,Skeleton Army,9,9,Bats,14,14,The Log,6,6,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9Q8UPVJQJ,NaRse,1841,1,#9Y8LYJ2Q,Takanasi家の日常,16000032,Ice Golem,12,12,Royal Hogs,12,12,Golden Knight,4,4,Three Musketeers,12,12,Hunter,9,9,Barbarian Barrel,9,9,Royal Ghost,6,6,Heal Spirit,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T165040.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JL99LQ92,Pableo,1850,0,#Q9L2U8LP,La U es Chile,16000038,Royal Ghost,6,6,Battle Ram,12,12,Bandit,6,6,Poison,9,9,Electro Wizard,6,6,Minions,14,14,Zap,14,14,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#290QPPYQU,Endoclan,1900,1,,,,X-Bow,9,9,Skeletons,14,14,Ice Spirit,14,14,Archers,14,14,Tesla,14,14,Knight,14,14,Fireball,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T164557.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JL99LQ92,Pableo,1878,0,#Q9L2U8LP,La U es Chile,16000038,Royal Ghost,6,6,Battle Ram,12,12,Bandit,6,6,Poison,9,9,Electro Wizard,6,6,Minions,14,14,Zap,14,14,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#220L9GC2,KaNaRiOoo,1891,1,#QGRG98RV,live on twitch,16000040,Monk,4,4,Magic Archer,6,6,Lumberjack,6,6,Goblins,14,14,Inferno Dragon,6,6,Barbarian Barrel,9,9,Ram Rider,6,6,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T164223.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JL99LQ92,Pableo,1848,3,#Q9L2U8LP,La U es Chile,16000038,Royal Ghost,6,6,Battle Ram,12,12,Bandit,6,6,Poison,9,9,Electro Wizard,6,6,Minions,14,14,Zap,14,14,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Y9VQC9UPG,Guwice™,1852,0,,,,Cannon Cart,9,9,Barbarian Barrel,9,9,Royal Ghost,6,6,Magic Archer,6,6,Goblin Drill,9,9,Tornado,9,9,Electro Wizard,6,6,Golden Knight,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T164001.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JL99LQ92,Pableo,1818,1,#Q9L2U8LP,La U es Chile,16000038,Fireball,12,12,Skeleton King,4,4,Miner,6,6,Mortar,14,14,Skeleton Army,9,9,Bats,14,14,The Log,6,6,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YJ9GVY9CR,¥ellow Monkey,1821,0,#QCPJ9VCC,HogCity™️,16000110,Hog Rider,12,12,Musketeer,12,12,Ice Golem,12,12,Fireball,12,12,Ice Spirit,14,14,Skeletons,14,14,Cannon,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T163510.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JL99LQ92,Pableo,1848,0,#Q9L2U8LP,La U es Chile,16000038,Fireball,12,12,Skeleton King,4,4,Miner,6,6,Mortar,14,14,Skeleton Army,9,9,Bats,14,14,The Log,6,6,Spear Goblins,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#282J9V2VR,junior,1848,1,#QV0UGJP9,ヒカキンTV応援大会,16000144,Lava Hound,6,6,Phoenix,6,6,Flying Machine,12,12,Skeleton Dragons,14,14,Skeleton King,4,4,Miner,6,6,Tombstone,12,12,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T163145.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JL99LQ92,Pableo,1879,1,#Q9L2U8LP,La U es Chile,16000038,Mini P.E.K.K.A,12,12,The Log,6,6,Mortar,14,14,Rocket,12,12,Hog Rider,12,12,Goblin Gang,14,14,Spear Goblins,14,14,Bats,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQ8Y0JRCY,Nova I Ali✌,1864,2,#Y9VUJ80Q,clash_royal,16000002,Golem,9,9,Night Witch,6,6,Elite Barbarians,14,14,Phoenix,6,6,Lumberjack,6,6,Bomber,14,14,Zap,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T162758.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JL99LQ92,Pableo,1909,0,#Q9L2U8LP,La U es Chile,16000038,Royal Ghost,6,6,Battle Ram,12,12,Bandit,6,6,Poison,9,9,Electro Wizard,6,6,Minions,14,14,Zap,14,14,P.E.K.K.A,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q89UPYLLV,ᴜᴘʜ ✨ꜰʀᴀɢɪᴀ✨,1902,1,#L9VCGC9L,Hellas Uprising,16000122,Princess,6,6,The Log,6,6,Goblin Barrel,9,9,Rocket,12,12,Knight,14,14,Inferno Tower,12,12,Goblin Gang,14,14,Electro Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
