type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
pathOfLegend,20230213T091821.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JP88G0RC,喜羊羊,1759,3,#GPJUPY02,⚜️無与伦比⚜️,16000165,Mini P.E.K.K.A,12,12,Giant,12,12,Elixir Collector,12,12,Wizard,12,12,Dark Prince,9,9,Rage,9,9,Minion Horde,14,14,Sparky,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQQPPUGLJ,Star Cr,1744,1,#LLVYCJYL,Naija Xi,16000035,Night Witch,6,6,Golem,9,9,Lumberjack,6,6,Bomber,14,14,Elite Barbarians,14,14,Phoenix,6,6,Arrows,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T091414.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JP88G0RC,喜羊羊,1728,1,#GPJUPY02,⚜️無与伦比⚜️,16000165,Mini P.E.K.K.A,12,12,Giant,12,12,Elixir Collector,12,12,Wizard,12,12,Dark Prince,9,9,Rage,9,9,Minion Horde,14,14,Sparky,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V2Q92RQU,Fᵃⁱⁿᵃ⚔️Nᵃᵐᵉˡᵉˢˢ,1742,0,,,,Royal Ghost,6,6,Goblins,14,14,Arrows,14,14,Fisherman,6,6,Giant Skeleton,9,9,Royal Hogs,12,12,Archers,14,14,Mother Witch,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge2v2,20230212T103924.000Z,73006647,54000044,Legendary Arena,72000022,TeamVsTeamDraft,3,draft,#2JP88G0RC,喜羊羊,,0,#GPJUPY02,⚜️無与伦比⚜️,16000165,Mega Knight,3,6,Spear Goblins,11,14,Miner,3,6,Goblin Barrel,6,9,Baby Dragon,6,9,Sparky,3,6,Princess,3,6,The Log,3,6,#229P8G2UJ,Gianumberto06,,0,#9QY0LYY,#tutticoiti,16000136,Battle Ram,9,12,Mini P.E.K.K.A,9,12,Electro Giant,6,9,Fireball,9,12,Bomber,11,14,Inferno Dragon,3,6,Phoenix,3,6,Knight,11,14,#8J80JGCL,MisterFister,,2,#80280V,#LegendaryArmy,16000009,Giant Snowball,11,14,Executioner,6,9,Inferno Tower,9,12,Magic Archer,3,6,Cannon Cart,6,9,Giant,9,12,Minions,11,14,Goblin Drill,6,9,#8QQRPUR9,Amir_h,,2,,,,Dart Goblin,9,12,Musketeer,9,12,Electro Wizard,3,6,Guards,6,9,Rage,6,9,Giant Skeleton,6,9,Goblin Cage,9,12,Graveyard,3,6
challenge2v2,20230212T103429.000Z,73006647,54000044,Legendary Arena,72000022,TeamVsTeamDraft,2,draft,#8QCCJGY2P,khaled,,1,#89LJLRY8,Adrenaline SY,16000096,Witch,6,9,Skeleton Army,6,9,Baby Dragon,6,9,Mother Witch,3,6,Bandit,3,6,Royal Delivery,11,14,Royal Giant,11,14,Giant,9,12,#2JP88G0RC,喜羊羊,,1,#GPJUPY02,⚜️無与伦比⚜️,16000165,Electro Giant,6,9,Fireball,9,12,Spear Goblins,11,14,Goblin Cage,9,12,Dark Prince,6,9,Minions,11,14,Skeleton Barrel,11,14,Freeze,6,9,#YJLV0QJU,stann,,0,#9RJ90C2P,French Kiss,16000078,Miner,3,6,Three Musketeers,9,12,Lightning,6,9,Firecracker,11,14,Night Witch,3,6,Skeleton Dragons,11,14,Ice Golem,9,12,Fire Spirit,11,14,#22G8GGC90,MaTi27,,0,#LGVRLCQC,Helms Deep,16000156,Barbarian Barrel,6,9,Battle Ram,9,12,Bomber,11,14,Royal Ghost,3,6,X-Bow,6,9,Ice Wizard,3,6,Rocket,9,12,Bowler,6,9
pathOfLegend,20230212T062410.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2JP88G0RC,喜羊羊,1699,3,#GPJUPY02,⚜️無与伦比⚜️,16000165,Mini P.E.K.K.A,12,12,Giant,12,12,Elixir Collector,12,12,Wizard,12,12,Dark Prince,9,9,Rage,9,9,Minion Horde,14,14,Sparky,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8PJL002CP,こすけ,1698,1,#Q8JYJQQ9,YTCycle deck CR,16000168,Ice Spirit,14,14,Goblins,14,14,Firecracker,14,14,Earthquake,12,12,Hog Rider,12,12,The Log,6,6,Cannon,14,14,Knight,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T061844.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2JP88G0RC,喜羊羊,1670,3,#GPJUPY02,⚜️無与伦比⚜️,16000165,Mini P.E.K.K.A,12,12,Giant,12,12,Elixir Collector,12,12,Wizard,12,12,Dark Prince,9,9,Rage,9,9,Minion Horde,14,14,Sparky,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8JC2U9UGY,星形标示号梁,1668,1,#Q9QGC0Y2,不和局,16000177,Mega Knight,6,6,Archer Queen,4,4,Prince,9,9,Miner,6,6,Guards,9,9,Arrows,14,14,Bats,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T061635.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2JP88G0RC,喜羊羊,1700,0,#GPJUPY02,⚜️無与伦比⚜️,16000165,Mini P.E.K.K.A,12,12,Giant,12,12,Elixir Collector,12,12,Wizard,12,12,Dark Prince,9,9,Rage,9,9,Minion Horde,14,14,Sparky,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99LGRC8L,しししよ,1696,3,,,,Goblin Cage,12,12,Royal Giant,14,14,The Log,6,6,Earthquake,12,12,Phoenix,6,6,Firecracker,14,14,Electro Spirit,14,14,Skeletons,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T055622.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2JP88G0RC,喜羊羊,1672,3,#GPJUPY02,⚜️無与伦比⚜️,16000165,Mini P.E.K.K.A,12,12,Giant,12,12,Elixir Collector,12,12,Wizard,12,12,Dark Prince,9,9,Rage,9,9,Minion Horde,14,14,Sparky,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2CYR8LCUP,Geister,1654,1,,,,Ice Golem,12,12,Hog Rider,12,12,Cannon,14,14,Earthquake,12,12,Fire Spirit,14,14,Skeletons,14,14,Musketeer,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T055306.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2JP88G0RC,喜羊羊,1697,0,#GPJUPY02,⚜️無与伦比⚜️,16000165,Mini P.E.K.K.A,12,12,Giant,12,12,Elixir Collector,12,12,Wizard,12,12,Dark Prince,9,9,Rage,9,9,Minion Horde,14,14,Sparky,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2L0VJG02,Venom,1751,1,,,,Bats,14,14,Spear Goblins,14,14,Wall Breakers,9,9,The Log,6,6,Knight,14,14,Miner,6,6,Poison,9,9,Bomb Tower,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T054421.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2JP88G0RC,喜羊羊,1666,1,#GPJUPY02,⚜️無与伦比⚜️,16000165,Mini P.E.K.K.A,12,12,Giant,12,12,Elixir Collector,12,12,Wizard,12,12,Dark Prince,9,9,Rage,9,9,Minion Horde,14,14,Sparky,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V2029GUU2,leo❤️logbait✅,1681,0,#LRYGRVJV,⚡️大秋名の电车造车场⚡️,16000009,Royal Giant,14,14,Mother Witch,6,6,Zappies,12,12,Giant Skeleton,9,9,Firecracker,14,14,Goblins,14,14,Fisherman,6,6,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
