type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
pathOfLegend,20230213T164538.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JPG88C0L,♤Fåţålîş♤,2033,0,#Q0CGYGUP,Fatherless,16000154,Archer Queen,4,4,Poison,9,9,Zappies,12,12,Goblins,14,14,Barbarian Barrel,9,9,Bandit,6,6,Ram Rider,6,6,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2PY0GLR9P,DoMiNoS,2030,3,,,,Arrows,14,14,Zap,14,14,Graveyard,6,6,Skeleton King,4,4,Golem,9,9,Inferno Dragon,6,6,Night Witch,6,6,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T164228.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JPG88C0L,♤Fåţålîş♤,2006,1,#Q0CGYGUP,Fatherless,16000154,Archer Queen,4,4,Poison,9,9,Zappies,12,12,Goblins,14,14,Barbarian Barrel,9,9,Bandit,6,6,Ram Rider,6,6,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8GCPRVV2,Matt,1974,0,#Q20Y9QCY,Starfall,16000040,Skeleton King,4,4,Goblins,14,14,Hunter,9,9,Miner,6,6,Mortar,14,14,Arrows,14,14,Archers,14,14,Poison,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T163725.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JPG88C0L,♤Fåţålîş♤,2031,0,#Q0CGYGUP,Fatherless,16000154,Archer Queen,4,4,Poison,9,9,Zappies,12,12,Goblins,14,14,Barbarian Barrel,9,9,Bandit,6,6,Ram Rider,6,6,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9RQ20Y,✨Tisdale❤️Emre✨,2082,1,#CYCJJLG,Nova Turkey,16000044,Mighty Miner,4,4,Princess,6,6,Archers,14,14,Goblins,14,14,The Log,6,6,Cannon,14,14,Goblin Barrel,9,9,Rocket,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T160015.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JPG88C0L,♤Fåţålîş♤,2001,1,#Q0CGYGUP,Fatherless,16000154,Archer Queen,4,4,Poison,9,9,Zappies,12,12,Goblins,14,14,Barbarian Barrel,9,9,Bandit,6,6,Ram Rider,6,6,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8J9UCJCQ,♣️♦️Pedal♥️♠️,2004,0,,,,Wall Breakers,9,9,Magic Archer,6,6,Princess,6,6,Royal Ghost,6,6,Bandit,6,6,Royal Recruits,14,14,Mighty Miner,4,4,Goblin Drill,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T155646.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JPG88C0L,♤Fåţålîş♤,1966,1,#Q0CGYGUP,Fatherless,16000154,Archer Queen,4,4,Poison,9,9,Zappies,12,12,Goblins,14,14,Barbarian Barrel,9,9,Bandit,6,6,Ram Rider,6,6,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RU288YPC,zezo,2027,0,#GLC0YGYU,Legends,16000097,Giant,12,12,Bats,14,14,Mini P.E.K.K.A,12,12,Archers,14,14,Sparky,6,6,Zap,14,14,Arrows,14,14,Skeleton Army,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T155237.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JPG88C0L,♤Fåţålîş♤,1933,1,#Q0CGYGUP,Fatherless,16000154,Archer Queen,4,4,Poison,9,9,Zappies,12,12,Goblins,14,14,Barbarian Barrel,9,9,Bandit,6,6,Ram Rider,6,6,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UYVY22,■m4nu■,1968,0,#Y98LVQ08,High Nation™️,16000075,Zap,14,14,Musketeer,12,12,Minions,14,14,The Log,6,6,Ice Spirit,14,14,Mini P.E.K.K.A,12,12,Giant,12,12,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T154827.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JPG88C0L,♤Fåţålîş♤,1905,1,#Q0CGYGUP,Fatherless,16000154,Archer Queen,4,4,Poison,9,9,Zappies,12,12,Goblins,14,14,Barbarian Barrel,9,9,Bandit,6,6,Ram Rider,6,6,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q90QP89RJ,TICO 40K,1883,0,#Y2PLQ980,Robert's Army2™,16000029,Golem,9,9,Phoenix,6,6,Lightning,9,9,Goblin Cage,12,12,Baby Dragon,9,9,Tornado,9,9,Barbarian Barrel,9,9,Dark Prince,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T154413.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JPG88C0L,♤Fåţålîş♤,1932,0,#Q0CGYGUP,Fatherless,16000154,Archer Queen,4,4,Poison,9,9,Zappies,12,12,Goblins,14,14,Barbarian Barrel,9,9,Bandit,6,6,Ram Rider,6,6,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2U0CGCLJL,BM❤Ayiorus™✊,1960,1,#GRQRU9YG,thegold elite™️,16000020,Mortar,14,14,Miner,6,6,Bats,14,14,Rascals,14,14,Goblin Gang,14,14,Spear Goblins,14,14,Barbarian Barrel,9,9,Fireball,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T153806.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JPG88C0L,♤Fåţålîş♤,1906,1,#Q0CGYGUP,Fatherless,16000154,Archer Queen,4,4,Poison,9,9,Zappies,12,12,Goblins,14,14,Barbarian Barrel,9,9,Bandit,6,6,Ram Rider,6,6,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q8L92V0CC,Ayu ᴍᴀ-ᴄʜᴀɴ,1868,0,#QU8CCG8V,B.R✨eSports❤️,16000173,Fireball,12,12,Knight,14,14,The Log,6,6,X-Bow,9,9,Tesla,14,14,Archers,14,14,Skeletons,14,14,Ice Spirit,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T153221.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JPG88C0L,♤Fåţålîş♤,1936,0,#Q0CGYGUP,Fatherless,16000154,Archer Queen,4,4,Poison,9,9,Zappies,12,12,Goblins,14,14,Barbarian Barrel,9,9,Bandit,6,6,Ram Rider,6,6,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LQ0PQ00C,Gui X,1926,1,#9YJGVCPQ,LimiT eSports,16000142,Ice Spirit,14,14,The Log,6,6,Hog Rider,12,12,Giant Skeleton,9,9,Skeletons,14,14,Cannon,14,14,Firecracker,14,14,Earthquake,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
