type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
pathOfLegend,20230213T093759.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JQQVLQVV,самый крутой,1690,1,#9LY8RVY0,DEXTER TEAM,16000107,Electro Giant,9,9,Cannon,14,14,Tornado,9,9,Barbarian Barrel,9,9,Archers,14,14,Golden Knight,4,4,Phoenix,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#L2PPYGGG,łëĝëñď ĝåmęř ™,1667,0,,,,Goblins,14,14,Ice Spirit,14,14,Knight,14,14,Archers,14,14,Giant Snowball,14,14,Mortar,14,14,Poison,9,9,Miner,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T093331.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JQQVLQVV,самый крутой,1658,1,#9LY8RVY0,DEXTER TEAM,16000107,Electro Giant,9,9,Cannon,14,14,Tornado,9,9,Barbarian Barrel,9,9,Archers,14,14,Golden Knight,4,4,Phoenix,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#LCGCVCPPV,alireza⚡angel♥️,1689,0,#Q9CRGR00,❤!STARS!❤,16000000,Witch,9,9,Giant,12,12,Dark Prince,9,9,Mini P.E.K.K.A,12,12,Arrows,14,14,Rage,9,9,Elixir Collector,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T092942.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JQQVLQVV,самый крутой,1628,1,#9LY8RVY0,DEXTER TEAM,16000107,Electro Giant,9,9,Cannon,14,14,Tornado,9,9,Barbarian Barrel,9,9,Archers,14,14,Golden Knight,4,4,Phoenix,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q0GCQ22V,<c2>Ninja☆Baraa,1634,0,,,,Inferno Dragon,6,6,Zap,14,14,Miner,6,6,Balloon,9,9,Minions,14,14,Lava Hound,6,6,Barbarians,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T092629.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JQQVLQVV,самый крутой,1657,0,#9LY8RVY0,DEXTER TEAM,16000107,Electro Giant,9,9,Cannon,14,14,Tornado,9,9,Barbarian Barrel,9,9,Archers,14,14,Golden Knight,4,4,Phoenix,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#UJPPP9UL,cece,1668,1,,,,Mother Witch,6,6,Goblin Hut,12,12,Furnace,12,12,Barbarian Barrel,9,9,Monk,4,4,Goblin Giant,9,9,Lightning,9,9,Mega Minion,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T092042.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JQQVLQVV,самый крутой,1628,1,#9LY8RVY0,DEXTER TEAM,16000107,Electro Giant,9,9,Cannon,14,14,Tornado,9,9,Barbarian Barrel,9,9,Archers,14,14,Golden Knight,4,4,Phoenix,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#288QR09UC,Alpha™,1619,0,#YUYPVVCC,CBT,16000139,Magic Archer,6,6,Bomb Tower,12,12,Wall Breakers,9,9,Miner,6,6,Goblins,14,14,Tornado,9,9,Valkyrie,12,12,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T091705.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JQQVLQVV,самый крутой,1596,3,#9LY8RVY0,DEXTER TEAM,16000107,Electro Giant,9,9,Cannon,14,14,Tornado,9,9,Barbarian Barrel,9,9,Archers,14,14,Golden Knight,4,4,Phoenix,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2C2P9RG02,⚡️AmaR⚡️™️,1626,0,#82JJPPGQ,SRB Royal Guard,16000089,Lava Hound,6,6,Miner,6,6,Goblins,14,14,Baby Dragon,9,9,Skeleton King,4,4,Arrows,14,14,Flying Machine,12,12,Inferno Dragon,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T091323.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JQQVLQVV,самый крутой,1626,1,#9LY8RVY0,DEXTER TEAM,16000107,Electro Giant,9,9,Cannon,14,14,Tornado,9,9,Barbarian Barrel,9,9,Archers,14,14,Golden Knight,4,4,Phoenix,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#G8YP08UCG,Fabiann,1620,2,#LGR8UGYJ,INDO WAR ARMY 1,16000016,Bats,14,14,Bandit,6,6,Barbarian Barrel,9,9,Musketeer,12,12,Wall Breakers,9,9,Zap,14,14,Miner,6,6,Mega Knight,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T090758.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JQQVLQVV,самый крутой,1652,1,#9LY8RVY0,DEXTER TEAM,16000107,Electro Giant,9,9,Cannon,14,14,Tornado,9,9,Barbarian Barrel,9,9,Archers,14,14,Golden Knight,4,4,Phoenix,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQQPPUGLJ,Star Cr,1688,2,#LLVYCJYL,Naija Xi,16000035,Night Witch,6,6,Golem,9,9,Lumberjack,6,6,Bomber,14,14,Elite Barbarians,14,14,Phoenix,6,6,Arrows,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T090443.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JQQVLQVV,самый крутой,1680,1,#9LY8RVY0,DEXTER TEAM,16000107,Electro Giant,9,9,Cannon,14,14,Tornado,9,9,Barbarian Barrel,9,9,Archers,14,14,Golden Knight,4,4,Phoenix,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Q2QQLVR9P,7md,1701,2,#L0VPC2V0,مطانيخ العرب ✌️,16000024,Ram Rider,6,6,Bats,14,14,Inferno Dragon,6,6,Golden Knight,4,4,Fireball,12,12,Mega Knight,6,6,Zap,14,14,Mini P.E.K.K.A,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T090024.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2JQQVLQVV,самый крутой,1651,1,#9LY8RVY0,DEXTER TEAM,16000107,Electro Giant,9,9,Cannon,14,14,Tornado,9,9,Barbarian Barrel,9,9,Archers,14,14,Golden Knight,4,4,Phoenix,6,6,Lightning,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V2JQYGQ0,「LB」Giant❤Abo,1644,0,#GLL0QQ28,tiktok,16000008,Arrows,14,14,Mini P.E.K.K.A,12,12,Minion Horde,14,14,Firecracker,14,14,Minions,14,14,Giant,12,12,Sparky,6,6,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
