type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
pathOfLegend,20230213T135353.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JRP0RY8R,☆ | íbx,2107,3,#QP002GVQ,Light Stars,16000138,Golden Knight,4,4,Barbarian Barrel,9,9,Archers,14,14,Inferno Dragon,6,6,Electro Giant,9,9,Lightning,9,9,Cannon,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#PQVQ29JJ,темыч,2103,0,#Q82P2JCJ,Community,16000166,Graveyard,6,6,Arrows,14,14,Tombstone,12,12,Fireball,12,12,Giant Skeleton,9,9,Inferno Dragon,6,6,Archers,14,14,Skeleton King,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T134850.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,2,eventDeck,#2JRP0RY8R,☆ | íbx,7500,1,#QP002GVQ,Light Stars,16000138,,3,0,Monk,1,4,Skeletons,11,14,Goblin Drill,6,9,Tornado,6,9,Wall Breakers,6,9,Fireball,9,12,Giant Snowball,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8UYV0R9UL,Emin,6028,0,#2QR8L0C,Great 1s,16000024,,3,0,Ice Spirit,11,14,Archers,11,14,Goblin Gang,11,14,Mighty Miner,1,4,Goblin Barrel,6,9,Fireball,9,12,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T134435.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,1,eventDeck,#2JRP0RY8R,☆ | íbx,7500,3,#QP002GVQ,Light Stars,16000138,,3,0,Monk,1,4,Skeletons,11,14,Goblin Drill,6,9,Tornado,6,9,Wall Breakers,6,9,Fireball,9,12,Ice Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2R92GUCGR,Gab,7003,0,#PPCV82G9,LOs siverianOs✌,16000124,,3,0,Balloon,6,9,Minion Horde,11,14,Mega Knight,3,6,Three Musketeers,9,12,Inferno Tower,9,12,Sparky,3,6,Freeze,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenge,20230213T134102.000Z,73006648,54000044,Legendary Arena,72000334,Event_SuperMagicArcher,0,eventDeck,#2JRP0RY8R,☆ | íbx,7500,3,#QP002GVQ,Light Stars,16000138,,3,0,Monk,1,4,Skeletons,11,14,Goblin Drill,6,9,Tornado,6,9,Wall Breakers,6,9,Fireball,9,12,Ice Spirit,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2RCJ0CJGQ,Dois P,5687,0,#LR009892,HS,16000107,,3,0,Knight,11,14,Inferno Dragon,3,6,Mighty Miner,1,4,Night Witch,3,6,Executioner,6,9,Hog Rider,9,12,Electro Wizard,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T125058.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JRP0RY8R,☆ | íbx,2075,1,#QP002GVQ,Light Stars,16000138,Golden Knight,4,4,Barbarian Barrel,9,9,Archers,14,14,Inferno Dragon,6,6,Electro Giant,9,9,Lightning,9,9,Cannon,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#V92RGV9QC,Alуreza,2101,0,#GCJVGJGG,Friends 4 Ever,16000015,Archers,14,14,Knight,14,14,Skeletons,14,14,Ice Spirit,14,14,Tesla,14,14,Fireball,12,12,X-Bow,9,9,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T124216.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JRP0RY8R,☆ | íbx,2046,1,#QP002GVQ,Light Stars,16000138,Golden Knight,4,4,Barbarian Barrel,9,9,Archers,14,14,Inferno Dragon,6,6,Electro Giant,9,9,Lightning,9,9,Cannon,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#ULLY8RVVR,梦魇❤️八哭,2042,0,#LCYL29J8,TRAP,16000028,P.E.K.K.A,9,9,Magic Archer,6,6,Electro Wizard,6,6,Arrows,14,14,Royal Ghost,6,6,Bandit,6,6,Battle Ram,12,12,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T123626.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JRP0RY8R,☆ | íbx,2023,3,#QP002GVQ,Light Stars,16000138,Golden Knight,4,4,Barbarian Barrel,9,9,Archers,14,14,Inferno Dragon,6,6,Electro Giant,9,9,Lightning,9,9,Cannon,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8J2J8J2R,Lestay 无情的,1945,0,#8YLJ8UL2,Aftershock,16000011,X-Bow,9,9,Ice Spirit,14,14,Skeletons,14,14,Archers,14,14,Knight,14,14,Fireball,12,12,Tesla,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T122901.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JRP0RY8R,☆ | íbx,2055,0,#QP002GVQ,Light Stars,16000138,Golden Knight,4,4,Barbarian Barrel,9,9,Fire Spirit,14,14,Phoenix,6,6,Electro Giant,9,9,Lightning,9,9,Cannon,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2Q29JQ9UC,Bandit,2024,1,#929RJLLU,Ńo Clan,16000139,Archers,14,14,Skeletons,14,14,Earthquake,12,12,Ram Rider,6,6,Musketeer,12,12,Giant Snowball,14,14,Knight,14,14,Mortar,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T172348.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2JRP0RY8R,☆ | íbx,2027,3,#QP002GVQ,Light Stars,16000138,Golden Knight,4,4,Barbarian Barrel,9,9,Fire Spirit,14,14,Phoenix,6,6,Electro Giant,9,9,Lightning,9,9,Cannon,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9YY9LQG8R,oscar sm,2012,1,#QPLQQ9C8,CLASHERS MX™,16000012,Giant,12,12,Balloon,9,9,Minion Horde,14,14,Freeze,9,9,Archers,14,14,Skeleton Army,9,9,Minions,14,14,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230212T171701.000Z,,54000044,Legendary Arena,72000327,Ranked1v1_GoldRush,,collection,#2JRP0RY8R,☆ | íbx,2049,0,#QP002GVQ,Light Stars,16000138,Golden Knight,4,4,Barbarian Barrel,9,9,Fire Spirit,14,14,Phoenix,6,6,Electro Giant,9,9,Lightning,9,9,Cannon,14,14,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#8RUG2YL9,Dika,2141,1,#Q00C2R9C,Mortar Cycle,16000152,Knight,14,14,Ice Spirit,14,14,The Log,6,6,Archers,14,14,Skeletons,14,14,Rocket,12,12,Tornado,9,9,Mortar,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
