type,battleTime,challengeId,arena_id,arena_name,gameMode_id,gameMode_name,challengeWinCountBefore,deckSelection,team_0_tag,team_0_name,team_0_startingTrophies,team_0_crowns,team_0_clan_tag,team_0_clan_name,team_0_clan_badgeId,team_0_cards_0_name,team_0_cards_0_level,team_0_cards_0_maxLevel,team_0_cards_1_name,team_0_cards_1_level,team_0_cards_1_maxLevel,team_0_cards_2_name,team_0_cards_2_level,team_0_cards_2_maxLevel,team_0_cards_3_name,team_0_cards_3_level,team_0_cards_3_maxLevel,team_0_cards_4_name,team_0_cards_4_level,team_0_cards_4_maxLevel,team_0_cards_5_name,team_0_cards_5_level,team_0_cards_5_maxLevel,team_0_cards_6_name,team_0_cards_6_level,team_0_cards_6_maxLevel,team_0_cards_7_name,team_0_cards_7_level,team_0_cards_7_maxLevel,team_1_tag,team_1_name,team_1_startingTrophies,team_1_crowns,team_1_clan_tag,team_1_clan_name,team_1_clan_badgeId,team_1_cards_0_name,team_1_cards_0_level,team_1_cards_0_maxLevel,team_1_cards_1_name,team_1_cards_1_level,team_1_cards_1_maxLevel,team_1_cards_2_name,team_1_cards_2_level,team_1_cards_2_maxLevel,team_1_cards_3_name,team_1_cards_3_level,team_1_cards_3_maxLevel,team_1_cards_4_name,team_1_cards_4_level,team_1_cards_4_maxLevel,team_1_cards_5_name,team_1_cards_5_level,team_1_cards_5_maxLevel,team_1_cards_6_name,team_1_cards_6_level,team_1_cards_6_maxLevel,team_1_cards_7_name,team_1_cards_7_level,team_1_cards_7_maxLevel,opponent_0_tag,opponent_0_name,opponent_0_startingTrophies,opponent_0_crowns,opponent_0_clan_tag,opponent_0_clan_name,opponent_0_clan_badgeId,opponent_0_cards_0_name,opponent_0_cards_0_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_name,opponent_0_cards_1_level,opponent_0_cards_1_maxLevel,opponent_0_cards_2_name,opponent_0_cards_2_level,opponent_0_cards_2_maxLevel,opponent_0_cards_3_name,opponent_0_cards_3_level,opponent_0_cards_3_maxLevel,opponent_0_cards_4_name,opponent_0_cards_4_level,opponent_0_cards_4_maxLevel,opponent_0_cards_5_name,opponent_0_cards_5_level,opponent_0_cards_5_maxLevel,opponent_0_cards_6_name,opponent_0_cards_6_level,opponent_0_cards_6_maxLevel,opponent_0_cards_7_name,opponent_0_cards_7_level,opponent_0_cards_7_maxLevel,opponent_1_tag,opponent_1_name,opponent_1_startingTrophies,opponent_1_crowns,opponent_1_clan_tag,opponent_1_clan_name,opponent_1_clan_badgeId,opponent_1_cards_0_name,opponent_1_cards_0_level,opponent_1_cards_0_maxLevel,opponent_1_cards_1_name,opponent_1_cards_1_level,opponent_1_cards_1_maxLevel,opponent_1_cards_2_name,opponent_1_cards_2_level,opponent_1_cards_2_maxLevel,opponent_1_cards_3_name,opponent_1_cards_3_level,opponent_1_cards_3_maxLevel,opponent_1_cards_4_name,opponent_1_cards_4_level,opponent_1_cards_4_maxLevel,opponent_1_cards_5_name,opponent_1_cards_5_level,opponent_1_cards_5_maxLevel,opponent_1_cards_6_name,opponent_1_cards_6_level,opponent_1_cards_6_maxLevel,opponent_1_cards_7_name,opponent_1_cards_7_level,opponent_1_cards_7_maxLevel
pathOfLegend,20230213T214701.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JRR8LUL8,Arthass™,1692,0,#8V8LRLJY,Los Guerreros Z,16000010,Skeleton King,4,4,Phoenix,6,6,Barbarian Barrel,9,9,Graveyard,6,6,Poison,9,9,Tombstone,12,12,Ice Wizard,6,6,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2QG8080QP,Manuel OFF,1654,1,#QGG8V08Q,Cariñosos Army,16000020,Archers,14,14,The Log,6,6,Miner,6,6,Poison,9,9,Goblins,14,14,Phoenix,6,6,Monk,4,4,Mortar,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T214223.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JRR8LUL8,Arthass™,1722,0,#8V8LRLJY,Los Guerreros Z,16000010,Skeleton King,4,4,Phoenix,6,6,Barbarian Barrel,9,9,Graveyard,6,6,Poison,9,9,Tombstone,12,12,Ice Wizard,6,6,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#9V0Y02Y2,ACE Frank,1712,1,,,,Hog Rider,12,12,Mortar,14,14,Mighty Miner,4,4,Musketeer,12,12,Earthquake,12,12,Goblins,14,14,Royal Delivery,14,14,The Log,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T213631.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JRR8LUL8,Arthass™,1753,0,#8V8LRLJY,Los Guerreros Z,16000010,Skeleton King,4,4,Phoenix,6,6,Barbarian Barrel,9,9,Graveyard,6,6,Poison,9,9,Tombstone,12,12,Ice Wizard,6,6,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#YVPYVV9V,✨️Le_Rat✨️,1737,1,#Q2RVVYGP,✨DLight✨,16000010,Freeze,9,9,Archers,14,14,Tombstone,12,12,Phoenix,6,6,Graveyard,6,6,Barbarian Barrel,9,9,Mighty Miner,4,4,Arrows,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathOfLegend,20230213T212735.000Z,,54000044,Legendary Arena,72000323,Ranked1v1,,collection,#2JRR8LUL8,Arthass™,1725,1,#8V8LRLJY,Los Guerreros Z,16000010,Skeleton King,4,4,Phoenix,6,6,Barbarian Barrel,9,9,Graveyard,6,6,Poison,9,9,Tombstone,12,12,Ice Wizard,6,6,Tornado,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#RYPPQRYPV,Nova I ShayaN♡,1706,0,#GRJGL2JU,PooF...,16000122,Night Witch,6,6,Golem,9,9,Lumberjack,6,6,Phoenix,6,6,Elite Barbarians,14,14,Arrows,14,14,Bomber,14,14,Zap,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20230213T031211.000Z,,54000012,Arena 15,72000007,Friendly,,collection,#2JRR8LUL8,Arthass™,7500,1,#8V8LRLJY,Los Guerreros Z,16000010,Poison,6,9,Skeletons,11,14,The Log,3,6,Tornado,6,9,Inferno Tower,9,12,Knight,11,14,Miner,3,6,Magic Archer,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CQQ8UL088,AEMO,5045,0,#8V8LRLJY,Los Guerreros Z,16000010,Goblin Barrel,6,9,Knight,11,14,Ice Spirit,11,14,Princess,3,6,Rocket,9,12,The Log,3,6,Inferno Tower,9,12,Goblin Gang,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20230213T030751.000Z,,54000012,Arena 15,72000007,Friendly,,collection,#2JRR8LUL8,Arthass™,7500,1,#8V8LRLJY,Los Guerreros Z,16000010,Poison,6,9,Skeletons,11,14,The Log,3,6,Tornado,6,9,Inferno Tower,9,12,Knight,11,14,Miner,3,6,Magic Archer,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#CC0C09GCG,ERICKNOZA193,5071,0,#8V8LRLJY,Los Guerreros Z,16000010,Fireball,9,12,Electro Wizard,3,6,P.E.K.K.A,6,9,Zap,11,14,Magic Archer,3,6,Bandit,3,6,Battle Ram,9,12,Royal Ghost,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20230213T030241.000Z,,54000055,Arena 13,72000007,Friendly,,collection,#2JRR8LUL8,Arthass™,7500,1,#8V8LRLJY,Los Guerreros Z,16000010,Poison,6,9,Skeletons,11,14,The Log,3,6,Tornado,6,9,Inferno Tower,9,12,Knight,11,14,Miner,3,6,Magic Archer,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#J9Q0C0U0V,tiveliux,4360,0,#8V8LRLJY,Los Guerreros Z,16000010,Skeleton Army,6,9,Inferno Tower,9,12,Wizard,9,12,Goblin Barrel,6,9,Valkyrie,9,12,Freeze,6,9,Mini P.E.K.K.A,9,12,Wall Breakers,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20230213T025757.000Z,,54000011,Arena 12,72000254,MirrorDeck_Friendly,,predefined,#2JRR8LUL8,Arthass™,7500,2,#8V8LRLJY,Los Guerreros Z,16000010,Mirror,6,9,Skeleton Barrel,11,14,Graveyard,3,6,Hunter,6,9,Night Witch,3,6,Princess,3,6,Skeleton Army,6,9,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#GGJUCYR08,♡MELODY❥,6500,0,#8V8LRLJY,Los Guerreros Z,16000010,Mirror,6,9,Skeleton Barrel,11,14,Graveyard,3,6,Hunter,6,9,Night Witch,3,6,Princess,3,6,Skeleton Army,6,9,Earthquake,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20230213T025018.000Z,,54000013,Arena 16,72000007,Friendly,,collection,#2JRR8LUL8,Arthass™,7500,1,#8V8LRLJY,Los Guerreros Z,16000010,Poison,6,9,Skeletons,11,14,The Log,3,6,Tornado,6,9,Inferno Tower,9,12,Knight,11,14,Miner,3,6,Magic Archer,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#JJUYGC0Y2,Mikerey1222,5507,0,#8V8LRLJY,Los Guerreros Z,16000010,Dart Goblin,9,12,Goblin Gang,11,14,Skeleton King,1,4,Skeleton Barrel,11,14,Mortar,11,14,Fireball,9,12,Cannon Cart,6,9,Spear Goblins,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clanMate,20230213T024455.000Z,,54000015,Arena 18,72000007,Friendly,,collection,#2JRR8LUL8,Arthass™,7500,1,#8V8LRLJY,Los Guerreros Z,16000010,Poison,6,9,Skeletons,11,14,The Log,3,6,Tornado,6,9,Inferno Tower,9,12,Knight,11,14,Miner,3,6,Magic Archer,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#R0LGUP2PJ,SOULKING,6734,0,#8V8LRLJY,Los Guerreros Z,16000010,Hog Rider,9,12,Mortar,11,14,Mighty Miner,1,4,Musketeer,9,12,Earthquake,9,12,Goblins,11,14,Royal Delivery,11,14,The Log,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
