,type,team_0_crowns,opponent_0_crowns,team_0_cards_0_name,team_0_cards_1_name,team_0_cards_2_name,team_0_cards_3_name,team_0_cards_4_name,team_0_cards_5_name,team_0_cards_6_name,team_0_cards_7_name,team_0_cards_0_level,team_0_cards_1_level,team_0_cards_2_level,team_0_cards_3_level,team_0_cards_4_level,team_0_cards_5_level,team_0_cards_6_level,team_0_cards_7_level,team_0_cards_0_maxLevel,team_0_cards_1_maxLevel,team_0_cards_2_maxLevel,team_0_cards_3_maxLevel,team_0_cards_4_maxLevel,team_0_cards_5_maxLevel,team_0_cards_6_maxLevel,team_0_cards_7_maxLevel,opponent_0_cards_0_name,opponent_0_cards_1_name,opponent_0_cards_2_name,opponent_0_cards_3_name,opponent_0_cards_4_name,opponent_0_cards_5_name,opponent_0_cards_6_name,opponent_0_cards_7_name,opponent_0_cards_0_level,opponent_0_cards_1_level,opponent_0_cards_2_level,opponent_0_cards_3_level,opponent_0_cards_4_level,opponent_0_cards_5_level,opponent_0_cards_6_level,opponent_0_cards_7_level,opponent_0_cards_0_maxLevel,opponent_0_cards_1_maxLevel,opponent_0_cards_2_maxLevel,opponent_0_cards_3_maxLevel,opponent_0_cards_4_maxLevel,opponent_0_cards_5_maxLevel,opponent_0_cards_6_maxLevel,opponent_0_cards_7_maxLevel
9,pathOfLegend,1,0,Goblin Barrel,Knight,Rocket,Goblin Gang,Inferno Tower,Princess,Ice Spirit,The Log,9,14,12,14,12,6,14,6,9,14,12,14,12,6,14,6,Dart Goblin,Skeleton Army,Goblin Barrel,The Log,Inferno Tower,Royal Delivery,Skeleton Barrel,Golden Knight,12,9,9,6,12,14,14,4,12,9,9,6,12,14,14,4
11,pathOfLegend,1,0,Goblin Barrel,Knight,Rocket,Goblin Gang,Inferno Tower,Princess,Ice Spirit,The Log,9,14,12,14,12,6,14,6,9,14,12,14,12,6,14,6,Arrows,Flying Machine,Lava Hound,Miner,Phoenix,Skeleton Dragons,Barbarians,Tombstone,14,12,6,6,6,14,14,12,14,12,6,6,6,14,14,12
12,pathOfLegend,1,0,Goblin Barrel,Knight,Rocket,Goblin Gang,Inferno Tower,Princess,Ice Spirit,The Log,9,14,12,14,12,6,14,6,9,14,12,14,12,6,14,6,Electro Giant,Tornado,Ice Spirit,Mirror,Phoenix,Goblins,Elixir Collector,Archers,9,9,14,9,6,14,12,14,9,9,14,9,6,14,12,14
13,pathOfLegend,1,0,Goblin Barrel,Knight,Rocket,Goblin Gang,Inferno Tower,Princess,Ice Spirit,The Log,9,14,12,14,12,6,14,6,9,14,12,14,12,6,14,6,Electro Giant,Archer Queen,Barbarians,Tesla,Fisherman,Earthquake,Tornado,The Log,9,4,14,14,6,12,9,6,9,4,14,14,6,12,9,6
14,pathOfLegend,1,0,Goblin Barrel,Knight,Rocket,Goblin Gang,Inferno Tower,Princess,Ice Spirit,The Log,9,14,12,14,12,6,14,6,9,14,12,14,12,6,14,6,X-Bow,Knight,The Log,Ice Spirit,Archers,Skeletons,Tesla,Fireball,9,14,6,14,14,14,14,12,9,14,6,14,14,14,14,12
15,pathOfLegend,0,3,Goblin Barrel,Knight,Rocket,Goblin Gang,Inferno Tower,Princess,Ice Spirit,The Log,9,14,12,14,12,6,14,6,9,14,12,14,12,6,14,6,Golem,Night Witch,Lumberjack,Phoenix,Elite Barbarians,Bomber,Zap,Arrows,9,6,6,6,14,14,14,14,9,6,6,6,14,14,14,14
16,pathOfLegend,1,0,Goblin Barrel,Knight,Rocket,Goblin Gang,Inferno Tower,Princess,Ice Spirit,The Log,9,14,12,14,12,6,14,6,9,14,12,14,12,6,14,6,Bowler,Guards,Monk,Freeze,Tornado,Inferno Dragon,Wizard,Graveyard,9,9,4,9,9,6,12,6,9,9,4,9,9,6,12,6
17,pathOfLegend,1,0,Goblin Barrel,Knight,Rocket,Goblin Gang,Inferno Tower,Princess,Ice Spirit,The Log,9,14,12,14,12,6,14,6,9,14,12,14,12,6,14,6,Miner,Knight,Cannon,Archers,Poison,Phoenix,The Log,Ice Spirit,6,14,14,14,9,6,6,14,6,14,14,14,9,6,6,14
18,pathOfLegend,1,0,Goblin Barrel,Knight,Rocket,Goblin Gang,Inferno Tower,Princess,Ice Spirit,The Log,9,14,12,14,12,6,14,6,9,14,12,14,12,6,14,6,Hunter,Musketeer,Skeletons,Electro Spirit,Mortar,X-Bow,The Log,Ice Golem,9,12,14,14,14,9,6,12,9,12,14,14,14,9,6,12
19,pathOfLegend,1,0,Goblin Barrel,Knight,Rocket,Goblin Gang,Inferno Tower,Princess,Ice Spirit,The Log,9,14,12,14,12,6,14,6,9,14,12,14,12,6,14,6,Hog Rider,Cannon,Ice Spirit,The Log,Skeletons,Archers,Giant Skeleton,Earthquake,12,14,14,6,14,14,9,12,12,14,14,6,14,14,9,12
